period,rebalance,n,priced_share
2013-06-30,2013-08-31,20,0.581519639398993
2013-09-30,2013-11-30,17,0.5686844900507626
2013-12-31,2014-02-28,21,0.5899288594070458
2014-03-31,2014-05-31,26,0.6480063428835335
2014-06-30,2014-08-31,24,0.6739015615246864
2014-09-30,2014-11-30,26,0.6752441418875317
2014-12-31,2015-02-28,26,0.7623384729688576
2015-03-31,2015-05-31,35,0.7690333211672927
2015-06-30,2015-08-31,34,0.7436320436786942
2015-09-30,2015-11-30,33,0.7039251629876923
2015-12-31,2016-02-29,40,0.7427754469830623
2016-03-31,2016-05-31,33,0.7919205231343015
2016-06-30,2016-08-31,24,0.7623878565597104
2016-09-30,2016-11-30,24,0.780279824697352
2016-12-31,2017-02-28,27,0.7953658096787909
2017-03-31,2017-05-31,31,0.8492921749138443
2017-06-30,2017-08-31,31,0.8650054546112276
2017-09-30,2017-11-30,33,0.9694828817591445
2017-12-31,2018-02-28,31,0.9652664884387093
2018-03-31,2018-05-31,32,0.9670810483403355
2018-06-30,2018-08-31,36,0.9479205434435674
2018-09-30,2018-11-30,29,0.9290607014851617
2018-12-31,2019-02-28,28,0.9341291603788124
2019-03-31,2019-05-31,29,0.9386188596238682
2019-06-30,2019-08-31,23,0.9247950232372559
2019-09-30,2019-11-30,23,0.9287922838032306
2019-12-31,2020-02-29,21,0.9472113664685785
2020-03-31,2020-05-31,20,0.9312076413981617
2020-06-30,2020-08-31,31,0.9664579137271563
2020-09-30,2020-11-30,31,0.971984104826737
2020-12-31,2021-02-28,33,0.9844793288693435
2021-03-31,2021-05-31,31,0.978099185492205
2021-06-30,2021-08-31,29,0.9931699876885794
2021-09-30,2021-11-30,24,0.9226680791677366
2021-12-31,2022-02-28,20,0.8808831617337549
2022-03-31,2022-05-31,21,0.7451512241351543
2022-06-30,2022-08-31,19,0.6671580583773352
2022-09-30,2022-11-30,14,0.8287329557193029
2022-12-31,2023-02-28,13,0.9771137516476701
2023-03-31,2023-05-31,18,0.9551534851292339
2023-06-30,2023-08-31,17,0.9732647586951371
2023-09-30,2023-11-30,31,0.8395307351133086
2023-12-31,2024-02-29,34,0.8129617829455528
2024-03-31,2024-05-31,33,0.812843398707952
2024-06-30,2024-08-31,24,0.8092717573437844
2024-09-30,2024-11-30,24,0.8396373189824675
2024-12-31,2025-02-28,21,0.8530615430623726
2025-03-31,2025-05-31,15,0.8329175969667807
2025-06-30,2025-08-31,17,0.9110133764537678
2025-09-30,2025-11-30,19,0.9160502913699785
2025-12-31,2026-02-28,21,0.9546877543321749
2026-03-31,2026-05-31,22,1.0
2026-06-30,2026-08-31,25,0.9972446629644987
