slug,name,manager,style,style_name,status,months,first,last,coverage,excess,alpha_maxing,wealth,ff3_alpha,ff3_t,twr,bench
abrams,Abrams Capital,David Abrams,conc,Concentrated long / value,ok,105,2017-12-31,2026-08-31,0.906569815766962,-0.0506406431693329,0.0,25.526564380537764,-0.029325179049347,-0.6343189018620294,0.08819602312432617,0.14156658344373585
adage,Adage Capital,Phill Gross / Robert Atchinson,ls,Long/short equity,ok,156,2013-09-30,2026-08-31,0.8767325774845611,0.0199284758970785,69.92847589707858,63.34672751483385,0.0105434749137758,0.9192427787302888,0.1612637690881018,0.13962966384428532
akre,Akre Capital,Chuck Akre,conc,Concentrated long / value,ok,156,2013-09-30,2026-08-31,0.9095047103632089,0.0010110558018396,51.01105580183969,53.54030848354864,0.0054059362141579,0.1965311489241831,0.14581954551688425,0.13962966384428532
altimeter,Altimeter Capital,Brad Gerstner,ls,Long/short equity,ok,156,2013-09-30,2026-08-31,0.8683549249894494,-0.0285679761516268,21.432023848373127,20.661707278691427,-0.027799203407576,-0.4643331726327526,0.1159879273727975,0.13962966384428532
anchorage,Anchorage Capital,Kevin Ulrich,event,Event-driven / credit,insufficient,30,2021-12-31,2024-05-31,,,,,,,,
appaloosa,Appaloosa,David Tepper,event,Event-driven / credit,ok,111,2017-06-30,2026-08-31,0.8980084368282473,0.0315180184217007,81.51801842170076,50.931617520856605,0.0103661878842907,0.2588197501548795,0.17880039002306636,0.14748101092284194
aqr,AQR Capital Management,Cliff Asness (quant),multi,Multi-strategy / quant,ok,156,2013-09-30,2026-08-31,0.9174242684667985,0.0131214668873962,63.12146688739624,69.58518526826866,0.0133737349593902,1.58750003747337,0.152429982359926,0.13962966384428532
arrowstreet,Arrowstreet Capital,quant,multi,Multi-strategy / quant,ok,111,2017-06-30,2026-08-31,0.949377533052136,-0.0053752625119636,44.624737488036374,42.37336499706468,-0.0035634646221949,-0.3375777103134582,0.1473798830631592,0.14748101092284194
atreides,Atreides Management,Gavin Baker,ls,Long/short equity,ok,78,2020-03-31,2026-08-31,0.9166962557890244,0.1341190374817986,100.0,57.456759393510765,0.1125817777823753,1.9434006797213037,0.3441401996931408,0.19849878387878572
balyasny,Balyasny Asset Management,Dmitry Balyasny,multi,Multi-strategy / quant,ok,141,2014-12-31,2026-08-31,0.8087781358982804,0.0024276472506865,52.42764725068656,41.333570877444,0.0016744235018843,0.108623637003219,0.13841715227702855,0.13504542429129507
