period,rebalance,n,priced_share
2013-06-30,2013-08-31,20,0.48315640449638914
2013-09-30,2013-11-30,20,0.4077026407181705
2013-12-31,2014-02-28,26,0.441198278433545
2014-03-31,2014-05-31,19,0.5067564105379508
2014-06-30,2014-08-31,20,0.46711060289508
2014-09-30,2014-11-30,17,0.4994736350593009
2014-12-31,2015-02-28,18,0.596772340914312
2015-03-31,2015-05-31,13,0.563561163782565
2015-06-30,2015-08-31,18,0.6536317536225571
2015-09-30,2015-11-30,13,0.6635957007688619
2015-12-31,2016-02-29,13,0.677677805530326
2016-03-31,2016-05-31,15,0.7491822521324047
2016-06-30,2016-08-31,14,0.7613609172205146
2016-09-30,2016-11-30,16,0.7623229312145716
2016-12-31,2017-02-28,20,0.7336688292168363
2017-03-31,2017-05-31,22,0.631542562032244
2017-06-30,2017-08-31,16,0.7032863932097575
2017-09-30,2017-11-30,16,0.7633572752083023
2017-12-31,2018-02-28,16,0.8480906506871406
2018-03-31,2018-05-31,20,0.8425880612822526
2018-06-30,2018-08-31,16,0.76090783138966
2018-09-30,2018-11-30,15,0.763364000399671
2018-12-31,2019-02-28,18,0.8385477606082725
2019-03-31,2019-05-31,18,0.8649510758613653
2019-06-30,2019-08-31,23,0.7545213634015436
2019-09-30,2019-11-30,24,0.8437157199729384
2019-12-31,2020-02-29,23,0.8586272059131328
2020-03-31,2020-05-31,36,0.8200482278576899
2020-06-30,2020-08-31,33,0.8436801704161769
2020-09-30,2020-11-30,37,0.8878339099945027
2020-12-31,2021-02-28,34,0.8322168525380554
2021-03-31,2021-05-31,32,0.8060920810864896
2021-06-30,2021-08-31,45,0.8380610661316994
2021-09-30,2021-11-30,35,0.8044508190760852
2021-12-31,2022-02-28,30,0.7489490085358317
2022-03-31,2022-05-31,23,0.7095676917923053
2022-06-30,2022-08-31,19,0.5630193300096213
2022-09-30,2022-11-30,21,0.8492736446962836
2022-12-31,2023-02-28,21,0.9773006996638525
2023-03-31,2023-05-31,19,0.9737457261905027
2023-06-30,2023-08-31,18,0.9996240606943498
2023-09-30,2023-11-30,21,0.9994276313116534
2023-12-31,2024-02-29,20,1.0
2024-03-31,2024-05-31,19,0.9858247202906983
2024-06-30,2024-08-31,24,1.0
2024-09-30,2024-11-30,21,1.0
2024-12-31,2025-02-28,28,0.9995209186969669
2025-03-31,2025-05-31,19,0.9945050276998826
2025-06-30,2025-08-31,25,0.9982329029084478
2025-09-30,2025-11-30,26,0.9577463302530599
2025-12-31,2026-02-28,23,0.9576506279577427
2026-03-31,2026-05-31,23,0.9999999999999999
2026-06-30,2026-08-31,27,1.0
