ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
MSFT,0.19025622706542408,143,0.06581806362193154,Microsoft Corp,0.07641776801938369,0.07641776801938369,1
AMZN,0.14088598614829856,117,0.06643112416117389,Amazon Com Inc,0.05658785929230361,0.1330056273116873,2
TSM,0.123167662080365,54,0.061953676050697515,Taiwan Semiconductor Mfg Ltd,0.049471168295114824,0.18247679560680213,3
META,0.11507715277455978,128,0.05850716013993733,Facebook Inc,0.04622155763676257,0.2286983532435647,4
ADBE,0.11015555628539064,96,0.051074779513372505,Adobe Sys Inc,0.04424476337044397,0.27294311661400866,5
BABA,0.10346540294185234,45,0.0743490076506515,Alibaba Group Hldg Ltd,0.041557615653356056,0.31450073226736475,6
APP,0.09650622500521568,27,0.037645724204468975,Applovin Corp,0.03876241229328605,0.3532631445606508,7
TDG,0.08193403487069445,101,0.030984054729214505,Transdigm Group Inc,0.03290938838752309,0.3861725329481739,8
MA,0.07218631585803667,113,0.043032549823672085,Mastercard Inc,0.028994147652872823,0.4151666806010467,9
UNH,0.057353634939679744,90,0.04969078097329466,Unitedhealth Group Inc,0.02303649576936961,0.43820317637041634,10
PYPL,0.05190179359141892,45,0.039059326989959585,Paypal Hldgs Inc,0.020846724880626947,0.4590499012510433,11
MELI,0.04900041843292096,39,0.02860027494432819,Mercadolibre Inc,0.019681366893563233,0.47873126814460654,12
PM,0.04262149914576651,27,0.04439242153658985,Philip Morris Intl Inc,0.017119228550871744,0.49585049669547826,13
EQIX,0.04258863156281407,48,0.042532608245169086,Equinix Inc,0.017106027052197253,0.5129565237476755,14
DKS,0.04219049747167716,27,0.04121717062788676,Dicks Sporting Goods Inc,0.01694611366020801,0.5299026374078836,15
BKNG,0.04178413169572531,66,0.03577641368700325,Booking Hldgs Inc,0.016782893953412148,0.5466855313612957,16
NOW,0.040282799636054994,63,0.037970646227312894,Servicenow Inc,0.016179873243785135,0.5628654046050808,17
KKR,0.0395400544669422,39,0.04176486273222866,Kkr & Co Inc,0.015881544359068727,0.5787469489641496,18
NFLX,0.03830981977960231,24,0.04510403100587116,Netflix Inc,0.015387411838958306,0.5941343608031079,19
SPOT,0.03652193698555075,18,0.02665104730056321,Spotify Technology S A,0.014669295986935772,0.6088036567900437,20
ULTA,0.03642802566675932,44,0.03560675352441707,Ulta Salon Cosmetcs & Frag I,0.014631575837196178,0.6234352326272399,21
STZ,0.032023342206926625,45,0.0639431125358883,Constellation Brands Inc,0.012862403368972236,0.6362976359962121,22
IQV,0.029886506427521095,27,0.05833056413732033,Iqvia Hldgs Inc,0.012004128066214452,0.6483017640624266,23
COF,0.02896502509115345,24,0.04226959994500847,Capital One Finl Corp,0.011634008527511943,0.6599357725899385,24
LPLA,0.02788062743579496,57,0.04159273899247965,Lpl Finl Hldgs Inc,0.011198452489498781,0.6711342250794373,25
VST,0.027545486158058817,27,0.06056279432674519,Vistra Corp,0.01106384060945265,0.68219806568889,26
V,0.02628181382452107,63,0.03374147074464538,Visa Inc,0.010556277620706983,0.692754343309597,27
ASML,0.025377447983752327,44,0.032032712931457534,Asml Holding N V,0.010193032642655591,0.7029473759522525,28
ADSK,0.024410135188270204,45,0.03409379106959302,Autodesk Inc,0.009804504572129336,0.7127518805243819,29
AVGO,0.02416795510293415,27,0.05164875035473261,Broadcom Ltd,0.009707231216793842,0.7224591117411757,30
CHTR,0.023476648386226845,21,0.08305593187762085,Charter Communications Inc N,0.009429562952672246,0.731888674693848,31
CVNA,0.022609410265552087,36,0.030502443458010273,Carvana Co,0.009081230587705812,0.7409699052815538,32
HWM,0.02153123759455195,18,0.015979462843939255,Howmet Aerospace Inc,0.008648174858975339,0.7496180801405291,33
HUM,0.019994678772773868,27,0.03152485612982675,Humana Inc,0.008031005069571297,0.7576490852101004,34
TEAM,0.01896817338350843,27,0.021522898597461444,Atlassian Corp Plc,0.007618701872364729,0.7652677870824651,35
CTSH,0.018959718450496477,17,0.06373826074559925,Cognizant Technology Solutio,0.0076153058883305,0.7728830929707956,36
TRU,0.01842756611469838,24,0.037808487948976115,Transunion,0.0074015631143081375,0.7802846560851038,37
DPZ,0.01691139008451928,9,0.030398328535171895,Dominos Pizza Inc,0.006792580218253259,0.787077236303357,38
WDAY,0.01672283311084323,59,0.043173928002867915,Workday Inc,0.006716844967454564,0.7937940812708116,39
