period,rebalance,n,priced_share
2013-06-30,2013-08-31,39,0.7999391091948544
2013-09-30,2013-11-30,38,0.8014230329636958
2013-12-31,2014-02-28,34,0.8210948106530765
2014-03-31,2014-05-31,35,0.8196622545641774
2014-06-30,2014-08-31,35,0.8370744368895399
2014-09-30,2014-11-30,34,0.859490978269508
2014-12-31,2015-02-28,36,0.914545609841408
2015-03-31,2015-05-31,36,0.8885333007786238
2015-06-30,2015-08-31,33,0.8603383622394781
2015-09-30,2015-11-30,32,0.8421634131738238
2015-12-31,2016-02-29,32,0.8819525737742107
2016-03-31,2016-05-31,31,0.9260655504526578
2016-06-30,2016-08-31,30,0.9378433609607777
2016-09-30,2016-11-30,34,0.918101758941006
2016-12-31,2017-02-28,33,0.9003875893989514
2017-03-31,2017-05-31,28,0.8376980091662585
2017-06-30,2017-08-31,30,0.8958977745110299
2017-09-30,2017-11-30,25,0.842188651480532
2017-12-31,2018-02-28,28,0.9029123922649785
2018-03-31,2018-05-31,27,0.9037878946338712
2018-06-30,2018-08-31,26,0.8953373369757648
2018-09-30,2018-11-30,22,0.8546410719200006
2018-12-31,2019-02-28,23,0.9136573140051616
2019-03-31,2019-05-31,28,0.9581926372296301
2019-06-30,2019-08-31,28,0.9263166336801707
2019-09-30,2019-11-30,31,0.9126245059474569
2019-12-31,2020-02-29,38,0.9705123615832774
2020-03-31,2020-05-31,32,0.9472701471220752
2020-06-30,2020-08-31,24,0.9208932589082741
2020-09-30,2020-11-30,29,0.9007008014700368
2020-12-31,2021-02-28,35,0.8804019161322492
2021-03-31,2021-05-31,32,0.8771666199559103
2021-06-30,2021-08-31,31,0.8739819511464136
2021-09-30,2021-11-30,35,0.9190272849854404
2021-12-31,2022-02-28,27,0.9831265577610007
2022-03-31,2022-05-31,28,0.9975657459584891
2022-06-30,2022-08-31,27,0.996840956438854
2022-09-30,2022-11-30,28,0.9959363537687654
2022-12-31,2023-02-28,29,0.995179141042504
2023-03-31,2023-05-31,28,0.9963312600590225
2023-06-30,2023-08-31,28,0.9951662421500881
2023-09-30,2023-11-30,25,0.9953565112166165
2023-12-31,2024-02-29,24,0.9945540395135235
2024-03-31,2024-05-31,25,0.9947274846895658
2024-06-30,2024-08-31,23,0.9950325862842201
2024-09-30,2024-11-30,29,0.9999999999999999
2024-12-31,2025-02-28,30,1.0
2025-03-31,2025-05-31,22,1.0
2025-06-30,2025-08-31,22,1.0
2025-09-30,2025-11-30,25,1.0
2025-12-31,2026-02-28,32,1.0
2026-03-31,2026-05-31,36,0.9999999999999999
2026-06-30,2026-08-31,33,0.9712443112570313
