ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
NVDA,0.11024319420794022,60,0.04802775093181132,Nvidia Corp,0.07735475394336634,0.07735475394336634,1
MSFT,0.10791236288733423,98,0.06427405076624665,Microsoft Corp,0.07571927082275859,0.15307402476612492,2
AAPL,0.09881447657453389,95,0.05449380662126472,Apple Inc,0.06933552294437298,0.2224095477104979,3
GOOG,0.09357633999909236,89,0.04780596899236844,Alphabet Inc,0.06566006008404665,0.28806960779454455,4
TSM,0.07640042454222379,86,0.031525332254968556,Taiwan Semiconductor Mfg Ltd,0.05360817131699897,0.3416777791115435,5
AMZN,0.04906751422968801,93,0.03349613376362634,Amazon Com Inc,0.0344293860235117,0.3761071651350552,6
CDNS,0.040151645249641786,69,0.017609159083508994,Cadence Design System Inc,0.028173354927008017,0.4042805200620632,7
AVGO,0.027978557741146187,30,0.021228748097811383,Broadcom Inc,0.01963181913682931,0.42391233919889254,8
META,0.02722533098716218,95,0.028697371838875,Facebook Inc,0.019103299706340993,0.44301563890523354,9
ABBV,0.026090341487331702,62,0.015561830380513605,Abbvie Inc,0.0183069073837266,0.46132254628896013,10
QCOM,0.021191559226181166,54,0.01655731781696354,Qualcomm Inc,0.014869560532920873,0.476192106821881,11
TT,0.01861729073033955,42,0.015513069799333328,Trane Technologies Plc,0.013063263940095503,0.4892553707619765,12
AMD,0.01697745116082487,12,0.009462686858740658,Advanced Micro Devices Inc,0.011912631582989256,0.5011680023449657,13
EBAY,0.01675233035815834,41,0.01801022809062977,Ebay Inc,0.011754670228341313,0.512922672573307,14
PG,0.015951869294213696,45,0.018531564228924647,Procter And Gamble Co,0.011193007723117716,0.5241156802964247,15
ADBE,0.015230122678597205,95,0.01876787474307574,Adobe Sys Inc,0.010686577078926078,0.5348022573753508,16
GM,0.015019071728122519,42,0.010783924331269805,General Mtrs Co,0.010538488170029905,0.5453407455453807,17
