ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
GOOG,0.10703995894016456,0.04178633906573794,123,0.04284867382614254,2016-06-30,2026-08-31,Alphabet Inc,0.15085328477874613,0.15085328477874613,1
DE,0.0858875686680008,0.028164522167866,144,0.033951528297314716,2014-09-30,2026-08-31,Deere & Co,0.10167702599077559,0.2525303107695217,2
UNH,0.04414806872515702,0.022445540830526682,80,0.026662768360961285,2013-10-31,2020-05-31,United Health Group Inc,0.08103087369280215,0.33356118446232386,3
GS,0.03744663134487626,0.017868943012045196,90,0.01698205179407108,2018-12-31,2026-08-31,Goldman Sachs,0.06450885167639502,0.3980700361387189,4
AAPL,0.04661493563568892,0.01736496093432598,100,0.02215261601520959,2018-05-31,2026-08-31,Apple Inc,0.06268942088649128,0.46075945702521015,5
ADI,0.043578336399705986,0.013394464317998763,117,0.020823717705913614,2016-12-31,2026-08-31,Analog Devices Inc,0.04835549094269853,0.5091149479679087,6
AMZN,0.06916319402268106,0.012912599299117002,120,0.03482678877268575,2016-09-30,2026-08-31,Amazon.Com,0.04661590517032615,0.5557308531382348,7
CAT,0.029935881721729916,0.012457342349050795,155,0.009187506105943469,2013-10-31,2026-08-31,Caterpillar Inc,0.04497237745597436,0.6007032305942092,8
MSFT,0.036720462553553726,0.009486625081766883,132,0.015609005806020516,2013-10-31,2026-08-31,Microsoft Corp,0.03424776103974072,0.6349509916339499,9
BX,0.027009817151880035,0.008401630352721798,141,0.011986898150835054,2014-06-30,2026-08-31,Blackstone Group,0.030330810608007887,0.6652818022419578,10
BN,0.09571899641155704,0.007922482478205876,155,0.051647733127200376,2013-10-31,2026-08-31,Brookfield Asset Management,0.02860103402595868,0.6938828362679165,11
V,0.0570730443355872,0.006976470760030565,155,0.025662610413773337,2013-10-31,2026-08-31,Visa,0.02518582756574635,0.7190686638336629,12
HD,0.07302757224750772,0.006950723966739148,155,0.03618326960771356,2013-10-31,2026-08-31,Home Depot,0.02509287880719587,0.7441615426408588,13
