period,rebalance,n,priced_share
2013-06-30,2013-08-31,51,0.9210848873168664
2013-09-30,2013-11-30,53,0.9274100264962769
2013-12-31,2014-02-28,53,0.9336064071467993
2014-03-31,2014-05-31,53,0.9328818384351073
2014-06-30,2014-08-31,55,0.9309080324186257
2014-09-30,2014-11-30,55,0.9427754860486242
2014-12-31,2015-02-28,56,0.9453870750536499
2015-03-31,2015-05-31,54,0.9329228420778688
2015-06-30,2015-08-31,54,0.9315635972394668
2015-09-30,2015-11-30,53,0.9224053637153258
2015-12-31,2016-02-29,53,0.9101625080050462
2016-03-31,2016-05-31,53,0.9113767222654011
2016-06-30,2016-08-31,52,0.9102940838962275
2016-09-30,2016-11-30,53,0.9155852847783571
2016-12-31,2017-02-28,54,0.9234618399334417
2017-03-31,2017-04-30,53,0.9196557069573783
2017-06-30,2017-07-31,53,0.9235590889714509
2017-09-30,2017-10-31,53,0.9282444718838888
2017-12-31,2018-02-28,53,0.9352443544176134
2018-03-31,2018-04-30,55,0.9562371320741365
2018-06-30,2018-08-31,53,0.9420327087100744
2018-09-30,2018-11-30,55,0.9486632408944251
2018-12-31,2019-02-28,55,0.9481365856293331
2019-03-31,2019-05-31,55,0.9516007814557683
2019-06-30,2019-08-31,56,0.9666975140966416
2019-09-30,2019-11-30,58,0.978965748781959
2019-12-31,2020-02-29,56,0.9664402998104218
2020-03-31,2020-05-31,55,0.968835727448181
2020-06-30,2020-08-31,57,0.9931538002331025
2020-09-30,2020-10-31,56,0.988447159088475
2020-12-31,2021-02-28,57,0.9932282565026735
2021-03-31,2021-04-30,57,0.9938945635095027
2021-06-30,2021-08-31,57,0.9940696486463318
2021-09-30,2021-11-30,57,0.994393144836626
2021-12-31,2022-02-28,56,0.9955187739300674
2022-03-31,2022-04-30,56,0.9903870418610231
2022-06-30,2022-08-31,56,0.9943659895676045
2022-09-30,2022-11-30,55,0.9898609719592788
2022-12-31,2023-02-28,56,0.9878196259275374
2023-03-31,2023-04-30,57,0.9920954859589283
2023-06-30,2023-08-31,57,0.9927410698377613
2023-09-30,2023-11-30,57,0.9918330946297003
2023-12-31,2024-02-29,58,1.0
2024-03-31,2024-05-31,58,1.0000000000000002
2024-06-30,2024-08-31,58,1.0
2024-09-30,2024-11-30,58,1.0
2024-12-31,2025-02-28,58,1.0
2025-03-31,2025-05-31,58,1.0
2025-06-30,2025-08-31,58,1.0
2025-09-30,2025-10-31,58,1.0000000000000002
2025-12-31,2026-02-28,58,1.0
2026-03-31,2026-05-31,58,1.0
2026-06-30,2026-07-31,58,1.0
