period,rebalance,n,priced_share
2013-06-30,2013-08-31,44,0.7583801058389146
2013-09-30,2013-11-30,44,0.7566645756449357
2013-12-31,2014-02-28,45,0.7466666426288263
2014-03-31,2014-05-31,43,0.7655718082759322
2014-06-30,2014-08-31,42,0.7727907507760329
2014-09-30,2014-11-30,43,0.8036287603867639
2014-12-31,2015-02-28,43,0.7996444017958121
2015-03-31,2015-05-31,46,0.7645649342228776
2015-06-30,2015-08-31,44,0.7302360852837578
2015-09-30,2015-11-30,49,0.8351731037764085
2015-12-31,2016-02-29,52,0.8621661892158512
2016-03-31,2016-05-31,46,0.8115511839565195
2016-06-30,2016-08-31,48,0.8213162422693112
2016-09-30,2016-11-30,46,0.8133930255418085
2016-12-31,2017-02-28,45,0.7893718264045493
2017-03-31,2017-05-31,46,0.8022327394783525
2017-06-30,2017-08-31,48,0.8227987433712779
2017-09-30,2017-11-30,53,0.8950828805014368
2017-12-31,2018-02-28,51,0.8717006189825567
2018-03-31,2018-05-31,50,0.8535125069187931
2018-06-30,2018-08-31,50,0.8433295499953839
2018-09-30,2018-11-30,51,0.86322801217961
2018-12-31,2019-02-28,50,0.8610774153171254
2019-03-31,2019-05-31,53,0.8829376874964606
2019-06-30,2019-08-31,54,0.9190653290482984
2019-09-30,2019-11-30,56,0.9486152372155177
2019-12-31,2020-02-29,54,0.9268293925391611
2020-03-31,2020-05-31,53,0.9192131065100623
2020-06-30,2020-08-31,57,0.9549392172231991
2020-09-30,2020-11-30,56,0.9621102604849858
2020-12-31,2021-02-28,51,0.9103336183735725
2021-03-31,2021-05-31,55,0.9529692552853193
2021-06-30,2021-08-31,56,0.9591266820331719
2021-09-30,2021-11-30,55,0.9436226189680638
2021-12-31,2022-02-28,53,0.9351371861467479
2022-03-31,2022-05-31,56,0.963219705916882
2022-06-30,2022-08-31,53,0.9261651574509125
2022-09-30,2022-11-30,54,0.9299847767048672
2022-12-31,2023-02-28,56,0.9464176229145433
2023-03-31,2023-05-31,56,0.9672897457017189
2023-06-30,2023-08-31,57,0.9608047942958942
2023-09-30,2023-11-30,58,0.9937153613212197
2023-12-31,2024-02-29,59,1.0
2024-03-31,2024-05-31,58,0.9941329019743008
2024-06-30,2024-08-31,57,0.9878229559523449
2024-09-30,2024-11-30,58,0.995071114188326
2024-12-31,2025-02-28,58,0.9942521896263986
2025-03-31,2025-05-31,59,1.0
2025-06-30,2025-08-31,59,1.0000000000000002
2025-09-30,2025-11-30,59,1.0
2025-12-31,2026-02-28,59,1.0
2026-03-31,2026-05-31,59,0.9999999999999998
2026-06-30,2026-08-31,60,1.0
