ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
NVDA,0.42980500208672434,0.3266510309472327,24,0.19652730881290706,2022-12-31,2024-11-30,Nvidia Corporation,0.26447757029030255,0.26447757029030255,1
NFLX,0.5612432394001396,0.32083841839136795,110,0.1977860139764602,2013-10-31,2022-11-30,Netflix Inc,0.2597713073363603,0.5242488776266628,2
TDG,0.31304038965924075,0.15979453460359716,134,0.09798796546440361,2013-10-31,2024-11-30,Transdigm Group Inc,0.1293798771584348,0.6536287547850976,3
AMAT,0.13874262260405248,0.08091716656396185,60,0.0691712674289357,2019-06-30,2024-05-31,Applied Matls Inc,0.06551571426409926,0.7191444690491969,4
AMZN,0.1431735150285807,0.06066958907264097,71,0.061569463970862,2013-10-31,2024-11-30,Amazon Com Inc,0.04912198030391402,0.768266449353111,5
META,0.05822024015138,0.0342720024272533,32,0.050009538121969246,2013-10-31,2020-08-31,Facebook Inc,0.027748805520860377,0.7960152548739713,6
DOCU,0.052103646951448715,0.03261025346210059,21,0.035289161925346944,2019-09-30,2021-05-31,Docusign Inc,0.026403347257766732,0.822418602131738,7
Z,0.03346271012312226,0.025995211643902005,18,0.022793833837937916,2018-12-31,2020-11-30,Zillow Group Inc,0.02104738624220659,0.8434659883739446,8
WDAY,0.17920880805235312,0.02456415419575701,134,0.0963739872163139,2013-10-31,2024-11-30,Workday Inc,0.01988871058845557,0.8633546989624001,9
VEEV,0.023296548630109458,0.020613249645170313,21,0.016986803098051888,2018-06-30,2024-11-30,Veeva Sys Inc,0.01668980552773079,0.8800445044901309,10
MRVL,0.05121313116428752,0.019432419347131715,15,0.09210609275241483,2023-09-30,2024-11-30,Marvell Technology Inc,0.01573372978155973,0.8957782342716907,11
BHC,0.028659013433866922,0.01879897551669958,17,0.03882363992886263,2013-10-31,2015-02-28,Valeant Pharmaceuticals Intl,0.015220853135488049,0.9109990874071787,12
STZ,0.055129158375905804,0.01826045602591598,69,0.05329021382927857,2014-03-31,2019-11-30,Constellation Brands Inc,0.014784833307038692,0.9257839207142174,13
EXEL,0.04973515798333873,0.01736325089352164,24,0.11701146990734473,2017-03-31,2019-02-28,Exelixis Inc,0.01405839863827447,0.939842319352492,14
AMT,0.05169203032699195,0.01539878758002001,44,0.07539482792463394,2013-10-31,2017-05-31,American Tower Corp New,0.01246784347433477,0.9523101628268267,15
HRB,0.048215958407734696,0.01451610578303343,26,0.11339628787332293,2013-10-31,2015-11-30,Block H & R Inc,0.011753167826964166,0.9640633306537908,16
MU,0.047240084585008835,0.012742308391069138,45,0.05523361616512282,2019-06-30,2023-02-28,Micron Technology Inc,0.010316987989865245,0.974380318643656,17
BB,0.008192201348204888,0.0074068685808449525,3,0.017009559652562328,2013-12-31,2014-02-28,Blackberry Ltd,0.005997074615196619,0.9803773932588526,18
LKQ,0.01281600704010228,0.006835024794171205,24,0.052324637348809176,2015-06-30,2017-05-31,Lkq Corp,0.005534073305062961,0.9859114665639156,19
XBI,0.005806351663766411,0.006005702865832568,3,0.028556920078577536,2022-06-30,2022-08-31,Spdr Ser Tr,0.00486260122074279,0.9907740677846584,20
VCYT,0.004670222440894564,0.0031496322385970396,3,0.021411211173323563,2021-06-30,2021-08-31,Veracyte Inc,0.002550143740114862,0.9933242115247732,21
S,0.0018079634328322905,0.0019703648700844854,3,0.012233129799972611,2022-06-30,2022-08-31,Sentinelone Inc,0.0015953334416675814,0.9949195449664409,22
ORLY,0.0024182017821081613,0.0013853071966426459,3,0.012719127360017396,2017-09-30,2017-11-30,O Reilly Automotive Inc New,0.001121633323523485,0.9960411782899643,23
TER,0.0016507991909201674,0.001268842422453671,3,0.007318406419331613,2019-06-30,2019-08-31,Teradyne Inc,0.0010273359921708569,0.9970685142821352,24
NWS,0.00463672954447398,0.0009454195902714126,2,0.0509086736626045,2013-10-31,2013-11-30,News Corp,0.0007654721781062692,0.9978339864602415,25
ARKG,0.0007435050083772017,0.0008517627747091137,3,0.006618457172034382,2022-06-30,2022-08-31,Ark Etf Tr,0.0006896416290667802,0.9985236280893083,26
BOX,0.000673050095199697,0.0005931329710240206,3,0.00920499908552577,2018-03-31,2018-05-31,Box Inc,0.0004802383956377052,0.999003866484946,27
XLE,0.0021353828233072964,0.0004704975930563939,6,0.01126444687260683,2023-03-31,2023-08-31,Select Sector Spdr Tr,0.0003809449487367209,0.9993848114336827,28
BILL,0.0006577067200440904,0.0004590402946446256,6,0.0009493977222719274,2020-03-31,2020-08-31,Bill Com Hldgs Inc,0.00037166838702727716,0.99975647982071,29
NET,0.0003954635190274005,0.00019218927542215383,6,0.0024462459489344307,2020-12-31,2023-02-28,Cloudflare Inc,0.000155608731593797,0.9999120885523038,30
TXG,9.33558160016824e-05,9.818696962987624e-05,3,0.0003862794740885574,2022-12-31,2023-02-28,10X Genomics Inc,7.949845156335145e-05,0.9999915870038671,31
LITE,0.0020955870454007,6.146622984955566e-06,3,0.012894747160793715,2020-06-30,2020-08-31,Lumentum Hldgs Inc,4.976699163745122e-06,0.9999965637030309,32
UPLD,2.496718198042754e-07,4.244102614576843e-06,3,8.469995830730802e-05,2019-12-31,2020-02-29,Upland Software Inc,3.436296969003989e-06,0.9999999999999999,33
EXPE,0.0009334245662097154,-2.0818611880183704e-05,3,0.0124072104262764,2018-06-30,2018-08-31,Expedia Group Inc,,,34
GERN,-2.748936763461145e-05,-4.301170708027117e-05,3,0.0001946766454262908,2024-09-30,2024-11-30,Geron Corp,,,35
ZS,0.000844142986560795,-5.119075010534817e-05,24,0.0038825323078223225,2022-12-31,2024-11-30,Zscaler Inc,,,36
PTC,0.00028401086688424154,-6.406117544607948e-05,9,0.008458521571177881,2019-12-31,2024-08-31,Ptc Inc,,,37
BBIO,-1.7045326840115597e-05,-9.128575134950374e-05,6,0.0004937355570019505,2024-06-30,2024-11-30,Bridgebio Pharma Inc,,,38
GTM,-0.0001605388152172088,-0.00016049711977078577,3,0.0010605173563168536,2022-12-31,2023-02-28,Zoominfo Technologies Inc,,,39
LRCX,0.0017655179048038294,-0.0001759935373433425,9,0.008495294757752543,2020-12-31,2021-08-31,Lam Research Corp,,,40
QSR,-0.003129212986214557,-0.00019371927640511035,9,0.04195201531526385,2015-06-30,2016-02-29,Restaurant Brands Intl Inc,,,41
BPOP,0.005484105594611062,-0.00023488872591348833,11,0.030707855643191836,2013-10-31,2014-08-31,Popular Inc,,,42
VRNS,-9.091095279358582e-05,-0.0002992852180046181,9,0.009118876964756918,2021-06-30,2022-02-28,Varonis Sys Inc,,,43
LOGC,-0.00013772429821809452,-0.0003111121848517769,3,0.0026042719841112816,2021-06-30,2021-08-31,Contextlogic Inc,,,44
ADCT,-0.000379820345142324,-0.00038461948943643176,9,0.00067810620204425,2022-06-30,2023-02-28,Adc Therapeutics Sa,,,45
OKTA,-6.562129591969524e-05,-0.00042596628478582557,3,0.0043801810292681065,2024-09-30,2024-11-30,Okta Inc,,,46
ABCL,-0.000367787770880878,-0.0004672066615000308,3,0.0010910952446579233,2021-03-31,2021-05-31,Abcellera Biologics Inc,,,47
ILMN,0.004237133351035614,-0.0005647502789620472,21,0.08986188357658148,2014-06-30,2016-02-29,Illumina Inc,,,48
CSTL,0.0007371757386672689,-0.0006107113723574718,6,0.008816438589669436,2021-03-31,2021-08-31,Castle Biosciences Inc,,,49
CHTR,0.0007828056385864321,-0.0013102754479719448,12,0.02934455519788894,2018-03-31,2019-02-28,Charter Communications Inc N,,,50
GOOG,-0.00011452401064578462,-0.0013413949618125958,6,0.007920425989174354,2024-06-30,2024-11-30,Alphabet Inc,,,51
BLKB,-0.0018548956769499558,-0.0015108669046992288,9,0.0064850483298391675,2018-09-30,2019-05-31,Blackbaud Inc,,,52
MRNA,-0.0008176439105964865,-0.0015571644229981313,6,0.006465534081272819,2024-03-31,2024-08-31,Moderna Inc,,,53
AMPL,-0.002493648298631998,-0.0017772415829939226,6,0.006563253412136736,2021-12-31,2022-05-31,Amplitude Inc,,,54
GWRE,-0.00043955026360214026,-0.0018510675792862757,9,0.006509173491465008,2020-09-30,2021-05-31,Guidewire Software Inc,,,55
ADSK,-0.0005360582135452161,-0.00233276327308249,9,0.008508684908324278,2023-09-30,2024-05-31,Autodesk Inc,,,56
PRKS,0.002005052926637191,-0.0024620293775184806,8,0.03367540473510052,2013-10-31,2014-05-31,Seaworld Entmt Inc,,,57
AI,-0.0022954377238127203,-0.002621424110498697,3,0.0037509238372355363,2021-03-31,2021-05-31,C3 Ai Inc,,,58
INTC,-0.0011545699916834494,-0.0028350272114188906,3,0.02391519162954574,2021-06-30,2021-08-31,Intel Corp,,,59
HIMX,-0.0018028534353474448,-0.0029252417638028576,3,0.015912010848958782,2016-12-31,2017-02-28,Himax Technologies Inc,,,60
DT,-0.001533014828859196,-0.0031770942669052575,18,0.014963294316870629,2020-12-31,2022-05-31,Dynatrace Inc,,,61
PSKY,-0.0019701046402228577,-0.0033238123771026917,6,0.019002738086594192,2014-03-31,2014-08-31,Cbs Corp New,,,62
CMG,-0.0023067357083375417,-0.003998818326175541,3,0.01605564627122059,2016-03-31,2016-05-31,Chipotle Mexican Grill Inc,,,63
ESTC,-0.0023780235782721146,-0.004176298760596126,9,0.018329912977928176,2019-03-31,2019-11-30,Elastic N V,,,64
U,-0.003199979231201092,-0.0044901962377695195,15,0.003602110020761258,2020-12-31,2024-11-30,Unity Software Inc,,,65
XYZ,-7.308073760273204e-05,-0.004592899315341887,24,0.03436372474235249,2018-06-30,2020-05-31,Square Inc,,,66
PRM,-0.002415347251438502,-0.004608486342859198,33,0.00962586691639511,2022-03-31,2024-11-30,Perimeter Solutions Sa,,,67
CRM,0.03955857051898215,-0.004802771190700774,68,0.0688499562982437,2013-10-31,2023-02-28,Salesforce Com Inc,,,68
AMD,-0.007635074430134872,-0.00578996693142289,3,0.04890743263944853,2022-06-30,2022-08-31,Advanced Micro Devices Inc,,,69
