period,rebalance,n,priced_share
2013-06-30,2013-08-31,41,0.7956607378270728
2013-09-30,2013-11-30,40,0.753203649904862
2013-12-31,2014-02-28,44,0.7715265107192826
2014-03-31,2014-05-31,30,0.729694791748842
2014-06-30,2014-08-31,35,0.8236948212752263
2014-09-30,2014-11-30,33,0.7836426889556983
2014-12-31,2015-02-28,32,0.7430603389301362
2015-03-31,2015-05-31,43,0.763252495227535
2015-06-30,2015-08-31,41,0.6512785305564506
2015-09-30,2015-11-30,40,0.6546592993983872
2015-12-31,2016-02-29,40,0.7102259004877658
2016-03-31,2016-05-31,41,0.8393592716923373
2016-06-30,2016-08-31,45,0.9241128542233237
2016-09-30,2016-11-30,47,0.9230123066495641
2016-12-31,2017-02-28,47,0.9155331122987672
2017-03-31,2017-05-31,48,0.8677996857068211
2017-06-30,2017-08-31,45,0.8672277631385278
2017-09-30,2017-11-30,49,0.7959246556077574
2017-12-31,2018-02-28,47,0.7927595217466644
2018-03-31,2018-05-31,47,0.8099699859942651
2018-06-30,2018-08-31,49,0.856035516616571
2018-09-30,2018-11-30,52,0.899318686898846
2018-12-31,2019-02-28,51,0.8906717290275761
2019-03-31,2019-05-31,51,0.8939697054469116
2019-06-30,2019-08-31,55,0.9279842993901922
2019-09-30,2019-11-30,51,0.9125489969079138
2019-12-31,2020-02-29,57,0.9386918913536598
2020-03-31,2020-05-31,54,0.9356817957121691
2020-06-30,2020-08-31,53,0.9378292911651933
2020-09-30,2020-11-30,51,0.9289115051615051
2020-12-31,2021-02-28,48,0.9043161567263989
2021-03-31,2021-05-31,44,0.9370534757090786
2021-06-30,2021-08-31,46,0.9333623513256546
2021-09-30,2021-11-30,47,0.9328509141104513
2021-12-31,2022-02-28,48,0.9250618026109396
2022-03-31,2022-05-31,45,0.9058696235606666
2022-06-30,2022-08-31,40,0.8790114819659501
2022-09-30,2022-11-30,44,0.894780416167064
2022-12-31,2023-02-28,44,0.8917585007908927
2023-03-31,2023-05-31,51,0.9439908547631257
2023-06-30,2023-08-31,52,0.9619892966561098
2023-09-30,2023-11-30,54,0.9604418931698836
2023-12-31,2024-02-29,53,0.9397555252809608
2024-03-31,2024-05-31,54,0.947437090624796
2024-06-30,2024-08-31,55,0.9471953727628535
2024-09-30,2024-11-30,54,0.9347206102322924
2024-12-31,2025-02-28,58,0.953271760207069
2025-03-31,2025-05-31,57,0.9621743169051835
2025-06-30,2025-08-31,59,0.9920342995990876
2025-09-30,2025-11-30,59,0.9943186981868115
2025-12-31,2026-02-28,58,0.9841933574776267
2026-03-31,2026-05-31,59,0.9912267611765301
2026-06-30,2026-08-31,60,1.0
