ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
AMZN,0.14247542718084194,0.08735540573584959,87,0.06020568247022831,2015-04-30,2022-09-30,Amazon Com Inc,0.1537288506230938,0.1537288506230938,1
META,0.06365904152678896,0.03025864225354285,69,0.03212982490483855,2015-09-30,2022-05-31,Facebook Inc,0.05324943838184879,0.20697828900494258,2
ADBE,0.04760048793901909,0.025816182687979333,63,0.02672291504901063,2015-12-31,2021-05-31,Adobe Sys Inc,0.04543155696740325,0.25240984597234584,3
GOOG,0.04363113231446462,0.020739495272248977,45,0.04469730486639148,2016-03-31,2022-02-28,Alphabet Inc,0.0364975555187365,0.28890740149108235,4
MA,0.04457195752683728,0.019979531389017122,63,0.0343019086679781,2016-12-31,2022-02-28,Mastercard Incorporated,0.035160164051085734,0.3240675655421681,5
TCOM,0.022555905725350316,0.019026958972432846,22,0.017955646239202525,2015-09-30,2022-09-30,Ctrip Com Intl Ltd,0.03348381830575692,0.357551383847925,6
PYPL,0.03062964917173265,0.018362726547333775,42,0.02768007801590689,2017-12-31,2021-11-30,Paypal Hldgs Inc,0.032314895943174785,0.3898662797910998,7
LULU,0.01805877089528988,0.017452216308245484,18,0.02441603960652935,2015-09-30,2020-02-29,Lululemon Athletica Inc,0.03071257160667229,0.42057885139777207,8
CRM,0.03195436913310194,0.015381852662528967,45,0.028122334927519737,2016-06-30,2020-11-30,Salesforce Com Inc,0.02706912652222891,0.447647977920001,9
NFLX,0.04166353777004402,0.014467100462396031,54,0.02799777248605319,2016-06-30,2021-08-31,Netflix Inc,0.02545933714346271,0.4731073150634637,10
CSGP,0.023103122703425443,0.012998478358031524,31,0.021124262507843918,2018-03-31,2022-09-30,Costar Group Inc,0.022874842386649143,0.49598215745011287,11
BABA,0.05210766969365935,0.012556273301943303,54,0.04177022553412311,2016-03-31,2021-05-31,Alibaba Group Hldg Ltd,0.022096645840716727,0.5180788032908296,12
NOW,0.02602183042910069,0.012365770128101368,55,0.0263220946275795,2018-03-31,2022-09-30,Servicenow Inc,0.021761396594169487,0.5398401998849991,13
ADYYF,0.014587218634971722,0.01171729060616488,12,0.010719336944311821,2019-12-31,2021-02-28,Adyen Nv,0.02062019633620997,0.560460396221209,14
RACE,0.016287675968515495,0.011522580674006811,49,0.024719799176589553,2018-09-30,2022-09-30,Ferrari N V,0.02027754399748611,0.5807379402186952,15
