ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
NVDA,0.1645447829953766,39,0.06397719993942164,Nvidia Corp,0.08702379687611979,0.08702379687611979,1
META,0.11462452378737419,83,0.04950755296474019,Facebook Inc,0.06062216676523067,0.14764596364135046,2
AMZN,0.09972913146845074,98,0.052948185876798844,Amazon.Com Inc,0.05274435033158214,0.2003903139729326,3
MSFT,0.06023182942590413,89,0.03872493304378088,Microsoft Corp,0.031855172762203315,0.23224548673513593,4
BABA,0.05590051812903011,50,0.07508816983181328,Alibaba Group Holding Ltd,0.029564445899614187,0.2618099326347501,5
JD,0.04305106029413516,45,0.03229228140131247,Jd.Com Inc,0.022768675239273145,0.2845786078740232,6
GOOG,0.039660499590040206,74,0.03555589775100765,Alphabet Inc-Cl A,0.02097548884564799,0.3055540967196712,7
NFLX,0.03932359479833055,71,0.019934299879344464,Netflix Inc,0.02079730796609281,0.326351404685764,8
HUT,0.036204587947274325,18,0.013937673625436202,Hut 8 Corp,0.019147739904921465,0.3454991445906855,9
VRT,0.03248633660023703,27,0.019288277543803068,Vertiv Holdings Co,0.017181245774457152,0.36268039036514266,10
GEV,0.03139655060737901,6,0.03154453365745749,Ge Vernova Inc,0.016604884049980104,0.3792852744151228,11
EEM,0.02877976826164649,38,0.06874341882460178,Ishares Msci Emerging Mkt In,0.015220930507494094,0.39450620492261684,12
CVNA,0.028203834086451787,27,0.017333222902955123,Carvana Co,0.014916332708865818,0.4094225376314827,13
PYPL,0.023807114111186772,24,0.017633845408980924,Paypal Hldgs Inc,0.012591012762019542,0.4220135503935022,14
UBS,0.02348096716924282,15,0.034686873729961,Ubs Group Ag,0.01241852145168553,0.43443207184518773,15
BAC,0.023437981667090494,35,0.030509640967099426,Bank Of America Na,0.012395787448578138,0.4468278592937659,16
AFRM,0.02246586714613345,6,0.036628241027763984,Affirm Hldgs Inc,0.011881659348786183,0.45870951864255205,17
GDS,0.021858726280977146,42,0.024802623833225713,Gds Hldgs Ltd,0.01156055707885862,0.47027007572141066,18
AVGO,0.018688344596611915,29,0.022305836469272245,Broadcom Ltd,0.009883818098153759,0.4801538938195644,19
ALLY,0.018585043358269448,66,0.032303663311070194,Ally Financial Inc,0.009829184546005107,0.48998307836556954,20
WDAY,0.018283883402162138,21,0.020179758899248047,Workday Inc,0.009669908254345104,0.49965298661991464,21
BURL,0.01810035303514105,24,0.016844193407777087,Burlington Stores Inc,0.009572843436552054,0.5092258300564667,22
PGR,0.01639203469376826,42,0.016329025313265882,Progressive Corp,0.008669354759286896,0.5178951848157536,23
FCX,0.016119088794112914,39,0.01795387184575275,Freeport-Mcmoran Inc,0.008525000206700176,0.5264201850224538,24
V,0.015919767687282853,50,0.016543725274752296,Visa Inc-Class A Shrs,0.008419584044618695,0.5348397690670725,25
GDX,0.015561709233978567,27,0.033742383821103665,Vaneck Vectors Etf Tr,0.008230215499819523,0.543069984566892,26
MDY,0.015456519511872338,12,0.09545992006910568,Spdr S&P Midcap 400 Etf Tr,0.00817458317381448,0.5512445677407065,27
IREN,0.015366073387397337,3,0.023741544629935246,Iris Energy Ltd,0.008126748383666404,0.559371316124373,28
ECHO,0.014868165268172435,6,0.0122962733739544,Echostar Corp,0.007863416698263674,0.5672347328226366,29
LKNCY,0.013597340177091615,6,0.018706829813098902,Luckin Coffee Inc,0.007191307728425347,0.574426040551062,30
IWM,0.013403820539163662,15,0.03671393418060777,Russell 2000 Index,0.007088959824371436,0.5815150003754334,31
SAM,0.013224032933814474,12,0.01358201946007837,Boston Beer Inc,0.006993874463632947,0.5885088748390663,32
PLNT,0.01298934043814526,24,0.01430297495092594,Planet Fitness Inc,0.006869751220709827,0.5953786260597762,33
MA,0.012066933948739141,48,0.019852657091954898,Mastercard Inc-Class A,0.00638191250890121,0.6017605385686774,34
SPY,0.012064345631176164,15,0.03561837810264581,S&P 500 Index,0.006380543609700938,0.6081410821783784,35
NOW,0.012028043035174739,45,0.018401956340797006,Servicenow Inc,0.006361344035682279,0.6145024262140606,36
