ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
SBLK,0.23316992034510456,0.17193308592677423,44,0.11109375182050331,2020-07-31,2024-02-29,Star Bulk Carriers Corp,0.25297001866381463,0.25297001866381463,1
EXE,0.10392234934899593,0.07278898811635946,33,0.15126380445701415,2021-06-30,2024-02-29,Chesapeake Energy Corp,0.1070964996821953,0.36006651834600994,2
ALLY,0.11452516629907468,0.06363976362483349,41,0.07191679627267164,2020-07-31,2023-11-30,Ally Financial Inc,0.0936349865714117,0.45370150491742167,3
VST,0.14158583850095863,0.050242551146659334,44,0.13263112145226888,2020-07-31,2024-02-29,Vistra Energy Corp,0.07392328842804091,0.5276247933454625,4
TSM,0.07570034163363606,0.04836351870558392,11,0.06585741890763469,2020-07-31,2021-05-31,Taiwan Semiconductor Sponsored Adr,0.07115861478115944,0.598783408126622,5
WFRD,0.04058237205452392,0.03906292118924391,18,0.031696732011901776,2022-03-31,2023-08-31,Weatherford International Ltd,0.05747438225191141,0.6562577903785334,6
PCG,0.05100680819863763,0.03310552065615633,36,0.05875614734920184,2020-09-30,2023-08-31,Pg&E Corp,0.04870909012724827,0.7049668805057816,7
PBR,0.036185363958116466,0.02826922297589609,41,0.018933938402666065,2020-07-31,2024-02-29,Petroleo Brasileiro Sa Sponsored Adr,0.04159330838085273,0.7465601888866343,8
ONT,0.02504054125899778,0.02226006913186159,3,0.0377375573015895,2020-12-31,2021-02-28,Montrose Environmental Group Inc,0.032751870144081,0.7793120590307153,9
BIDU,0.020842824938111328,0.015326580056977028,8,0.020949956115373782,2020-07-31,2021-02-28,Baidu Inc,0.022550431303938794,0.8018624903346541,10
VIST,0.017830304226213203,0.01337099759592591,24,0.010232088845221067,2021-12-31,2024-02-29,Vista Oil & Gas Sab De Cv,0.01967312744468379,0.8215356177793378,11
IBN,0.01977444588650182,0.009222067206275079,41,0.018519255704799478,2020-07-31,2024-02-29,Icici Bank Ltd-Spon Adr,0.013568688659982158,0.83510430643932,12
ALVO,0.014343182623664586,0.008895038491248914,18,0.01515190147676261,2022-09-30,2024-02-29,Alvotech Sa,0.013087522049740508,0.8481918284890605,13
FTAI,0.012474231234436762,0.008450581603674625,12,0.013388772505936508,2023-03-31,2024-02-29,Ftai Aviation Ltd,0.01243358004352994,0.8606254085325904,14
CX,0.02128893828636073,0.008113956834303325,44,0.024693449373363142,2020-07-31,2024-02-29,Cemex Sab De Cv,0.011938294486759163,0.8725637030193496,15
ITUB,0.02262717836867092,0.007876394902600819,44,0.02247467203082444,2020-07-31,2024-02-29,Itau Unibanco H-Spon Prf Adr,0.01158876288862226,0.8841524659079718,16
GTX,0.03428823474912082,0.007429021654157494,33,0.07932878371768681,2020-12-31,2024-02-29,Garrett Motion Inc,0.010930529958070435,0.8950829958660422,17
VAL,0.005486075757858441,0.0063113242171587355,12,0.007521800881127736,2021-09-30,2023-05-31,Valaris Ltd,0.009286030064556668,0.9043690259305989,18
NBR,0.007060551194264631,0.005604830421257927,8,0.005255942525042554,2020-07-31,2021-02-28,Nabors Industries Ltd,0.008246545733943223,0.9126155716645421,19
COIN,0.006293675220472584,0.005586050934290956,6,0.0053441895699173625,2023-09-30,2024-02-29,Coinbase Global Inc,0.008218914942912376,0.9208344866074545,20
PARR,0.003660116895629819,0.004193063084697862,21,0.0060525655535580165,2021-09-30,2023-05-31,Par Pacific Holdings Inc,0.006169372468812241,0.9270038590762667,21
RWAY,0.017318089944075243,0.0039534426884939595,24,0.052016803940325186,2022-03-31,2024-02-29,Runway Growth Finance Corp,0.005816812193556387,0.932820671269823,22
SMCI,0.016217982892418072,0.003813284635735324,29,0.02087270745487545,2020-07-31,2022-11-30,Super Micro Computer Inc,0.005610593681097787,0.9384312649509209,23
CCS,0.007269716187486264,0.0037724832180510218,8,0.01186885969153791,2020-07-31,2021-02-28,Century Communities Inc,0.005550561399716507,0.9439818263506374,24
MTG,0.007541839156025028,0.003314806179656406,32,0.007757512759264146,2020-07-31,2024-02-29,Mgic Investment Corp,0.004877168211194345,0.9488589945618318,25
BABA,0.01052341640049685,0.0031903161031896776,5,0.030929229093932954,2020-07-31,2020-11-30,Alibaba Group Holding-Sp Adr,0.004694002435988865,0.9535529969978206,26
TOL,0.00400516372156802,0.002990629918642583,12,0.005910933897856714,2022-09-30,2023-08-31,Toll Brothers Inc,0.004400198497325782,0.9579531954951463,27
VAC,0.003500708494890029,0.00272896028849448,6,0.00526448910175516,2020-09-30,2021-02-28,Marriott Vacations Worldwide Corp,0.004015196559708545,0.9619683920548548,28
IONS,0.0023909084950398543,0.0026744784693071184,9,0.00535228910824271,2021-12-31,2022-11-30,Ionis Pharmaceuticals Inc,0.003935035916151346,0.9659034279710061,29
PHM,0.002792488593939051,0.002413331606722831,9,0.005264357559400963,2022-09-30,2023-05-31,Pultegroup Inc,0.00355080314125612,0.9694542311122623,30
FSLY,0.0019519023547967572,0.002056271407778887,3,0.0043902447990224296,2022-12-31,2023-02-28,Fastly Inc,0.003025450358200599,0.9724796814704628,31
MELI,0.005121949633741497,0.002032871497983132,11,0.008744457978851955,2020-07-31,2021-05-31,Mercadolibre Inc,0.0029910214082061524,0.975470702878669,32
NMIH,0.01972523206754288,0.0017915769501536758,44,0.025059020377655707,2020-07-31,2024-02-29,Nmi Holdings Inc-Class A,0.002635997906249751,0.9781067007849188,33
TRIP,0.0021931861173520757,0.0016126874573435237,3,0.004894339241571434,2023-12-31,2024-02-29,Tripadvisor Inc,0.0023727927291251,0.9804794935140438,34
VALE,0.010582503276900758,0.0014255319193886284,36,0.024231864940425608,2020-12-31,2024-02-29,Vale S.A. Pfd,0.002097425485675226,0.9825769189997191,35
ALRM,0.002474309154405875,0.0013815057210847307,9,0.0050149065505513,2023-06-30,2024-02-29,Alarm.Com Holdings Inc,0.0020326484932388944,0.984609567492958,36
VMRK,0.0034970377266907845,0.0013230500741764305,9,0.00962113550188367,2020-12-31,2021-08-31,Equity Residential,0.0019466410444125759,0.9865562085373706,37
