period,rebalance,n,priced_share
2013-06-30,2013-08-31,22,0.4420695294611201
2013-09-30,2013-11-30,22,0.39752372707686817
2013-12-31,2014-02-28,23,0.4130300175981746
2014-03-31,2014-05-31,23,0.39652458552166614
2014-06-30,2014-08-31,22,0.3900466033859901
2014-09-30,2014-11-30,23,0.4790732208929165
2014-12-31,2015-02-28,21,0.2656892415121972
2015-03-31,2015-05-31,22,0.23749012821792229
2015-06-30,2015-08-31,23,0.2736825583315994
2015-09-30,2015-11-30,22,0.24816905667091954
2015-12-31,2016-02-29,20,0.22686163003084567
2016-03-31,2016-05-31,21,0.3643155729811665
2016-06-30,2016-08-31,23,0.3880151594268326
2016-09-30,2016-11-30,23,0.3545062875447605
2016-12-31,2017-02-28,26,0.360403930002241
2017-03-31,2017-05-31,25,0.39640809743818567
2017-06-30,2017-08-31,28,0.6114314152502067
2017-09-30,2017-11-30,30,0.6177020764577009
2017-12-31,2018-02-28,37,0.7122187590943168
2018-03-31,2018-05-31,28,0.6517578498014943
2018-06-30,2018-08-31,29,0.7051850027309039
2018-09-30,2018-11-30,28,0.6998943331525385
2018-12-31,2019-02-28,32,0.7163601154447489
2019-03-31,2019-05-31,29,0.68573404273327
2019-06-30,2019-08-31,31,0.688729611179843
2019-09-30,2019-11-30,29,0.690394774315811
2019-12-31,2020-02-29,34,0.719997894467781
2020-03-31,2020-05-31,34,0.7524548808943675
2020-06-30,2020-08-31,35,0.7504259106490525
2020-09-30,2020-11-30,43,0.8314666550295275
2020-12-31,2021-02-28,42,0.8280304200881596
2021-03-31,2021-05-31,37,0.7853846245874658
2021-06-30,2021-08-31,42,0.8013248078434345
2021-09-30,2021-11-30,43,0.7956387135197484
2021-12-31,2022-02-28,42,0.8285694273300622
2022-03-31,2022-05-31,42,0.8382492270029476
2022-06-30,2022-08-31,45,0.8553671869649846
2022-09-30,2022-11-30,44,0.8277685089055234
2022-12-31,2023-02-28,46,0.8378070305770722
2023-03-31,2023-05-31,48,0.8540971528569175
2023-06-30,2023-08-31,50,0.8582809379827131
2023-09-30,2023-11-30,49,0.8797336912044841
2023-12-31,2024-02-29,48,0.8658118127808981
2024-03-31,2024-05-31,48,0.8545927222943754
2024-06-30,2024-08-31,48,0.8656223376857727
2024-09-30,2024-11-30,49,0.8446619996215822
2024-12-31,2025-02-28,48,0.8144977363009606
2025-03-31,2025-05-31,55,0.8772333543584931
2025-06-30,2025-08-31,53,0.8705773283854267
2025-09-30,2025-11-30,56,0.9676250855769968
2025-12-31,2026-02-28,58,0.9373462602851143
2026-03-31,2026-05-31,54,0.9329124039645473
2026-06-30,2026-08-31,55,0.9689340201183866
