statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
OAKTREE_2020-06,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2020-06-01,2020-06-30,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
OAKTREE_2020-07,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2020-07-01,2020-07-31,1073206.8,,,,,,,,hedge13f,,priced coverage 62%
OAKTREE_2020-08,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2020-08-01,2020-08-31,1099291.02,,,,,,,,hedge13f,,priced coverage 62%
OAKTREE_2020-09,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2020-09-01,2020-09-30,1098021.83,,,,,,,,hedge13f,,priced coverage 66%
OAKTREE_2020-10,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2020-10-01,2020-10-31,1083676.85,,,,,,,,hedge13f,,priced coverage 66%
OAKTREE_2020-11,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2020-11-01,2020-11-30,1254980.2,,,,,,,,hedge13f,,priced coverage 66%
OAKTREE_2020-12,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2020-12-01,2020-12-31,1377886.48,,,,,,,,hedge13f,,priced coverage 74%
OAKTREE_2021-01,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-01-01,2021-01-31,1440245.86,,,,,,,,hedge13f,,priced coverage 74%
OAKTREE_2021-02,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-02-01,2021-02-28,1517446.97,,,,,,,,hedge13f,,priced coverage 74%
OAKTREE_2021-03,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-03-01,2021-03-31,1616460.26,,,,,,,,hedge13f,,priced coverage 75%
OAKTREE_2021-04,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-04-01,2021-04-30,1709270.74,,,,,,,,hedge13f,,priced coverage 75%
OAKTREE_2021-05,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-05-01,2021-05-31,1737074.69,,,,,,,,hedge13f,,priced coverage 75%
OAKTREE_2021-06,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-06-01,2021-06-30,1811153.1,,,,,,,,hedge13f,,priced coverage 70%
OAKTREE_2021-07,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-07-01,2021-07-31,1751893.9,,,,,,,,hedge13f,,priced coverage 70%
OAKTREE_2021-08,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-08-01,2021-08-31,1829115.84,,,,,,,,hedge13f,,priced coverage 70%
OAKTREE_2021-09,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-09-01,2021-09-30,1758813.48,,,,,,,,hedge13f,,priced coverage 73%
OAKTREE_2021-10,OAKTREE,SEC 13F clone (EDGAR + Yahoo Finance),2021-10-01,2021-10-31,1784462.48,,,,,,,,hedge13f,,priced coverage 73%
