period,rebalance,n,priced_share
2013-06-30,2013-08-31,25,0.4694705096348627
2013-09-30,2013-11-30,29,0.4879001518115161
2013-12-31,2014-02-28,27,0.401759072771487
2014-03-31,2014-05-31,27,0.49123206798845354
2014-06-30,2014-08-31,26,0.39683359077742
2014-09-30,2014-11-30,25,0.34302238545649893
2014-12-31,2015-02-28,24,0.2541772403836227
2015-03-31,2015-05-31,25,0.3496489239816117
2015-06-30,2015-08-31,25,0.4360098273979647
2015-09-30,2015-11-30,25,0.4650931849376829
2015-12-31,2016-02-29,30,0.5048647456226332
2016-03-31,2016-05-31,28,0.48047418998760466
2016-06-30,2016-08-31,29,0.44386395038869325
2016-09-30,2016-11-30,34,0.49079395711019086
2016-12-31,2017-02-28,30,0.4402542318584297
2017-03-31,2017-05-31,29,0.44305874465926476
2017-06-30,2017-08-31,28,0.47800299395322376
2017-09-30,2017-11-30,23,0.44742326632076135
2017-12-31,2018-02-28,23,0.5495953916563084
2018-03-31,2018-05-31,22,0.5298609505969741
2018-06-30,2018-08-31,24,0.5454196078641591
2018-09-30,2018-11-30,23,0.4885479738361752
2018-12-31,2019-02-28,21,0.49227426057538376
2019-03-31,2019-05-31,26,0.5383120754766274
2019-06-30,2019-08-31,24,0.4764581178820693
2019-09-30,2019-11-30,25,0.5045208706241712
2019-12-31,2020-02-29,20,0.6020128374182444
2020-03-31,2020-05-31,19,0.635948521449269
2020-06-30,2020-08-31,19,0.7044527077164374
2020-09-30,2020-11-30,21,0.6724083062864424
2020-12-31,2021-02-28,25,0.6789790328853079
2021-03-31,2021-05-31,25,0.6694693416632254
2021-06-30,2021-08-31,30,0.7139282179283037
2021-09-30,2021-11-30,28,0.7276437194049102
2021-12-31,2022-02-28,28,0.7280187363623498
2022-03-31,2022-05-31,27,0.780739133874922
2022-06-30,2022-08-31,23,0.6883979317333938
2022-09-30,2022-11-30,21,0.6482102429308932
2022-12-31,2023-02-28,17,0.8106740710713352
2023-03-31,2023-05-31,15,0.8200620134755447
2023-06-30,2023-08-31,17,0.9410765490210368
2023-09-30,2023-11-30,16,0.7767573339629001
2023-12-31,2024-02-29,16,0.9963578869036909
2024-03-31,2024-05-31,16,0.997179486884994
2024-06-30,2024-08-31,14,0.9972344512860446
2024-09-30,2024-11-30,13,0.968648992094039
2024-12-31,2025-02-28,13,1.0
2025-03-31,2025-05-31,13,0.9983762577589762
2025-06-30,2025-08-31,14,0.9950363404519612
2025-09-30,2025-11-30,10,0.9999999999999999
2025-12-31,2026-02-28,9,0.9999999999999999
2026-03-31,2026-05-31,8,0.9998494337373978
2026-06-30,2026-08-31,8,1.0
