ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
CMG,0.3696915163771427,0.14852074370158447,111,0.16835915843732185,2016-12-31,2026-02-28,Chipotle Mexican Grill Inc,0.2995899966011105,0.2995899966011105,1
GOOG,0.19379542976354613,0.08625144528447168,39,0.1531530665301816,2023-06-30,2026-08-31,Alphabet Inc,0.1739829033682658,0.47357289996937635,2
HLT,0.21003153821102377,0.06481938916229266,87,0.1366048220136734,2019-03-31,2026-05-31,Hilton Worldwide Hldgs Inc,0.13075103244726174,0.6043239324166381,3
LOW,0.19863426292215502,0.06088102983629681,69,0.18135312866079287,2018-09-30,2024-05-31,Lowes Cos Inc,0.12280673438032137,0.7271306667969595,4
ADP,0.07144238386167058,0.03631399698048405,27,0.12033102490151092,2017-09-30,2019-11-30,Automatic Data Processing In,0.07325111604487536,0.8003817828418348,5
MSFT,0.022006239456882792,0.02356006201736767,3,0.14944357302898645,2026-06-30,2026-08-31,Microsoft Corp,0.04752439776282801,0.8479061806046628,6
NFLX,0.018012904360864557,0.02123032295226882,3,0.11624590744557813,2022-06-30,2022-08-31,Netflix Inc,0.042824942985003646,0.8907311235896664,7
A,0.08940592946678488,0.020363921844515805,21,0.13079601288165135,2020-03-31,2021-11-30,Agilent Technologies Inc,0.04107727394930009,0.9318083975389665,8
ZTS,0.03918340150156093,0.012870375879278263,23,0.14162422133085195,2015-04-30,2017-02-28,Zoetis Inc,0.02596159815678902,0.9577699956957555,9
SBUX,0.06105244292581027,0.01066057511626416,27,0.10687565292590996,2019-03-31,2021-05-31,Starbucks Corp,0.021504078038180406,0.9792740737339359,10
AMZN,0.03033517733752009,0.00896463283212975,12,0.1265290133085162,2025-09-30,2026-08-31,Amazon Com Inc,0.018083092319442134,0.9973571660533781,11
RTX,0.00791495518250524,0.0013101761329991635,15,0.09744512574047856,2018-06-30,2019-08-31,United Technologies Corp,0.0026428339466218823,1.0,12
PK,-3.496191476733105e-05,-0.0001526163151100688,3,0.0007628575721845358,2020-06-30,2020-08-31,Park Hotels Resorts Inc,,,13
BX,-0.0002336556812750703,-0.0008084022260877409,3,0.0036684446886828047,2020-06-30,2020-08-31,Blackstone Group Inc,,,14
SEG,-0.00033080191210207657,-0.0020492090976919415,21,0.007467437406381804,2024-12-31,2026-08-31,Seaport Entmt Group Inc,,,15
DPZ,-0.008421924836204232,-0.004835765197357677,18,0.09251486454626484,2021-06-30,2022-11-30,Dominos Pizza Inc,,,16
HTZ,-0.0039903754492778675,-0.0056046726835751615,15,0.005624059116962005,2025-06-30,2026-08-31,Hertz Global Hldgs Inc,,,17
NKE,-0.021444484650940877,-0.020327272477089667,12,0.07373061953043909,2018-03-31,2025-05-31,Nike Inc,,,18
META,-0.012953529996596777,-0.022377242668323312,6,0.10612517192157077,2026-03-31,2026-08-31,Meta Platforms Inc,,,19
APD,0.011849766652871688,-0.022944977815951742,29,0.1628104494194803,2015-04-30,2017-08-31,Air Prods & Chems Inc,,,20
BRK-B,0.013621216249960547,-0.023073708962958316,12,0.13606621850632558,2019-09-30,2020-08-31,Berkshire Hathaway Inc Del,,,21
BN,0.01744311569808349,-0.02986557690681102,24,0.15507929449330454,2024-09-30,2026-08-31,Brookfield Corp,,,22
QSR,0.2599199986747965,-0.04369514701917377,137,0.1799957588219394,2015-04-30,2026-08-31,Restaurant Brands Intl Inc,,,23
MDLZ,0.014510220135429425,-0.043713638928763274,36,0.14457554220735888,2015-12-31,2018-11-30,Mondelez Intl Inc,,,24
UBER,-0.01772652074445029,-0.06445414385888261,15,0.18177297885795102,2025-06-30,2026-08-31,Uber Technologies Inc,,,25
ESI,-0.04080083565267713,-0.07004894665005879,50,0.07117120251952239,2015-04-30,2019-05-31,Platform Specialty Prods Cor,,,26
CP,-0.010255953624422557,-0.09211764351499438,59,0.12529011693335412,2015-04-30,2025-08-31,Canadian Pac Ry Ltd,,,27
HHH,-0.0009575765743109997,-0.1365928794065221,137,0.08515223629210131,2015-04-30,2026-08-31,Howard Hughes Corp,,,28
BHC,-0.40102043019049977,-0.39720538045951703,24,0.13752945785074003,2015-06-30,2017-05-31,Valeant Pharmaceuticals Intl,,,29
