ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
AMZN,0.09600130098074991,95,0.04870930675712775,Amazon Com Inc,0.05256978733171442,0.05256978733171442,1
NVDA,0.08989785741757463,45,0.04417007690940503,Nvidia Corp,0.04922757501970019,0.10179736235141461,2
META,0.058068467101486665,68,0.030437603304493795,Facebook Inc,0.03179797497552583,0.13359533732694046,3
AVGO,0.05645915732129189,54,0.027348738631670068,Broadcom Corp,0.03091672574211543,0.16451206306905589,4
DELL,0.055697174415873275,42,0.02376812411235833,Dell Technologies Inc,0.030499468070823134,0.195011531139879,5
ANET,0.05559620951936698,57,0.02868203574876546,Arista Networks Inc,0.030444180245730337,0.22545571138560935,6
COHR,0.0540722522995888,24,0.022640028750897434,Coherent Corp,0.029609669607562693,0.25506538099317205,7
JD,0.042612259647664914,36,0.02187021353377023,Jd Com Inc,0.0233342403125425,0.27839962130571455,8
PYPL,0.04187275929185216,32,0.024601539271732538,Paypal Hldgs Inc,0.022929293962444613,0.3013289152681592,9
TSM,0.03223616360837131,39,0.02392911867512173,Taiwan Semiconductor Mfg Ltd,0.017652346874155806,0.318981262142315,10
AMD,0.030791380814123304,42,0.01979630604344992,Advanced Micro Devices Inc,0.01686119171835883,0.3358424538606738,11
NXPI,0.030251717679028206,27,0.02994806409377846,Nxp Semiconductors N V,0.016565675137303285,0.3524081289979771,12
TSEM,0.02997447852265853,18,0.015115238761610417,Tower Semiconductor Ltd,0.0164138604916528,0.36882198948962985,13
PANW,0.029820221158349716,36,0.015648877435123703,Palo Alto Networks Inc,0.016329390002677958,0.3851513794923078,14
GOOG,0.02974412959032749,45,0.030694735835498622,Alphabet Inc,0.016287722676216754,0.4014391021685246,15
MSFT,0.027301484118225382,69,0.03249305000396326,Microsoft Corp,0.014950143375901528,0.4163892455444261,16
LITE,0.025446164401082008,21,0.017477302132363634,Lumentum Hldgs Inc,0.013934180446585382,0.4303234259910115,17
COF,0.024302482278328204,57,0.017871729401284103,Capital One Finl Corp,0.01330790637160897,0.4436313323626204,18
V,0.023866067154686522,59,0.02758337365912296,Visa Inc,0.013068927836903619,0.45670026019952403,19
TTWO,0.023245435371751264,32,0.024942117187641017,Take-Two Interactive Softwar,0.012729073267154074,0.4694293334666781,20
TER,0.0220941786634292,12,0.0285159036667639,Teradyne Inc,0.01209865139055017,0.48152798485722825,21
JBL,0.021143612059705216,39,0.017880350046724742,Jabil Inc,0.011578126317536628,0.4931061111747649,22
NFLX,0.017109752049229626,30,0.025419626503257887,Netflix Inc,0.009369206639259237,0.5024753178140241,23
LLY,0.0165187807083529,18,0.017957086674485628,Lilly Eli & Co,0.009045593965351234,0.5115209117793753,24
BSX,0.015496940930400065,48,0.017571869577718807,Boston Scientific Corp,0.008486040091963224,0.5200069518713385,25
FISV,0.014944908776002118,12,0.03085851229484494,Fiserv Inc,0.008183750303590592,0.5281907021749291,26
BIIB,0.013883490070432925,35,0.0238615024054787,Biogen Inc,0.007602523225919376,0.5357932254008485,27
TMUS,0.013608863718380465,45,0.02281385448816822,T Mobile Us Inc,0.007452139337622099,0.5432453647384706,28
RCL,0.013584137129450531,15,0.017964548919238474,Royal Caribbean Cruises Ltd,0.007438599192767749,0.5506839639312384,29
VST,0.013424080335393829,6,0.015285918440312359,Vistra Corp,0.007350952967783319,0.5580349168990217,30
AZN,0.013323518891568225,39,0.01819225627636075,Astrazeneca Plc,0.007295886071171759,0.5653308029701934,31
RTX,0.012466645735643093,18,0.016504830974868313,Raytheon Technologies Corp,0.006826667017710477,0.572157469987904,32
MDB,0.012231955888076384,12,0.020031107766737253,Mongodb Inc,0.006698152140834295,0.5788556221287382,33
CIEN,0.012183129282529116,6,0.014432572727296367,Ciena Corp,0.0066714149586968976,0.5855270370874351,34
HAE,0.012144030632556636,12,0.015896501077184235,Haemonetics Corp,0.006650004751824571,0.5921770418392597,35
MMM,0.011588708373675559,15,0.015334475033480456,3M Co,0.006345913320232417,0.598522955159492,36
ADBE,0.011276400937241342,27,0.02306193189952084,Adobe Inc,0.006174895476226826,0.6046978506357189,37
DHR,0.010437740758836729,27,0.02045923131432584,Danaher Corp Del,0.005715649749638717,0.6104135003853576,38
ASML,0.010243467534213,18,0.023593472675218826,Asml Holding N V,0.005609266794424769,0.6160227671797823,39
TSLA,0.010054747589696142,6,0.01176763364986916,Tesla Inc,0.005505924785023319,0.6215286919648056,40
CMG,0.00980417155101266,9,0.017439304241955625,Chipotle Mexican Grill Inc,0.0053687107167821446,0.6268974026815878,41
GILD,0.009022743085906405,15,0.027487945873162677,Gilead Sciences Inc,0.004940804763363648,0.6318382074449514,42
DG,0.009022368557143473,21,0.018575421006786524,Dollar Gen Corp New,0.004940599673461576,0.6367788071184131,43
DASH,0.008947049260322807,9,0.012580017568541893,Doordash Inc,0.004899355238486359,0.6416781623568995,44
OKTA,0.008925362596785266,12,0.013041135755852426,Okta Inc,0.004887479740149816,0.6465656420970493,45
MA,0.008816617003099015,33,0.021004050301124358,Mastercard Inc,0.004827931247838304,0.6513935733448876,46
KO,0.00862712505541342,30,0.01744600349900955,Coca Cola Co,0.0047241664937241745,0.6561177398386118,47
ADI,0.008619440764446434,42,0.018946575661244868,Analog Devices Inc,0.004719958618020381,0.6608376984566322,48
PTCT,0.008615015023383275,12,0.015208433218146135,Ptc Therapeutics Inc,0.004717535106421073,0.6655552335630532,49
SU,0.008568908259344483,12,0.016136861351141733,Suncor Energy Inc New,0.0046922872946173685,0.6702475208576706,50
HCA,0.008520315497699823,15,0.018248170935333704,Hca Healthcare Inc,0.004665678164122015,0.6749131990217926,51
GLW,0.008380626468877975,6,0.01485836045044829,Corning Inc,0.004589185215977377,0.67950238423777,52
AZO,0.008341260952867068,21,0.017900811310138348,Autozone Inc,0.004567628874722048,0.684070013112492,53
WMT,0.008219084136959617,30,0.01754000566288833,Wal-Mart Stores Inc,0.004500725518585149,0.6885707386310772,54
CSX,0.007975818009913762,39,0.016105056579928227,Csx Corp,0.004367514317974703,0.6929382529490519,55
ARGX,0.007956121741228016,18,0.01991825860556389,Argenx Se,0.004356728748972409,0.6972949816980243,56
EL,0.007847874962222902,21,0.015098227761384073,Lauder Estee Cos Inc,0.004297453404851988,0.7015924351028763,57
