period,rebalance,n,priced_share
2013-06-30,2013-08-31,21,0.7666899417757609
2013-09-30,2013-11-30,21,0.8633327430559313
2013-12-31,2014-02-28,21,0.8412409300291559
2014-03-31,2014-05-31,20,0.8395253221917911
2014-06-30,2014-08-31,21,0.8174649532072555
2014-09-30,2014-11-30,19,0.8125780670957894
2014-12-31,2015-02-28,19,0.8249383645229982
2015-03-31,2015-05-31,21,0.8702479762620348
2015-06-30,2015-08-31,21,0.877599725789179
2015-09-30,2015-11-30,20,0.8682360547417828
2015-12-31,2016-02-29,23,0.9662417707077245
2016-03-31,2016-05-31,24,0.9592606453256776
2016-06-30,2016-08-31,23,0.9584543574584803
2016-09-30,2016-11-30,24,0.9572137184983507
2016-12-31,2017-02-28,23,0.9444257692231938
2017-03-31,2017-05-31,23,0.9451967163158347
2017-06-30,2017-08-31,26,0.9420813464147304
2017-09-30,2017-11-30,30,0.9382813156580465
2017-12-31,2018-02-28,45,0.9598910602483421
2018-03-31,2018-05-31,48,0.999456090582389
2018-06-30,2018-08-31,50,0.9995634972469565
2018-09-30,2018-11-30,50,0.9969692733359805
2018-12-31,2019-02-28,51,0.9993959697411094
2019-03-31,2019-05-31,51,0.9993409780575482
2019-06-30,2019-08-31,50,0.9993662652706338
2019-09-30,2019-11-30,52,0.9992067998272011
2019-12-31,2020-02-29,55,0.9992670385284658
2020-03-31,2020-05-31,55,0.9990714441347522
2020-06-30,2020-08-31,56,0.9991172934224939
2020-09-30,2020-11-30,56,0.9988184485562499
2020-12-31,2021-02-28,56,0.9987125876968692
2021-03-31,2021-05-31,56,0.9994699109165154
2021-06-30,2021-08-31,57,0.9996060121185781
2021-09-30,2021-11-30,56,0.9993124598551326
2021-12-31,2022-02-28,56,0.9992781892853991
2022-03-31,2022-05-31,55,0.998304299677545
2022-06-30,2022-08-31,55,0.9979760213875947
2022-09-30,2022-11-30,55,0.997876794883309
2022-12-31,2023-02-28,57,0.9982545275790785
2023-03-31,2023-05-31,58,0.9998179860506881
2023-06-30,2023-08-31,57,0.9990638061402407
2023-09-30,2023-11-30,57,0.999031839597612
2023-12-31,2024-02-29,58,0.9996839676394824
2024-03-31,2024-05-31,56,0.9989356675441503
2024-06-30,2024-08-31,57,0.9995462648986052
2024-09-30,2024-11-30,57,0.9993945661058282
2024-12-31,2025-02-28,58,0.9995864285178233
2025-03-31,2025-05-31,58,0.9996693762923989
2025-06-30,2025-08-31,57,0.9988954645412161
2025-09-30,2025-11-30,57,0.9993748656060865
2025-12-31,2026-02-28,57,0.9994209444153326
2026-03-31,2026-05-31,59,1.0000000000000002
2026-06-30,2026-08-31,59,1.0
