period,rebalance,n,priced_share
2013-06-30,2013-08-31,38,0.644146312324356
2013-09-30,2013-11-30,38,0.6639235255252033
2013-12-31,2014-02-28,39,0.695018935415388
2014-03-31,2014-05-31,41,0.7168771300328629
2014-06-30,2014-08-31,40,0.7173274581876379
2014-09-30,2014-11-30,43,0.7430627569815028
2014-12-31,2015-02-28,45,0.757327317168348
2015-03-31,2015-05-31,44,0.7653966624708677
2015-06-30,2015-08-31,45,0.7859153335925306
2015-09-30,2015-11-30,45,0.7620451082098274
2015-12-31,2016-02-29,47,0.7978139250043783
2016-03-31,2016-05-31,49,0.8226889093906878
2016-06-30,2016-08-31,49,0.8270471058712386
2016-09-30,2016-11-30,50,0.8534764128937878
2016-12-31,2017-02-28,50,0.8523686251649155
2017-03-31,2017-05-31,49,0.8350244296201407
2017-06-30,2017-08-31,50,0.8264245079477276
2017-09-30,2017-11-30,51,0.8371811319799197
2017-12-31,2018-02-28,51,0.8265985743419766
2018-03-31,2018-05-31,49,0.8173067856193663
2018-06-30,2018-08-31,47,0.7976077547184653
2018-09-30,2018-11-30,48,0.7900906068076525
2018-12-31,2019-02-28,48,0.8076308821633227
2019-03-31,2019-05-31,49,0.8211832707601391
2019-06-30,2019-08-31,49,0.834653949613645
2019-09-30,2019-11-30,49,0.8266210977093824
2019-12-31,2020-02-29,49,0.8294773910041143
2020-03-31,2020-05-31,49,0.8576666757226342
2020-06-30,2020-07-31,51,0.8830169317598768
2020-09-30,2020-10-31,52,0.898660142103822
2020-12-31,2021-02-28,54,0.9235953244633811
2021-03-31,2021-05-31,54,0.9461436376172285
2021-06-30,2021-08-31,52,0.9325598812521738
2021-09-30,2021-11-30,54,0.9424859315726314
2021-12-31,2022-02-28,54,0.9417390282259849
2022-03-31,2022-05-31,54,0.9379859858876957
2022-06-30,2022-08-31,53,0.9319905198470405
2022-09-30,2022-11-30,54,0.9414730399061287
2022-12-31,2023-02-28,53,0.9438546592302681
2023-03-31,2023-05-31,53,0.9479731805692082
2023-06-30,2023-08-31,53,0.9551672083937561
2023-09-30,2023-11-30,53,0.9641802078305661
2023-12-31,2024-02-29,55,0.9784096219199161
2024-03-31,2024-05-31,55,0.9807887114356426
2024-06-30,2024-08-31,56,0.9864974395104054
2024-09-30,2024-11-30,58,0.9945703199966481
2024-12-31,2025-02-28,58,0.9939588287312632
2025-03-31,2025-05-31,58,0.9941075980859837
2025-06-30,2025-07-31,58,0.9931136454214678
2025-09-30,2025-11-30,59,0.996509547120037
2025-12-31,2026-02-28,56,0.9787804774759529
2026-03-31,2026-04-30,57,0.9747275516553496
2026-06-30,2026-08-31,58,0.9757601997668541
