period,rebalance,n,priced_share
2013-06-30,2013-08-31,44,0.7740734606472499
2013-09-30,2013-11-30,43,0.7520966466549573
2013-12-31,2014-02-28,43,0.7498094781294741
2014-03-31,2014-05-31,46,0.798312157651871
2014-06-30,2014-08-31,45,0.790971507334832
2014-09-30,2014-11-30,45,0.7766225479644021
2014-12-31,2015-02-28,42,0.7739707453844472
2015-03-31,2015-05-31,45,0.8122165477751893
2015-06-30,2015-08-31,46,0.810422918714886
2015-09-30,2015-11-30,42,0.7593714331980376
2015-12-31,2016-02-29,46,0.8094725137707427
2016-03-31,2016-05-31,40,0.7319589989106556
2016-06-30,2016-08-31,44,0.765455089150733
2016-09-30,2016-11-30,51,0.8813133980661382
2016-12-31,2017-02-28,50,0.8470539388086661
2017-03-31,2017-05-31,50,0.8583522906548697
2017-06-30,2017-08-31,51,0.8843677445728302
2017-09-30,2017-11-30,52,0.8980615521325085
2017-12-31,2018-02-28,50,0.8705069597249999
2018-03-31,2018-05-31,51,0.8964465107350833
2018-06-30,2018-08-31,51,0.8964465107350833
2018-09-30,2018-11-30,49,0.8382861913338511
2018-12-31,2019-02-28,52,0.8733260060773208
2019-03-31,2019-05-31,51,0.8602391683947213
2019-06-30,2019-08-31,53,0.8825298661636192
2019-09-30,2019-11-30,53,0.8780578814206639
2019-12-31,2020-02-29,52,0.9031541925069786
2020-03-31,2020-05-31,55,0.9116671499809658
2020-06-30,2020-08-31,53,0.9134241282464421
2020-09-30,2020-11-30,52,0.8967678796963711
2020-12-31,2021-02-28,52,0.8967139636046272
2021-03-31,2021-05-31,52,0.897160646805273
2021-06-30,2021-08-31,52,0.8929520113151981
2021-09-30,2021-11-30,55,0.9449358412381867
2021-12-31,2022-02-28,54,0.941362136592335
2022-03-31,2022-05-31,53,0.9258285733824247
2022-06-30,2022-08-31,55,0.9261252696812546
2022-09-30,2022-11-30,57,0.9554291646630597
2022-12-31,2023-02-28,59,0.9834168884260768
2023-03-31,2023-05-31,59,0.9847627835133032
2023-06-30,2023-08-31,58,0.974893780166941
2023-09-30,2023-11-30,58,0.9683155195646521
2023-12-31,2024-02-29,57,0.9667385213954756
2024-03-31,2024-05-31,59,0.988981597515992
2024-06-30,2024-08-31,59,0.990206213758046
2024-09-30,2024-11-30,59,0.9888631455676594
2024-12-31,2025-02-28,59,0.991585958892563
2025-03-31,2025-05-31,59,0.9999999999999999
2025-06-30,2025-08-31,60,0.9999999999999999
2025-09-30,2025-11-30,59,1.0
2025-12-31,2026-02-28,60,1.0
2026-03-31,2026-05-31,60,1.0
2026-06-30,2026-08-31,57,0.973177590520055
