period,rebalance,n,priced_share
2013-06-30,2013-08-31,39,0.6511802176507052
2013-09-30,2013-11-30,40,0.632619695053521
2013-12-31,2014-02-28,41,0.6172925470813014
2014-03-31,2014-05-31,41,0.5999703988337054
2014-06-30,2014-08-31,38,0.589150148882086
2014-09-30,2014-11-30,40,0.5952961001129928
2014-12-31,2015-02-28,37,0.5903261212930857
2015-03-31,2015-05-31,38,0.5307659794662077
2015-06-30,2015-08-31,37,0.48825702679946537
2015-09-30,2015-11-30,39,0.5514927721343681
2015-12-31,2016-02-29,39,0.6162643454030192
2016-03-31,2016-05-31,39,0.8180870190042289
2016-06-30,2016-07-31,44,0.9041475157250918
2016-09-30,2016-11-30,43,0.8879317633488439
2016-12-31,2017-02-28,44,0.9084647585784528
2017-03-31,2017-05-31,46,0.9056936294085789
2017-06-30,2017-08-31,47,0.8887906926637702
2017-09-30,2017-11-30,46,0.8699432958852573
2017-12-31,2018-02-28,47,0.8750642013564377
2018-03-31,2018-05-31,43,0.850829363911245
2018-06-30,2018-08-31,43,0.8356693361409864
2018-09-30,2018-11-30,47,0.8320203880131934
2018-12-31,2019-02-28,41,0.7953000785558927
2019-03-31,2019-05-31,35,0.8041975425300913
2019-06-30,2019-08-31,35,0.8150402249270126
2019-09-30,2019-11-30,30,0.8713047556484856
2019-12-31,2020-02-29,29,0.8744422866109836
2020-03-31,2020-05-31,26,0.8875278815739909
2020-06-30,2020-08-31,25,0.8975924112487353
2020-09-30,2020-11-30,24,0.8993872650551813
2020-12-31,2021-02-28,28,0.9006875426961957
2021-03-31,2021-05-31,28,0.8987295328832592
2021-06-30,2021-08-31,26,0.9057338463683642
2021-09-30,2021-11-30,25,0.9032205127983909
2021-12-31,2022-02-28,26,0.910517422279046
2022-03-31,2022-05-31,26,0.9072206651306749
2022-06-30,2022-08-31,23,0.8936887339929701
2022-09-30,2022-11-30,24,0.956145918543019
2022-12-31,2023-02-28,25,0.9540021380894301
2023-03-31,2023-05-31,24,0.9480424496246451
2023-06-30,2023-08-31,28,0.9384125397620046
2023-09-30,2023-11-30,28,0.9398655736755834
2023-12-31,2024-02-29,27,0.9500437081655984
2024-03-31,2024-05-31,28,0.9668939596487971
2024-06-30,2024-08-31,31,0.9719153218902589
2024-09-30,2024-11-30,31,0.9610567682248939
2024-12-31,2025-02-28,33,0.960746379409691
2025-03-31,2025-05-31,32,0.9527670192824793
2025-06-30,2025-08-31,37,0.9569023470086986
2025-09-30,2025-11-30,41,0.9732107853837975
2025-12-31,2026-02-28,42,0.9415632948889597
2026-03-31,2026-05-31,44,0.9578962636440783
2026-06-30,2026-08-31,48,0.9805872781457446
