ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
USFD,0.3558413097291272,65,0.20709013433008727,Us Foods Hldg Corp,0.2005588638822899,0.2005588638822899,1
OLN,0.31271809679408713,41,0.15412480072387566,Olin Corp,0.17625380891329465,0.37681267279558456,2
TWLO,0.1689869682582435,27,0.11582235355987597,Twilio Inc,0.09524423791769701,0.4720569107132816,3
EXP,0.12712283282434353,8,0.20982286420868376,Eagle Materials Inc,0.07164882274111549,0.5437057334543971,4
COHR,0.12219821088278908,24,0.06114815459085008,Coherent Corp,0.06887321306724206,0.6125789465216391,5
CRM,0.07077111075066636,29,0.05257811887947056,Salesforce Com Inc,0.03988793088313977,0.6524668774047789,6
TLN,0.07063459095260338,21,0.10936376206639087,Talen Energy Corp,0.0398109857538129,0.6922778631585919,7
SYF,0.056739266760525583,27,0.05076316556856525,Synchrony Financial,0.03197931934228635,0.7242571825008782,8
CVS,0.04469529372876109,21,0.0664301489307925,Cvs Health Corp,0.025191109312038974,0.7494482918129172,9
GDS,0.04361128789968007,21,0.05714477619677975,Gds Hldgs Ltd,0.024580143211201038,0.7740284350241182,10
HUT,0.04079213765466143,3,0.03348316360017631,Hut 8 Corp,0.022991217038787794,0.797019652062906,11
UBER,0.03792558283170563,32,0.043253778547997696,Uber Technologies Inc,0.021375572753457493,0.8183952248163635,12
LKQ,0.03783183540231169,11,0.06025735506183845,Lkq Corp,0.021322734936663694,0.8397179597530272,13
KBR,0.033032365720974594,21,0.03415874219192552,Kbr Inc,0.0186176634336974,0.8583356231867246,14
SHC,0.023474128634605622,27,0.04685774467963739,Sotera Health Co,0.01323046099725466,0.8715660841839793,15
NXT,0.02279553490058708,24,0.04165454082187238,Nextracker Inc,0.01284799278850172,0.884414076972481,16
WDC,0.021505073458374064,12,0.06035606956943776,Western Digital Corp.,0.012120664415831449,0.8965347413883125,17
FMX,0.018071741891992232,15,0.04771040262827549,Fomento Economico Mexicano S,0.010185574083545671,0.9067203154718582,18
CSTM,0.016273564329300497,20,0.015822263664989972,Constellium Se,0.009172087343328226,0.9158924028151864,19
DD,0.015037477411054743,3,0.07798421496545956,Dupont De Nemours Inc,0.008475405476425698,0.924367808291612,20
POST,0.013984510353263192,9,0.03688628067541474,Post Hldgs Inc,0.007881933411653604,0.9322497417032656,21
PCG,0.013451824323463923,8,0.04806856053142672,Pg&E Corp,0.0075817015329438684,0.9398314432362095,22
ICLR,0.011871091526429487,3,0.0681497676126187,Icon Plc,0.006690770757885656,0.9465222139940952,23
DRI,0.00980353761993379,3,0.04289545539889667,Darden Restaurants Inc,0.005525458437014819,0.95204767243111,24
LW,0.007586551247602047,3,0.03275511458354804,Lamb Weston Hldgs Inc,0.004275923164070149,0.9563235955951801,25
OPTU,0.0072689624322391806,15,0.047748818642067224,Altice Usa Inc,0.004096924126439064,0.9604205197216191,26
SPB,0.006529881556640655,9,0.03868345475076275,Spectrum Brands Hldgs Inc Ne,0.003680364225510183,0.9641008839471293,27
LAD,0.0064203353389463485,3,0.03634177562261334,Lithia Mtrs Inc,0.003618621914084631,0.967719505861214,28
LBTYA,0.00611500989910923,3,0.015524716301968377,Liberty Global Ltd,0.0034465347458615073,0.9711660406070756,29
WBD,0.005809721055808673,12,0.041295815123031855,Warner Bros Discovery Inc,0.003274468204135629,0.9744405088112112,30
CCZ,0.0047557197297873,3,0.04806697424847117,Comcast Corp New,0.002680413206310371,0.9771209220175217,31
OKTA,0.004136063988965547,21,0.037451204169033483,Okta Inc,0.002331163560528796,0.9794520855780504,32
PFGC,0.0040544364079809995,12,0.06439859069986469,Performance Food Group Co,0.0022851567185570684,0.9817372422966075,33
KVUE,0.003554147402633781,9,0.0701619587116529,Kenvue Inc,0.002003184412976197,0.9837404267095837,34
ESTC,0.0033283849236730397,15,0.017629617603336666,Elastic N V,0.0018759404279479195,0.9856163671375316,35
PRCH,0.002851185748091434,3,0.01811012596134236,Porch Group Inc,0.0016069819852840652,0.9872233491228157,36
HSIC,0.0025743336202126346,3,0.03785900994828189,Henry Schein Inc,0.0014509429119313026,0.988674292034747,37
SYY,0.002553452893020671,3,0.013565790560959133,Sysco Corp,0.0014391741408298134,0.9901134661755768,38
SPY,0.0023639131631461763,15,0.0066385928591602104,Spdr S&P 500 Etf Tr,0.0013323459793858213,0.9914458121549626,39
FTRE,0.0019827711435868875,6,0.026655615558685054,Fortrea Hldgs Inc,0.0011175271589436385,0.9925633393139063,40
QSR,0.0017806549768482807,3,0.030499678214878322,Restaurant Brands Intl Inc,0.001003610680825358,0.9935669499947316,41
FLR,0.001767441167402173,3,0.015083060721841034,Fluor Corp New,0.000996163128959933,0.9945631131236915,42
BLCO,0.0016164090302861474,3,0.010696305539185191,Bausch Plus Lomb Corp,0.0009110385720253762,0.9954741516957168,43
LYV,0.001545333546586185,3,0.0398046329759869,Live Nation Entertainment In,0.000870979090815621,0.9963451307865324,44
NCNO,0.001505520312970313,6,0.04561315515121078,Ncino Inc,0.0008485396025292337,0.9971936703890617,45
LOPE,0.0014997403769558895,9,0.040001695864109336,Grand Canyon Ed Inc,0.0008452819217353777,0.9980389523107971,46
RBA,0.0011501408393082518,3,0.03324871717304917,Rb Global Inc,0.0006482410381523078,0.9986871933489494,47
PRG,0.0009087159680833841,3,0.01830661770964427,Prog Holdings Inc,0.000512169433867112,0.9991993627828165,48
VSTS,0.0007211605802777128,3,0.0051083256441852845,Vestis Corporation,0.0004064596849851128,0.9996058224678016,49
RSP,0.0006993689862825016,6,0.008229960230907567,Invesco Exchange Traded Fd T,0.00039417753219855026,1.0000000000000002,50
LNG,0.0,0,,Cheniere Energy Inc,,,51
AWI,0.0,0,,Armstrong World Inds Inc New,,,52
LAMR,0.0,0,,Lamar Advertising Co,,,53
VC,0.0,0,,Visteon Corp,,,54
HELE,0.0,0,,Helen Of Troy Corp Ltd,,,55
SIG,0.0,0,,Signet Jewelers Limited,,,56
NXST,0.0,0,,Nexstar Broadcasting Group I,,,57
MSFT,0.0,0,,Microsoft Corp,,,58
DG,0.0,0,,Dollar Gen Corp New,,,59
BAC,0.0,0,,Bank Amer Corp,,,60
SE,0.0,0,,Sea Ltd,,,61
BMY,0.0,0,,Bristol Myers Squibb Co,,,62
SBAC,0.0,0,,Sba Communications Corp,,,63
GOOG,0.0,0,,Alphabet Inc,,,64
ADSK,0.0,0,,Autodesk Inc,,,65
DLTR,0.0,0,,Dollar Tree Inc,,,66
CHTR,0.0,0,,Charter Communications Inc N,,,67
KPLT,-0.00012357443075092323,3,0.0006334702574739837,Katapult Holdings Inc,,,68
DELL,-0.00028788176843226165,9,0.04280246677680793,Dell Technologies Inc,,,69
APD,-0.00030055579685232293,6,0.06754418363419393,Air Prods & Chems Inc,,,70
LYFT,-0.0004867992641958445,3,0.012966298883085889,Lyft Inc,,,71
BRBR,-0.0007728809298813803,3,0.00801498925899105,Bellring Brands Inc,,,72
IART,-0.0009372637731426656,3,0.02314058537379887,Integra Lifesciences Hldgs C,,,73
SGI,-0.0013537010909152598,3,0.05985775154076916,Somnigroup International Inc,,,74
AKAM,-0.0018133778405407077,3,0.005776760486147857,Akamai Technologies Inc,,,75
REZI,-0.0021977407137666665,3,0.013171051149684214,Resideo Technologies Inc,,,76
NWS,-0.0022197791638800908,6,0.011996147247662048,News Corp New,,,77
VST,-0.002265742709859031,3,0.04473165384658692,Vistra Corp,,,78
WFRD,-0.002377202947824679,3,0.052664899364969146,Weatherford Intl Plc,,,79
FIGR,-0.002802944228792748,3,0.011525476064473615,Figure Technology Solutio,,,80
COMP,-0.003152351755941168,9,0.007055597035151323,Compass Inc,,,81
BIO,-0.0034426460107460045,3,0.030841927811606575,Bio Rad Labs Inc,,,82
HAS,-0.003689872358726711,3,0.018043002593552744,Hasbro Inc,,,83
FDX,-0.0043744183944740824,3,0.03633081743274132,Fedex Corp,,,84
ACHC,-0.0045426185445907,12,0.03205642986933008,Acadia Healthcare Company In,,,85
MOG-A,-0.005165135169580578,6,0.03248611513384885,Moog Inc,,,86
PRMB,-0.005534869310939646,3,0.07849323458151916,Primo Brands Corporation,,,87
CVNA,-0.007578250570274021,18,0.03349974319263268,Carvana Co,,,88
BTDR,-0.007754691080310725,3,0.01739236175047773,Bitdeer Technologies Group,,,89
PTON,-0.00792156343199781,3,0.012706999021946648,Peloton Interactive Inc,,,90
GIL,-0.008044124182922175,3,0.05319626011589989,Gildan Activewear Inc,,,91
OPEN,-0.008064813909033668,18,0.0032171663061609772,Opendoor Technologies Inc,,,92
BABA,-0.009098293927709594,3,0.04123835270477468,Alibaba Group Hldg Ltd,,,93
CXM,-0.01051963015557568,27,0.020756635479838262,Sprinklr Inc,,,94
ON,-0.011473005707937509,3,0.02470796556614117,On Semiconductor Corp,,,95
ECHO,-0.012264178732281382,6,0.10461207058199788,Echostar Corp,,,96
META,-0.012860007941030309,15,0.053696426122172965,Facebook Inc,,,97
FUN,-0.013916226805179106,12,0.03092431119101441,Six Flags Entertainment Corp,,,98
LIVN,-0.018872307674229934,24,0.026517112029950104,Livanova Plc,,,99
HUM,-0.019118883748970385,3,0.06364910514130372,Humana Inc,,,100
DKS,-0.027183401855545963,12,0.060316366219372745,Dicks Sporting Goods Inc,,,101
ADMA,-0.030058907295002067,6,0.035892767698448715,Adma Biologics Inc,,,102
IFF,-0.03504897707097435,39,0.2704440586599438,International Flavors&Fragra,,,103
GTM,-0.046737333979934736,30,0.05790443247648877,Zoominfo Technologies Inc,,,104
ELAN,-0.1852589134860962,30,0.19163498796793846,Elanco Animal Health Inc,,,105
