period,rebalance,n,priced_share
2013-12-31,2014-02-28,7,0.6783949322944831
2014-03-31,2014-05-31,7,0.6839916876131151
2014-06-30,2014-08-31,7,0.6190508766000722
2014-09-30,2014-11-30,3,0.389172306206672
2014-12-31,2015-02-28,3,0.3510192044968976
2015-03-31,2015-05-31,4,0.3234117825479692
2015-06-30,2015-08-31,3,0.29998919185267087
2015-09-30,2015-11-30,5,0.38699764180215956
2015-12-31,2016-02-29,6,0.5335226708292653
2016-03-31,2016-05-31,5,0.4825528962106114
2016-06-30,2016-08-31,5,0.5807771241844536
2016-09-30,2016-11-30,5,0.7618820274368117
2016-12-31,2017-02-28,7,0.7142241808013343
2017-03-31,2017-05-31,9,0.7196369639637158
2017-06-30,2017-08-31,6,0.7312027207031598
2017-09-30,2017-11-30,7,0.5814670285629627
2017-12-31,2018-02-28,5,0.44206005997375397
2018-03-31,2018-05-31,7,0.532065597429937
2018-06-30,2018-08-31,8,0.6034189327181272
2018-09-30,2018-11-30,7,0.5880358901910032
2018-12-31,2019-02-28,5,0.5341687866237976
2019-03-31,2019-05-31,7,0.5741652304222407
2019-06-30,2019-08-31,5,0.8543269459243965
2019-09-30,2019-11-30,7,0.6564939345681854
2019-12-31,2020-02-29,7,0.5887638508912065
2020-03-31,2020-05-31,8,0.6241396700647452
2020-06-30,2020-08-31,16,0.879227256091222
2020-09-30,2020-11-30,15,0.88111025106847
2020-12-31,2021-02-28,12,0.8225080336477926
2021-03-31,2021-05-31,14,0.8874744734247655
2021-06-30,2021-08-31,14,0.9119518666163875
2021-09-30,2021-11-30,12,0.9150544541698465
2021-12-31,2022-02-28,10,0.9325597213735851
2022-03-31,2022-05-31,12,0.8819165618596367
2022-06-30,2022-08-31,12,0.8349479711096837
2022-09-30,2022-11-30,13,0.8003067107415842
2022-12-31,2023-02-28,12,0.8046961879135694
2023-03-31,2023-05-31,13,0.8520768105276706
2023-06-30,2023-08-31,11,0.8418056361646915
2023-09-30,2023-11-30,9,0.9097136182630834
2023-12-31,2024-02-29,10,0.819442220941851
2024-03-31,2024-05-31,11,1.0
2024-06-30,2024-08-31,16,1.0
2024-09-30,2024-11-30,14,1.0
2024-12-31,2025-02-28,14,0.9999999999999999
2025-03-31,2025-05-31,16,1.0
2025-06-30,2025-08-31,19,1.0
2025-09-30,2025-11-30,18,0.9935397932655653
2025-12-31,2026-02-28,20,1.0
2026-03-31,2026-05-31,19,1.0
2026-06-30,2026-08-31,19,1.0
