period,rebalance,n,priced_share
2013-06-30,2013-08-31,23,0.6398267040184632
2013-09-30,2013-11-30,24,0.6664236696253867
2013-12-31,2014-02-28,24,0.6472512928684787
2014-03-31,2014-05-31,25,0.6274802614759498
2014-06-30,2014-08-31,25,0.6016238113443664
2014-09-30,2014-11-30,26,0.6140645251897356
2014-12-31,2015-02-28,28,0.6171804736725941
2015-03-31,2015-05-31,26,0.6291534381086672
2015-06-30,2015-08-31,28,0.6507838140749095
2015-09-30,2015-11-30,32,0.658911905227618
2015-12-31,2016-02-29,35,0.7385855456455807
2016-03-31,2016-05-31,34,0.7954352681802097
2016-06-30,2016-08-31,34,0.7819263472290378
2016-09-30,2016-11-30,34,0.8038273269315317
2016-12-31,2017-02-28,37,0.8198761363570627
2017-03-31,2017-05-31,45,0.858056526773123
2017-06-30,2017-08-31,44,0.8598496109116895
2017-09-30,2017-11-30,44,0.879381423188486
2017-12-31,2018-02-28,47,0.890429381184147
2018-03-31,2018-05-31,47,0.935135540076266
2018-06-30,2018-08-31,50,0.9330343469894571
2018-09-30,2018-11-30,48,0.9269307524705577
2018-12-31,2019-02-28,49,0.9341001730406203
2019-03-31,2019-05-31,51,0.9539946320518095
2019-06-30,2019-08-31,50,0.9506117519503942
2019-09-30,2019-11-30,51,0.9537865025091228
2019-12-31,2020-02-29,52,0.9512511885229459
2020-03-31,2020-05-31,53,0.9620542767542126
2020-06-30,2020-08-31,53,0.9625313677642371
2020-09-30,2020-11-30,53,0.9608019643758242
2020-12-31,2021-02-28,53,0.9634691324286504
2021-03-31,2021-05-31,56,0.9761805250640648
2021-06-30,2021-08-31,56,0.9796775815703219
2021-09-30,2021-11-30,58,0.9879607487769858
2021-12-31,2022-02-28,58,0.9896201496741879
2022-03-31,2022-05-31,59,1.0
2022-06-30,2022-08-31,59,0.9999999999999999
2022-09-30,2022-11-30,59,1.0
2022-12-31,2023-02-28,59,1.0
2023-03-31,2023-05-31,59,1.0
2023-06-30,2023-08-31,59,1.0
2023-09-30,2023-11-30,59,1.0
2023-12-31,2024-02-29,59,0.9999999999999999
2024-03-31,2024-05-31,58,0.9885474020056098
2024-06-30,2024-08-31,58,0.9890522882279328
2024-09-30,2024-11-30,58,0.9853098176858458
2024-12-31,2025-02-28,58,0.982244922954317
2025-03-31,2025-05-31,58,0.9832901576140594
2025-06-30,2025-08-31,57,0.975638225274688
2025-09-30,2025-11-30,58,0.9771712365805295
2025-12-31,2026-02-28,58,0.9769514580740506
2026-03-31,2026-05-31,57,0.9754219774081049
2026-06-30,2026-08-31,58,0.9642854361380001
