period,rebalance,n,priced_share
2013-06-30,2013-08-31,20,0.7207904084209532
2013-09-30,2013-11-30,20,0.7158455361220338
2013-12-31,2014-02-28,20,0.686758764128588
2014-03-31,2014-05-31,19,0.6874906375672655
2014-06-30,2014-08-31,18,0.691804761708952
2014-09-30,2014-11-30,18,0.6920915565971177
2014-12-31,2015-02-28,18,0.6659467610637564
2015-03-31,2015-05-31,19,0.67190151973312
2015-06-30,2015-08-31,19,0.6697682513756309
2015-09-30,2015-11-30,19,0.6563580389764303
2015-12-31,2016-02-29,20,0.6704022203065537
2016-03-31,2016-05-31,19,0.7170010181109024
2016-06-30,2016-08-31,19,0.7631718227758162
2016-09-30,2016-11-30,19,0.7687414317111916
2016-12-31,2017-02-28,18,0.7461230967761074
2017-03-31,2017-05-31,19,0.7981686322252015
2017-06-30,2017-08-31,19,0.8064724272754509
2017-09-30,2017-11-30,18,0.817848347471102
2017-12-31,2018-02-28,18,0.8369163952225842
2018-03-31,2018-05-31,18,0.839504712879552
2018-06-30,2018-08-31,21,0.8358097835947421
2018-09-30,2018-11-30,23,0.8726958126658206
2018-12-31,2019-02-28,22,0.8809910772215405
2019-03-31,2019-05-31,23,0.902237948680145
2019-06-30,2019-08-31,23,0.9281046913229185
2019-09-30,2019-11-30,24,0.9341248432157523
2019-12-31,2020-02-29,24,0.9329351160004943
2020-03-31,2020-05-31,24,0.9524871906373484
2020-06-30,2020-08-31,24,0.9416314691364307
2020-09-30,2020-11-30,24,0.953377320222844
2020-12-31,2021-02-28,25,0.920983011566128
2021-03-31,2021-05-31,26,0.9159618512773481
2021-06-30,2021-08-31,29,0.815753044944678
2021-09-30,2021-11-30,30,0.8128320128216728
2021-12-31,2022-02-28,27,0.8528123401015861
2022-03-31,2022-05-31,28,0.8089539187375443
2022-06-30,2022-08-31,28,0.8385687027424208
2022-09-30,2022-11-30,30,0.880519598354706
2022-12-31,2023-02-28,30,0.9257352296073832
2023-03-31,2023-05-31,31,0.9185199343888921
2023-06-30,2023-08-31,30,0.9384660596240684
2023-09-30,2023-11-30,30,0.948140634928293
2023-12-31,2024-02-29,32,0.9606461140094593
2024-03-31,2024-05-31,33,0.9558701173809036
2024-06-30,2024-08-31,36,0.9571461536322056
2024-09-30,2024-11-30,34,0.9584626305277938
2024-12-31,2025-02-28,34,0.9670894443429602
2025-03-31,2025-05-31,33,0.9577330682368485
2025-06-30,2025-08-31,33,0.9604941784055455
2025-09-30,2025-11-30,35,0.9914917467299512
2025-12-31,2026-02-28,36,0.9917230665328636
2026-03-31,2026-05-31,40,0.9879954069009902
2026-06-30,2026-08-31,47,0.9911631551794968
