ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
GOOG,0.17700590273653993,0.06744709878396106,108,0.09128279578836349,2017-09-30,2026-08-31,Alphabet Inc,0.11760182458840684,0.11760182458840684,1
ADSK,0.07090925354048035,0.047628716837507815,20,0.07676675483059485,2016-04-30,2017-11-30,Autodesk Inc,0.08304618143527126,0.2006480060236781,2
WMB,0.06311140486808879,0.046260091959757305,11,0.09389089891810057,2016-04-30,2017-02-28,Williams Cos Inc Del,0.08065982552519585,0.28130783154887395,3
WDC,0.03440821815956979,0.031760515491792485,15,0.015609848528082455,2025-06-30,2026-08-31,Western Digital Corp,0.05537813544311211,0.33668596699198605,4
TSM,0.03875229963951224,0.02761394267727351,21,0.04047878496154563,2024-12-31,2026-08-31,Taiwan Semiconductor Mfg Ltd,0.048148105722514566,0.3848340727145006,5
MSFT,0.18669770312307152,0.02596773328307948,75,0.16130835818840256,2020-06-30,2026-08-31,Microsoft Corp,0.045277749074085515,0.4301118217885861,6
UNP,0.19154839169020932,0.0230826807786923,111,0.1175133345277077,2016-09-30,2026-05-31,Union Pac Corp,0.04024732605120573,0.4703591478397918,7
OKE,0.024250365019619302,0.02265614476344826,2,0.057113190578507625,2016-04-30,2016-05-31,Oneok Inc New,0.03950361113166502,0.5098627589714568,8
QRVO,0.02213892460039408,0.01725773462913619,15,0.043297192348650156,2018-12-31,2020-02-29,Qorvo Inc,0.030090858127934394,0.5399536170993913,9
DPZ,0.018427874499076815,0.016239421024226475,9,0.04224328449039752,2019-12-31,2026-08-31,Dominos Pizza Inc,0.028315310475037297,0.5682689275744286,10
AVGO,0.045359840210114216,0.01611770826014425,35,0.08114275996746156,2016-04-30,2019-02-28,Broadcom Corp,0.02810309018106119,0.5963720177554898,11
BN,0.03917521876651238,0.01516505763202146,30,0.05058553959125611,2023-12-31,2026-05-31,Brookfield Corp,0.026442033529515883,0.6228140512850057,12
RTX,0.032946668928043835,0.012312955664416089,12,0.07390656650566961,2020-09-30,2021-08-31,Raytheon Technologies Corp,0.021469063581958433,0.6442831148669641,13
NSC,0.022413122992416913,0.01140603595263653,27,0.08026780329029172,2018-06-30,2020-08-31,Norfolk Southern Corp,0.019887744076992106,0.6641708589439562,14
WLK,0.018789115068619085,0.009843991558489593,42,0.017547166330064652,2016-12-31,2024-05-31,Westlake Chem Corp,0.017164138849313195,0.6813349977932694,15
V,0.040920334235517254,0.008291517627037448,63,0.047040864689550335,2021-06-30,2026-08-31,Visa Inc,0.014457220831245298,0.6957922186245148,16
FERG,0.026214217160370683,0.008211661661710128,15,0.06468635531686133,2025-06-30,2026-08-31,Ferguson Enterprises Inc,0.014317982711354593,0.7101102013358693,17
LRCX,0.011818709341159942,0.008111897894153123,6,0.02652405369182126,2019-06-30,2019-11-30,Lam Research Corp,0.014144033033695404,0.7242542343695647,18
ADI,0.016668081295402218,0.008039606524821925,30,0.04337787792035955,2020-12-31,2023-05-31,Analog Devices Inc,0.01401798466262203,0.7382722190321868,19
ETR,0.017394593032769922,0.007904862011938353,27,0.023027485781003887,2024-06-30,2026-08-31,Entergy Corp New,0.013783042006020286,0.7520552610382071,20
HLT,0.01908573555532119,0.007521767401369444,27,0.04082718299199311,2017-03-31,2021-05-31,Hilton Worldwide Hldgs Inc,0.013115072204425166,0.7651703332426323,21
LOW,0.03281414373226706,0.00734719571184162,57,0.05417880597928345,2017-06-30,2025-05-31,Lowes Cos Inc,0.012810686254842484,0.7779810194974748,22
AMAT,0.010255292104849205,0.007036129208712839,6,0.02417590389156658,2019-06-30,2019-11-30,Applied Matls Inc,0.012268305796737749,0.7902493252942125,23
VMC,0.00748790309669671,0.006927245173114916,6,0.040931519469596896,2018-12-31,2019-05-31,Vulcan Matls Co,0.012078453875962325,0.8023277791701748,24
TMUS,0.010042407551768003,0.0064960722615804815,6,0.03231689418507781,2016-09-30,2017-02-28,T Mobile Us Inc,0.011326653990959662,0.8136544331611345,25
SBAC,0.016435759781015642,0.006445863880809227,27,0.02574203691584835,2016-09-30,2025-05-31,Sba Communications Corp,0.01123910986682703,0.8248935430279616,26
SONY,0.01636942531566794,0.006285998798379631,27,0.018525147826330864,2018-12-31,2021-05-31,Sony Corp,0.01096036658919672,0.8358539096171583,27
MPC,0.016747530670405547,0.006262881360342495,12,0.06159485549279418,2016-09-30,2017-08-31,Marathon Pete Corp,0.010920058659841823,0.8467739682770001,28
MLM,0.0054714667564483566,0.006094766317064249,3,0.04384980541916091,2019-03-31,2019-05-31,Martin Marietta Matls Inc,0.010626930620434112,0.8574008988974342,29
AEE,0.014906968701923507,0.005991708743827987,30,0.020992189239899334,2024-03-31,2026-08-31,Ameren Corp,0.010447237811273286,0.8678481367087075,30
TRGP,0.0065379294207002165,0.005974869834255685,5,0.00781453290507603,2016-04-30,2016-08-31,Targa Res Corp,0.010417877223116262,0.8782660139318238,31
TECK,0.02109185068328951,0.005964388062271939,27,0.048046626987184766,2022-03-31,2024-05-31,Teck Resources Ltd,0.010399601040264328,0.8886656149720882,32
EQT,0.01244800159066025,0.005291245979251771,27,0.025293428059439398,2022-03-31,2024-05-31,Eqt Corp,0.009225899893770574,0.8978915148658587,33
WAB,0.0036002707693178395,0.005195769047981863,15,0.011821098243582058,2021-09-30,2023-02-28,Wabtec,0.009059424811433701,0.9069509396772925,34
AEP,0.01835188730774838,0.005079370092178429,30,0.02676715483959242,2024-03-31,2026-08-31,American Elec Pwr Co Inc,0.00885646975733248,0.9158074094346249,35
