period,rebalance,n,priced_share
2013-06-30,2013-08-31,29,0.4545720139049766
2013-09-30,2013-11-30,32,0.49547802084198733
2013-12-31,2014-02-28,31,0.5242751688217923
2014-03-31,2014-05-31,32,0.539656702096198
2014-06-30,2014-08-31,31,0.5518561179608482
2014-09-30,2014-11-30,30,0.559952184236056
2014-12-31,2015-02-28,28,0.5299152253028949
2015-03-31,2015-05-31,28,0.5292287426521199
2015-06-30,2015-08-31,28,0.4824767483833568
2015-09-30,2015-11-30,33,0.5270707191815039
2015-12-31,2016-02-29,35,0.5581662422423946
2016-03-31,2016-05-31,31,0.5271210967975499
2016-06-30,2016-08-31,23,0.2641199594550998
2016-09-30,2016-11-30,26,0.27284192988205463
2016-12-31,2017-02-28,29,0.2482213393669286
2017-03-31,2017-05-31,26,0.29071843955177257
2017-06-30,2017-08-31,28,0.2578006427499243
2017-09-30,2017-11-30,30,0.26775303641946546
2017-12-31,2018-02-28,30,0.28374639853250233
2018-03-31,2018-05-31,32,0.3829473616406146
2018-06-30,2018-08-31,32,0.4466261286143227
2018-09-30,2018-11-30,32,0.4025173162096627
2018-12-31,2019-02-28,38,0.4798492295102704
2019-03-31,2019-05-31,38,0.4662317396409601
2019-06-30,2019-08-31,37,0.5070069354855239
2019-09-30,2019-11-30,36,0.5129884226001427
2019-12-31,2020-02-29,40,0.5587491269727687
2020-03-31,2020-05-31,39,0.4926508455208111
2020-06-30,2020-08-31,44,0.700443301073232
2020-09-30,2020-11-30,39,0.6760420277685414
2020-12-31,2021-02-28,42,0.7154401035459129
2021-03-31,2021-05-31,42,0.7326869177973151
2021-06-30,2021-08-31,39,0.6084337023371257
2021-09-30,2021-11-30,42,0.5706079684634073
2021-12-31,2022-02-28,40,0.7112070351435645
2022-03-31,2022-05-31,39,0.6812064180304314
2022-06-30,2022-08-31,36,0.6091241173507713
2022-09-30,2022-11-30,39,0.6375775477200964
2022-12-31,2023-02-28,39,0.7043470232385884
2023-03-31,2023-05-31,42,0.7316728828331043
2023-06-30,2023-08-31,40,0.6937854801655138
2023-09-30,2023-11-30,41,0.6094554662019926
2023-12-31,2024-02-29,43,0.7257408998202259
2024-03-31,2024-05-31,42,0.6556402695064621
2024-06-30,2024-08-31,46,0.6721363944206152
2024-09-30,2024-11-30,44,0.8282251068851315
2024-12-31,2025-02-28,47,0.8395874373807429
2025-03-31,2025-05-31,49,0.846650678392527
2025-06-30,2025-08-31,49,0.7993815838753375
2025-09-30,2025-11-30,47,0.7875759750154407
2025-12-31,2026-02-28,35,0.6150008542285863
2026-03-31,2026-05-31,44,0.7318208650701701
2026-06-30,2026-08-31,49,0.8304216474112841
