period,rebalance,n,priced_share
2013-06-30,2013-08-31,20,0.6228934094146699
2013-09-30,2013-11-30,21,0.6573543902036048
2013-12-31,2014-02-28,22,0.6595277098638246
2014-03-31,2014-05-31,20,0.6949009602831989
2014-06-30,2014-08-31,19,0.6884629242118399
2014-09-30,2014-11-30,21,0.6979922148621233
2014-12-31,2015-02-28,20,0.6417845023014881
2015-03-31,2015-05-31,17,0.6081359468525288
2015-06-30,2015-08-31,15,0.5983059591178833
2015-09-30,2015-11-30,20,0.5667439824908357
2015-12-31,2016-02-29,18,0.6008504502136596
2016-03-31,2016-05-31,18,0.6039271077675439
2016-06-30,2016-08-31,18,0.6541051258222427
2016-09-30,2016-11-30,17,0.6611293956374978
2016-12-31,2017-02-28,19,0.6546141757322451
2017-03-31,2017-05-31,18,0.6861688861425633
2017-06-30,2017-08-31,20,0.6899720443930427
2017-09-30,2017-11-30,22,0.7550119941562308
2017-12-31,2018-02-28,24,0.8900964879744111
2018-03-31,2018-05-31,22,0.823727779850728
2018-06-30,2018-08-31,20,0.7991387836501003
2018-09-30,2018-11-30,20,0.8256791191497601
2018-12-31,2019-02-28,23,0.8081195399792228
2019-03-31,2019-05-31,21,0.8087871044347618
2019-06-30,2019-08-31,20,0.797645437292453
2019-09-30,2019-11-30,20,0.8183461571126155
2019-12-31,2020-02-29,23,0.9166170021852371
2020-03-31,2020-05-31,25,0.9249856179430971
2020-06-30,2020-08-31,22,0.9163582025510344
2020-09-30,2020-11-30,21,0.9033560014056333
2020-12-31,2021-02-28,21,0.9232614733613096
2021-03-31,2021-05-31,21,0.9348809144918311
2021-06-30,2021-08-31,21,0.9285701647754439
2021-09-30,2021-11-30,25,0.8975201730971478
2021-12-31,2022-02-28,28,0.8600371223156806
2022-03-31,2022-05-31,28,0.8270586775553606
2022-06-30,2022-08-31,30,0.8773498525760496
2022-09-30,2022-11-30,31,0.8740894136037644
2022-12-31,2023-02-28,32,0.8803855096179248
2023-03-31,2023-05-31,35,0.8614259729256566
2023-06-30,2023-08-31,36,0.8818296439914898
2023-09-30,2023-11-30,39,0.8831004340358498
2023-12-31,2024-02-29,40,0.8818544110295099
2024-03-31,2024-05-31,38,0.8868167429284725
2024-06-30,2024-08-31,41,0.9102842879486507
2024-09-30,2024-11-30,40,0.9706010164667198
2024-12-31,2025-02-28,40,0.9585612792446263
2025-03-31,2025-05-31,41,0.9612987636499396
2025-06-30,2025-08-31,47,0.9624074434964968
2025-09-30,2025-11-30,46,0.9284193059791448
2025-12-31,2026-02-28,50,0.9144815478090804
2026-03-31,2026-05-31,47,0.9794606088442668
2026-06-30,2026-08-31,46,0.9815021108773551
