ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
NFLX,0.9008954860085646,128,0.2791398393892197,Netflix Inc,0.3372053427838294,0.3372053427838294,1
CAR,0.5705311606958764,128,0.23642250061417774,Avis Budget Group Inc,0.21354991627683667,0.5507552590606661,2
META,0.22386563152652217,116,0.07458670107139775,Facebook Inc,0.08379294622828391,0.6345482052889501,3
Z,0.07962573217647954,72,0.07473028034176063,Zillow Group Inc,0.0298039259048168,0.6643521311937669,4
MSFT,0.06291059312735581,48,0.03975991331533419,Microsoft Corp,0.023547446346115185,0.6878995775398821,5
PDD,0.061135639151638214,51,0.04371539455401777,Pinduoduo Inc,0.022883080753099347,0.7107826582929814,6
CHTR,0.05504243620353566,12,0.12276575511748482,Charter Communications Inc N,0.020602393791430158,0.7313850520844115,7
SPOT,0.0457717387299938,48,0.01849468954049403,Spotify Technology S A,0.017132370056200625,0.7485174221406121,8
AMD,0.039889448379934925,12,0.03715131496685114,Advanced Micro Devices Inc,0.014930627717992528,0.7634480498586047,9
AVGO,0.03715812347054979,21,0.08945625717356262,Broadcom Ltd,0.013908292312135615,0.7773563421707403,10
DIS,0.03561150409580932,30,0.07002039538301073,Disney Walt Co,0.013329392401418876,0.7906857345721592,11
NVDA,0.03392914235502913,33,0.03068645642254295,Nvidia Corporation,0.012699684098628256,0.8033854186707874,12
MGM,0.028736547136342494,51,0.02678851741537658,Mgm Resorts International,0.010756094772398405,0.8141415134431857,13
TSM,0.02725785183550994,36,0.01732174440954929,Taiwan Semiconductor Mfg Ltd,0.010202618854787536,0.8243441322979733,14
TPR,0.02716354782033118,15,0.06275896496648542,Tapestry Inc,0.01016732084490946,0.8345114531428828,15
AAPL,0.023480023412709407,9,0.07925712571059412,Apple Inc,0.00878857699524509,0.8433000301381278,16
TWLO,0.021859458268101525,18,0.019051905514146608,Twilio Inc,0.008181999169539532,0.8514820293076674,17
CRM,0.018956534234071967,12,0.05168561833798832,Salesforce Com Inc,0.007095434180400439,0.8585774634880678,18
BKNG,0.018537383427617724,15,0.0430638762551728,Booking Hldgs Inc,0.006938545957999935,0.8655160094460678,19
MDB,0.01837312154799656,36,0.019964696077244246,Mongodb Inc,0.006877062706852372,0.8723930721529202,20
PINS,0.018204896585970028,27,0.018723706227026387,Pinterest Inc,0.006814096073246202,0.8792071682261664,21
EXPE,0.01645063944338062,21,0.015437349911286763,Expedia Inc Del,0.0061574773086004895,0.8853646455347669,22
SHOP,0.016219497441836334,36,0.0098272613119229,Shopify Inc,0.006070960815763117,0.89143560635053,23
SNAP,0.01606788760019491,63,0.04723037381655241,Snap Inc,0.006014213224711682,0.8974498195752416,24
EBAY,0.015769976761838486,3,0.07698318490994543,Ebay Inc,0.005902705144221598,0.9033525247194633,25
ADSK,0.015446210074077532,39,0.02484523605596596,Autodesk Inc,0.0057815192146393295,0.9091340439341026,26
TMUS,0.015269312536464965,24,0.03516184290511135,T Mobile Us Inc,0.005715306434428225,0.9148493503685308,27
TRIP,0.014790655205669018,57,0.023970290495040635,Tripadvisor Inc,0.0055361449092416,0.9203854952777724,28
CVNA,0.01375217059518789,33,0.00759006624406136,Carvana Co,0.005147439932369631,0.925532935210142,29
PANW,0.013075368030461259,23,0.04574493562871858,Palo Alto Networks Inc,0.004894112610410501,0.9304270478205525,30
PLNT,0.011192087949685806,78,0.06529498589939031,Planet Fitness Inc,0.0041892005367476,0.9346162483573002,31
STLA,0.010840466469619989,18,0.020385974791377992,Stellantis N.V,0.004057588553385277,0.9386738369106854,32
KMX,0.010419495722260797,9,0.017646199662479132,Carmax Inc,0.003900019126776038,0.9425738560374615,33
ORLY,0.009601095862508183,21,0.018939358619693567,O Reilly Automotive Inc New,0.00359369191176822,0.9461675479492296,34
HUT,0.00955933451572024,6,0.014545428024977816,Hut 8 Corp,0.0035780606321387325,0.9497456085813684,35
DDOG,0.009484404909089791,33,0.018766016087734046,Datadog Inc,0.0035500144668721904,0.9532956230482406,36
CCZ,0.009322122432127582,78,0.015769421862421123,Comcast Corp New,0.0034892721064966273,0.9567848951547372,37
ABNB,0.00908097442098577,24,0.009812763634783112,Airbnb Inc,0.00339901036246349,0.9601839055172007,38
SABR,0.008841882516390962,6,0.009755625633919072,Sabre Corp,0.0033095182194814747,0.9634934237366821,39
CTSH,0.008398665519232079,9,0.043281949263541675,Cognizant Technology Solutio,0.0031436220175627095,0.9666370457542448,40
CLS,0.007798117102028637,12,0.029134871121031126,Celestica Inc,0.002918836636765,0.9695558823910098,41
NOW,0.0071689836981519055,17,0.02114800614354296,Servicenow Inc,0.002683351890303529,0.9722392342813133,42
ALGN,0.007060767624844695,42,0.003102444843327119,Align Technology Inc,0.002642846594560565,0.9748820808758739,43
DT,0.007004548207585502,21,0.04217824651369268,Dynatrace Inc,0.0026218036565478723,0.9775038845324218,44
MTCH,0.005580118541016626,9,0.009396701568871395,Match Group Inc,0.0020886393756223403,0.9795925239080441,45
ADBE,0.005565730798381725,39,0.0038589027559308383,Adobe Sys Inc,0.002083254040960955,0.9816757779490051,46
OPTU,0.005170173373938774,12,0.025332629059773976,Altice Usa Inc,0.0019351968256995772,0.9836109747747046,47
UAL,0.004542020889154702,24,0.024604555353003103,United Airls Hldgs Inc,0.0017000792374312823,0.9853110540121359,48
MRVL,0.003953119160708715,18,0.004081127936518343,Marvell Technology Group Ltd,0.0014796532143346022,0.9867907072264706,49
AAL,0.0034271929197630647,6,0.033024542534043196,American Airls Group Inc,0.0012827989275595402,0.9880735061540301,50
BUD,0.003423797490651332,3,0.02388080792027822,Anheuser Busch Inbev Sa/Nv,0.0012815280178310514,0.9893550341718612,51
CVS,0.003233187061204386,12,0.008529533530385991,Cvs Health Corp,0.0012101824997348275,0.990565216671596,52
WDAY,0.002933932044609497,9,0.02118141349493315,Workday Inc,0.0010981712930878216,0.9916633879646839,53
TXG,0.002876855508183674,33,0.01047054427762604,10X Genomics Inc,0.001076807535216578,0.9927401954999004,54
PII,0.002266721532296694,6,0.008247475219582965,Polaris Inc,0.0008484342780759889,0.9935886297779765,55
IQ,0.002081201596569743,9,0.014413237374598329,Iqiyi Inc,0.0007789941326966326,0.9943676239106731,56
UBER,0.0018121411541231177,9,0.01940611116012095,Uber Technologies Inc,0.0006782847605953715,0.9950459086712685,57
FIVE,0.0018016699565004271,6,0.009651294557047517,Five Below Inc,0.0006743653894379463,0.9957202740607065,58
LAD,0.0017316880709773014,24,0.007947196522064532,Lithia Mtrs Inc,0.0006481711570736163,0.9963684452177801,59
QCOM,0.0015322788689959756,2,0.03068980423887589,Qualcomm Inc,0.0005735322568319477,0.9969419774746121,60
FN,0.00127284565880869,3,0.006569359185544875,Fabrinet,0.00047642635950049937,0.9974184038341126,61
TEAM,0.0010038495755997079,30,0.02593852124770802,Atlassian Corp Plc,0.00037574107707348764,0.9977941449111861,62
JBLU,0.0010025976776848909,6,0.0021972018496099455,Jetblue Awys Corp,0.0003752724914583387,0.9981694174026444,63
DAL,0.0008609557162378124,9,0.004854169349150607,Delta Air Lines Inc Del,0.00032225587976018443,0.9984916732824046,64
HPE,0.0008525119838299364,3,0.008376777095988358,Hewlett Packard Enterprise C,0.0003190953891980797,0.9988107686716027,65
TREX,0.0006602081476308172,6,0.002581580774745339,Trex Co Inc,0.00024711602864931027,0.999057884700252,66
HUM,0.0006112823796524703,6,0.004345510478129866,Humana Inc,0.00022880310487699188,0.999286687805129,67
GM,0.00039896680324442144,3,0.004244698826387497,General Mtrs Co,0.00014933334636125015,0.9994360211514902,68
RGTI,0.00038466764036140626,3,0.0012574705543270072,Rigetti Computing Inc,0.00014398116711696084,0.9995800023186072,69
DASH,0.00023106035989895802,6,0.0016790914766104269,Doordash Inc,8.648593435481196e-05,0.999666488252962,70
MA,0.000225351044981756,15,0.0018222907532059111,Mastercard Inc,8.4348936752298e-05,0.9997508371897142,71
PYPL,0.0001986527462215275,3,0.0012993211140880196,Paypal Hldgs Inc,7.435575871443808e-05,0.9998251929484286,72
WDC,0.00014307454071693488,3,0.0022505420831382874,Western Digital Corp,5.3552826377059154e-05,0.9998787457748057,73
LEVI,0.00011406981207632004,21,0.0014171671768339006,Levi Strauss & Co New,4.2696351219276534e-05,0.999921442126025,74
ZH,0.00010265599002962978,3,0.0033676712568113166,Zhihu Inc,3.8424155570056434e-05,0.9999598662815951,75
CNC,7.108798334648529e-05,3,0.0005319308274850773,Centene Corp Del,2.6608244978968447e-05,0.9999864745265741,76
V,3.6135364449684196e-05,3,0.001182640292504921,Visa Inc,1.3525473426291007e-05,1.0000000000000004,77
BABA,-1.2776184830608183e-05,6,0.0042213625748735014,Alibaba Group Hldg Ltd,,,78
YMM,-3.366951881984277e-05,3,0.00014971131489739634,Full Truck Alliance Co Ltd,,,79
DOCS,-3.7651173985619744e-05,3,0.00011967150844490609,Doximity Inc,,,80
LYFT,-4.045979514749524e-05,3,0.00031652825982700063,Lyft Inc,,,81
WWW,-4.8676621008813674e-05,6,0.0010058733924287056,Wolverine World Wide Inc,,,82
CAI,-8.398092251607012e-05,6,0.00014371162664436274,Caris Life Sciences Inc,,,83
CPNG,-8.671642676540446e-05,3,0.0024296450687841154,Coupang Inc,,,84
ACVA,-9.521873958987684e-05,3,0.00042966759728647284,Acv Auctions Inc,,,85
WRBY,-0.00017975755736184278,6,0.00329570048532412,Warby Parker Inc,,,86
ELV,-0.0002053075578311212,18,0.006736993178812665,Elevance Health Inc,,,87
LOW,-0.0002078434894981235,6,0.00323297052591559,Lowes Cos Inc,,,88
BILL,-0.00021198800470013362,3,0.0012130025586632486,Bill Holdings Inc,,,89
SNDK,-0.00022559174675103278,3,0.0025840996841755863,Sandisk Corp,,,90
ADT,-0.0003073153735159691,3,0.0025521390069205203,Adt Inc,,,91
F,-0.00031669001370997365,3,0.003148703552605566,Ford Mtr Co Del,,,92
SE,-0.00036270125886935244,24,0.0008820933422880635,Sea Ltd,,,93
NKE,-0.00038054285944579767,33,0.002496422547103074,Nike Inc,,,94
HD,-0.0004062771183952141,6,0.006904487157749359,Home Depot Inc,,,95
ULTA,-0.00041872313440753824,3,0.0053756991039925345,Ulta Beauty Inc,,,96
GRPN,-0.00044167697878932845,6,0.0010434360882902857,Groupon Inc,,,97
LI,-0.0004757248133016226,3,0.0014075070681087353,Li Auto Inc,,,98
CRWD,-0.0004943858611079041,3,0.0013183080438964722,Crowdstrike Hldgs Inc,,,99
HSAI,-0.0005523085888008092,6,0.0010959334662187707,Hesai Group,,,100
AMZN,-0.000624208226960795,6,0.003824997708648078,Amazon Com Inc,,,101
ZM,-0.0009501187382097501,12,0.008924785373541352,Zoom Video Communications In,,,102
CMG,-0.0010421659500465697,3,0.017026846612628224,Chipotle Mexican Grill Inc,,,103
CRI,-0.001044357619846936,18,0.03392956665822661,Carter Inc,,,104
VSXY,-0.0010825641400972618,3,0.004300350059533568,Victorias Secret And Co,,,105
DECK,-0.0011609201198899079,3,0.004230625081285748,Deckers Outdoor Corp,,,106
ETSY,-0.001256859147919892,12,0.017199878168715235,Etsy Inc,,,107
EGHT,-0.0014965011951773763,15,0.006333325171220472,8X8 Inc New,,,108
TCOM,-0.0015760109608014346,15,0.005166465779820059,Trip Com Group Ltd,,,109
PTON,-0.0020095000732991393,3,0.0033652471007403068,Peloton Interactive Inc,,,110
BIDU,-0.0020607276626774034,6,0.015679489444576374,Baidu Inc,,,111
GLBE,-0.0021662795197110556,39,0.004663054899636621,Global E Online Ltd,,,112
JD,-0.0027296236841808006,5,0.011765445314012975,Jd Com Inc,,,113
BEKE,-0.0037394448794754436,12,0.004637413207129615,Ke Hldgs Inc,,,114
BURL,-0.0038400206934899404,30,0.032594932636069544,Burlington Stores Inc,,,115
DKS,-0.004608063663299753,6,0.015009017966718765,Dicks Sporting Goods Inc,,,116
HIMS,-0.0049759071265464624,6,0.019205308067345984,Hims & Hers Health Inc,,,117
VIPS,-0.005211702967695513,5,0.021475857425693544,Vipshop Holdings Ltd,,,118
SGI,-0.00676579923712754,2,0.03651404160917915,Tempur Sealy Intl Inc,,,119
RIVN,-0.007047934044992262,6,0.009067435909214413,Rivian Automotive Inc,,,120
UPWK,-0.008115486144988894,12,0.014095949043411877,Upwork Inc,,,121
AAP,-0.008477441691703076,18,0.03195035287073023,Advance Auto Parts Inc,,,122
SNOW,-0.009356713629053262,15,0.009905949305639908,Snowflake Inc,,,123
UNH,-0.010314801008320058,12,0.02417056513942234,Unitedhealth Group Inc,,,124
RBLX,-0.013110140046239182,15,0.013156864455292643,Roblox Corp,,,125
SIG,-0.016782995106491706,18,0.03555835144284672,Signet Jewelers Limited,,,126
UA,-0.01963606545731402,18,0.024358009131538117,Under Armour Inc,,,127
GTM,-0.022843234407474718,18,0.030167479743902326,Zoominfo Technologies Inc,,,128
FVRR,-0.04026220311595069,21,0.028406916291800668,Fiverr Intl Ltd,,,129
