period,rebalance,n,priced_share
2013-06-30,2013-08-31,6,0.37294993324930453
2013-09-30,2013-11-30,5,0.4219680125795126
2013-12-31,2014-02-28,6,0.44259860268809814
2014-03-31,2014-05-31,5,0.43912050454411333
2014-06-30,2014-08-31,7,0.42743783383708484
2014-09-30,2014-11-30,6,0.3963655410106115
2014-12-31,2015-02-28,6,0.4199442257618123
2015-03-31,2015-05-31,8,0.4831233277216471
2015-06-30,2015-08-31,9,0.539329236801743
2015-09-30,2015-11-30,9,0.7167021729259537
2015-12-31,2016-02-29,10,0.6927187858891223
2016-03-31,2016-05-31,11,0.6278368519918935
2016-06-30,2016-08-31,11,0.6804061485104085
2016-09-30,2016-11-30,13,0.7670320108263948
2016-12-31,2017-02-28,12,0.9587785770312135
2017-03-31,2017-05-31,15,0.9407643769218454
2017-06-30,2017-08-31,15,0.8598364437536792
2017-09-30,2017-11-30,14,0.8580149824093795
2017-12-31,2018-02-28,13,0.7867270183985833
2018-03-31,2018-05-31,14,0.8569205049183761
2018-06-30,2018-08-31,16,0.900629421173135
2018-09-30,2018-11-30,15,0.9181546423637871
2018-12-31,2019-02-28,15,0.8689466148109992
2019-03-31,2019-05-31,17,0.8414568140254483
2019-06-30,2019-08-31,21,0.858922531046718
2019-09-30,2019-11-30,16,0.8016963685036342
2019-12-31,2020-02-29,17,0.8678206602179402
2020-03-31,2020-05-31,23,0.8504165137551352
2020-06-30,2020-08-31,21,0.8717890473299206
2020-09-30,2020-11-30,25,0.8733376920707345
2020-12-31,2021-02-28,25,0.9052185645898863
2021-03-31,2021-05-31,24,0.9144809356139593
2021-06-30,2021-08-31,20,0.9097259333783627
2021-09-30,2021-11-30,21,0.938927656142707
2021-12-31,2022-02-28,20,0.9729986256789067
2022-03-31,2022-05-31,27,0.9692046068354342
2022-06-30,2022-08-31,20,0.9988202855171946
2022-09-30,2022-11-30,19,0.9983479388959606
2022-12-31,2023-02-28,20,0.9994871292964802
2023-03-31,2023-05-31,21,0.9999999999999999
2023-06-30,2023-08-31,22,1.0
2023-09-30,2023-11-30,19,1.0
2023-12-31,2024-02-29,22,1.0
2024-03-31,2024-05-31,21,0.9978230120391967
2024-06-30,2024-08-31,21,0.9979245922582929
2024-09-30,2024-11-30,20,1.0000000000000002
2024-12-31,2025-02-28,20,1.0
2025-03-31,2025-05-31,23,0.9999999999999999
2025-06-30,2025-08-31,26,1.0
2025-09-30,2025-11-30,28,1.0
2025-12-31,2026-02-28,30,0.9983082005377114
2026-03-31,2026-05-31,28,0.9751506545785692
2026-06-30,2026-08-31,31,0.9344714299379175
