period,rebalance,n,priced_share
2013-06-30,2013-08-31,22,0.6984031917133451
2013-09-30,2013-11-30,28,0.7527454797003443
2013-12-31,2014-02-28,31,0.609428654506517
2014-03-31,2014-05-31,27,0.44990494839437634
2014-06-30,2014-08-31,24,0.47147395312843926
2014-09-30,2014-11-30,30,0.5310336406567651
2014-12-31,2015-02-28,27,0.43378404622332617
2015-03-31,2015-05-31,32,0.6052304783631667
2015-06-30,2015-08-31,32,0.6211923310730159
2015-09-30,2015-11-30,32,0.6795019140225994
2015-12-31,2016-02-29,34,0.6894771142134133
2016-03-31,2016-05-31,30,0.6857295237078842
2016-06-30,2016-08-31,29,0.7010657838233255
2016-09-30,2016-11-30,33,0.7562742787792788
2016-12-31,2017-02-28,32,0.809359015437627
2017-03-31,2017-05-31,39,0.8531967810775827
2017-06-30,2017-08-31,36,0.8501847167696868
2017-09-30,2017-11-30,35,0.8511395548018655
2017-12-31,2018-02-28,39,0.8659012354913739
2018-03-31,2018-05-31,35,0.8147463349889645
2018-06-30,2018-08-31,34,0.7996889877872077
2018-09-30,2018-11-30,33,0.8052111593413067
2018-12-31,2019-02-28,34,0.876379922985302
2019-03-31,2019-05-31,33,0.8658759241832042
2019-06-30,2019-08-31,45,0.9044001136350017
2019-09-30,2019-11-30,43,0.9969790189862144
2019-12-31,2020-02-29,59,0.9890842337911693
2020-03-31,2020-05-31,48,0.9485654481357275
2020-06-30,2020-08-31,57,0.9679676876066821
2020-09-30,2020-11-30,55,0.951665465380875
2020-12-31,2021-02-28,46,0.9470845050296526
2021-03-31,2021-05-31,41,0.9293917672904539
2021-06-30,2021-08-31,46,0.9182771853760465
2021-09-30,2021-11-30,37,0.9668228915885542
2021-12-31,2022-02-28,38,0.9876640844521932
2022-03-31,2022-05-31,37,0.9911806642597388
2022-06-30,2022-08-31,34,0.9835705138168198
2022-09-30,2022-11-30,30,0.9751749049544775
2022-12-31,2023-02-28,28,0.9863291562197624
2023-03-31,2023-05-31,40,0.8887497252507932
2023-06-30,2023-08-31,46,0.9023647818789353
2023-09-30,2023-11-30,44,0.9147017050278393
2023-12-31,2024-02-29,45,0.980268116138927
2024-03-31,2024-05-31,52,0.9426572774953299
2024-06-30,2024-08-31,49,0.9606210143693601
2024-09-30,2024-11-30,53,0.9921384058275907
2024-12-31,2025-02-28,54,0.9758425226586551
2025-03-31,2025-05-31,53,1.0000000000000002
2025-06-30,2025-08-31,59,0.9694545029979645
2025-09-30,2025-11-30,59,0.9967422736218505
2025-12-31,2026-02-28,60,1.0
2026-03-31,2026-05-31,58,0.9941495031842335
2026-06-30,2026-08-31,59,0.9958919741440422
