period,rebalance,n,priced_share
2013-12-31,2014-02-28,21,0.6732571355048999
2014-03-31,2014-05-31,19,0.6642275811042976
2014-06-30,2014-08-31,18,0.5684916742511616
2014-09-30,2014-11-30,18,0.6385872575403699
2014-12-31,2015-02-28,19,0.6864652403206639
2015-03-31,2015-05-31,22,0.8089275506521724
2015-06-30,2015-08-31,25,0.7795213247710924
2015-09-30,2015-11-30,12,0.6989814029324525
2015-12-31,2016-02-29,16,0.7249054797995944
2016-03-31,2016-05-31,13,0.6965304925253283
2016-06-30,2016-08-31,14,0.7678067545397974
2016-09-30,2016-11-30,20,0.8394296404061237
2016-12-31,2017-02-28,31,0.8755946321786329
2017-03-31,2017-05-31,28,0.8893254358284621
2017-06-30,2017-08-31,16,0.9072132257350576
2017-09-30,2017-11-30,14,0.8897450851306068
2017-12-31,2018-02-28,25,0.8901768017312599
2018-03-31,2018-05-31,16,0.859411658638632
2018-06-30,2018-08-31,17,0.943509630193911
2018-09-30,2018-11-30,18,0.9246488555416471
2018-12-31,2019-02-28,18,0.9789246299555376
2019-03-31,2019-05-31,29,0.8837612231859147
2019-06-30,2019-08-31,31,0.8565554189570987
2019-09-30,2019-11-30,32,0.9114525810453988
2019-12-31,2020-02-29,33,0.9435899324561671
2020-03-31,2020-05-31,45,0.9234709413401414
2020-06-30,2020-08-31,47,0.9021799836074498
2020-09-30,2020-11-30,45,0.8858977267961666
2020-12-31,2021-02-28,43,0.8717988702558852
2021-03-31,2021-05-31,44,0.8737878581509763
2021-06-30,2021-08-31,43,0.8709873655106243
2021-09-30,2021-11-30,42,0.8840344571635002
2021-12-31,2022-02-28,48,0.9078912463942418
2022-03-31,2022-05-31,46,0.8922555378862447
2022-06-30,2022-08-31,48,0.8474606052690514
2022-09-30,2022-11-30,46,0.8755874784882708
2022-12-31,2023-02-28,47,0.8260010820812554
2023-03-31,2023-05-31,50,0.787503878796685
2023-06-30,2023-08-31,48,0.7027087964895742
2023-09-30,2023-11-30,52,0.7738357695389312
2023-12-31,2024-02-29,53,0.8101864548558619
2024-03-31,2024-05-31,52,0.840388965374054
2024-06-30,2024-08-31,53,0.8680392957328386
2024-09-30,2024-11-30,52,0.8892817998847057
2024-12-31,2025-02-28,55,0.8962044126292963
2025-03-31,2025-05-31,56,0.879102447695673
2025-06-30,2025-08-31,56,0.9037288374348431
2025-09-30,2025-11-30,56,0.9139774032559451
2025-12-31,2026-02-28,57,0.951562097458285
2026-03-31,2026-05-31,56,0.9230827353041572
2026-06-30,2026-08-31,59,0.9905238747546306
