ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
GE,0.2870602900567648,0.16411177559923826,39,0.2051041776360806,2023-06-30,2026-08-31,General Electric Co,0.4166183859004378,0.4166183859004378,1
GOOG,0.2948759302057575,0.1033885939036827,92,0.16147821163526316,2019-01-31,2026-08-31,Alphabet Inc,0.26246495082628346,0.6790833367267213,2
MSFT,0.22828878370464423,0.06764831507555866,89,0.1291827623508714,2019-01-31,2026-08-31,Microsoft Corp,0.1717337572685084,0.8508170939952296,3
CHTR,0.19168246045322004,0.036058185224351086,44,0.20260061691412193,2019-01-31,2022-08-31,Charter Communications Inc N,0.09153823893389094,0.9423553329291205,4
MCO,0.12849256812757437,0.007155379675340315,92,0.09211257240600239,2019-01-31,2026-08-31,Moodys Corp,0.018164831377638923,0.9605201643067595,5
RTX,0.005665337679447852,0.003937439140811684,3,0.027629214458960213,2020-09-30,2020-11-30,Raytheon Technologies Corp,0.009995684547537033,0.9705158488542965,6
NSC,0.010193466913146649,0.003867662913682997,2,0.05202511523514557,2019-01-31,2019-02-28,Norfolk Southern Corp,0.009818548817852615,0.9803343976721491,7
ELV,0.009385135859338428,0.002715163405908593,12,0.04118407978670951,2019-09-30,2020-08-31,Anthem Inc,0.006892783845005353,0.9872271815171545,8
FWONA,0.0010574986861040783,0.0010493816113036646,5,0.003895946560888332,2019-01-31,2019-05-31,Liberty Media Corp Delaware,0.002663987221505406,0.9898911687386599,9
VNO,0.0028071531750406627,0.0010294953298487838,9,0.008026008302183453,2020-09-30,2021-05-31,Vornado Rlty Tr,0.0026135033945463566,0.9925046721332063,10
AMAT,0.0010473482433240636,0.0008443084529166291,3,0.005429132350879418,2022-09-30,2022-11-30,Applied Matls Inc,0.0021433832128853925,0.9946480553460917,11
EFX,0.0022147464935789907,0.0008354094462604167,9,0.010231577982687772,2019-06-30,2020-02-29,Equifax Inc,0.0021207919650868055,0.9967688473111785,12
FER,0.007336184332100785,0.00044379869474360685,24,0.021565850773101067,2024-09-30,2026-08-31,Ferrovial Se,0.0011266388118322255,0.9978954861230107,13
FERG,0.0007836883483160834,0.0003037744871435423,9,0.0025566267151530702,2023-09-30,2024-05-31,Ferguson Plc New,0.0007711697472613496,0.998666655870272,14
KLAC,0.00028358481368235855,0.00020477522523154617,6,0.0009250625377492513,2021-06-30,2022-11-30,Kla Corp,0.0005198476678279348,0.9991865035381,15
ADSK,0.00018461904886126867,0.00017332781046728782,12,0.00048555310551533763,2019-12-31,2020-11-30,Autodesk Inc,0.00044001444969360046,0.9996265179877936,16
LIN,0.0003528466811855065,9.672763492636522e-05,3,0.0015751365882675941,2020-06-30,2020-08-31,Linde Plc,0.00024555526858351866,0.9998720732563771,17
LRCX,0.0001070198952271008,4.61251845971963e-05,6,0.0007348859719616311,2021-06-30,2022-11-30,Lam Research Corp,0.00011709458316489543,0.999989167839542,18
ADBE,2.0913183987124812e-05,4.266938633794904e-06,9,5.767452322200735e-05,2020-03-31,2020-11-30,Adobe Inc,1.0832160458058584e-05,1.0,19
KRC,-1.574407869494305e-06,-4.114711655732976e-06,3,0.00021612945084980464,2021-09-30,2021-11-30,Kilroy Rlty Corp,,,20
AMZN,0.00018603394264099125,-4.1894818475836804e-06,12,0.0004630905274050011,2020-06-30,2021-05-31,Amazon Com Inc,,,21
NOC,9.81078294538725e-05,-8.556810924532397e-05,3,0.002915644576505346,2020-03-31,2020-05-31,Northrop Grumman Corp,,,22
MA,0.0001541197854261992,-9.029165943278184e-05,6,0.0011336847222273075,2020-06-30,2020-11-30,Mastercard Inc,,,23
ARE,-0.0008983865550417486,-0.0002528677523855686,9,0.0037541452513133755,2021-09-30,2022-05-31,Alexandria Real Estate Eq In,,,24
TDG,-0.0005373498451058445,-0.0005167322963784229,3,0.0017858827530638367,2020-03-31,2020-05-31,Transdigm Group Inc,,,25
UNP,0.028907045426032896,-0.0019069645665535425,53,0.04224934371852039,2019-01-31,2023-05-31,Union Pac Corp,,,26
PCG,-0.0015200535579557258,-0.0020444033492927676,2,0.003779038239194211,2019-01-31,2019-02-28,Pg&E Corp,,,27
FOX,-0.0016061121385408602,-0.003786558917009376,3,0.034910894501607816,2019-06-30,2019-08-31,Fox Corp,,,28
TMO,0.006359809510401879,-0.005769986518970874,18,0.03178119825193214,2023-03-31,2024-08-31,Thermo Fisher Scientific Inc,,,29
BXP,-0.008258013626937588,-0.009599262688100109,30,0.025396521288213635,2020-09-30,2023-02-28,Boston Properties Inc,,,30
V,0.11312313645273722,-0.00983832776546325,84,0.1108177407553297,2019-09-30,2026-08-31,Visa Inc,,,31
CP,0.13516148729453634,-0.015970775191621673,92,0.11303169248260077,2019-01-31,2026-08-31,Canadian Pac Ry Ltd,,,32
SPGI,0.06398322437209703,-0.030403447265567214,92,0.07544192695797258,2019-01-31,2026-08-31,S&P Global Inc,,,33
CNI,0.04577055968913933,-0.06667880540880564,92,0.09153709753215353,2019-01-31,2026-08-31,Canadian Natl Ry Co,,,34
