period,rebalance,n,priced_share
2015-06-30,2015-08-31,3,0.12905342873832584
2015-09-30,2015-11-30,4,0.17952055597305627
2015-12-31,2016-02-29,4,0.14962298747054228
2016-03-31,2016-05-31,3,0.049854747134068816
2016-06-30,2016-08-31,3,0.36657090098018597
2016-09-30,2016-11-30,3,0.3660160819602597
2016-12-31,2017-02-28,3,0.38903137369479757
2017-03-31,2017-05-31,4,0.3660945142241786
2017-06-30,2017-08-31,6,0.37744212389599163
2017-09-30,2017-11-30,8,0.3600563591054877
2017-12-31,2018-02-28,9,0.4318021573857415
2018-03-31,2018-05-31,7,0.43616856579076446
2018-06-30,2018-08-31,7,0.4646997208411405
2018-09-30,2018-11-30,10,0.6145256006736108
2018-12-31,2019-02-28,8,0.6016577755056645
2019-03-31,2019-05-31,9,0.8624512542136992
2019-06-30,2019-08-31,10,0.8522461865367223
2019-09-30,2019-11-30,11,0.8454024801353234
2019-12-31,2020-02-29,13,0.792337474792433
2020-03-31,2020-05-31,14,0.8094420209559406
2020-06-30,2020-08-31,15,0.8779734441767963
2020-09-30,2020-11-30,11,0.878100432782288
2020-12-31,2021-02-28,11,0.8728774993045124
2021-03-31,2021-05-31,11,0.8762992262758967
2021-06-30,2021-08-31,11,0.8928764938315363
2021-09-30,2021-11-30,10,0.9018150959222179
2021-12-31,2022-02-28,10,0.8866088283926012
2022-03-31,2022-05-31,9,0.8748907614086922
2022-06-30,2022-08-31,11,0.8765442471019405
2022-09-30,2022-11-30,8,0.869640097706457
2022-12-31,2023-02-28,8,0.8609347609761139
2023-03-31,2023-05-31,8,0.8527595924621041
2023-06-30,2023-08-31,9,0.9977074095826532
2023-09-30,2023-11-30,8,0.9970858844042338
2023-12-31,2024-02-29,9,0.9976558601199146
2024-03-31,2024-05-31,9,1.0
2024-06-30,2024-08-31,9,1.0
2024-09-30,2024-11-30,9,1.0
2024-12-31,2025-02-28,9,1.0
2025-03-31,2025-05-31,9,1.0
2025-06-30,2025-08-31,9,0.9999999999999999
2025-09-30,2025-11-30,9,1.0
2025-12-31,2026-02-28,9,1.0
2026-03-31,2026-05-31,9,1.0
2026-06-30,2026-08-31,10,1.0
