ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
TDW,0.2184843909124294,0.1254612336519694,106,0.0679764599315653,2017-11-30,2026-08-31,Tidewater Inc.,0.20226434810735852,0.20226434810735852,1
HCC,0.18088570254650108,0.090979094048365,102,0.0668309075078941,2018-03-31,2026-08-31,Warrior Met Coal Inc.,0.14667341148690954,0.3489377595942681,2
MYRG,0.05885797486904838,0.03267337179161369,102,0.016084647719752994,2018-03-31,2026-08-31,Myr Group Inc.,0.05267490246614805,0.4016126620604161,3
CVCO,0.04335121656768019,0.023695997369429893,56,0.037585299466774934,2013-12-31,2018-07-31,"Cavco Industries, Inc.",0.038201883730689626,0.43981454579110574,4
ORI,0.05249360748489966,0.022270394238525386,66,0.034184564664664914,2020-06-30,2025-11-30,Old Republic International Corp.,0.03590357468702048,0.4757181204781262,5
RHI,0.021146559597209617,0.02155379191497904,3,0.04202121333041203,2026-06-30,2026-08-31,"Robert Half, Inc.",0.03474829271182172,0.5104664131899479,6
VAL,0.05139400894858392,0.016361044089425833,57,0.04669789968535078,2021-12-31,2026-08-31,Valaris Ltd.,0.026376720687151647,0.5368431338770996,7
BN,0.13273934384001954,0.015996811804268485,155,0.06662957171908758,2013-10-31,2026-08-31,Brookfield Asset Mgmt.,0.02578951774348086,0.5626326516205804,8
LOW,0.055083328078829014,0.014541094194089822,131,0.02967027422693655,2013-10-31,2024-11-30,Lowe'S Companies Inc.,0.023442659157122882,0.5860753107777033,9
ZION,0.02482811923431668,0.014096929425905276,51,0.025386424702015926,2014-12-31,2019-02-28,Zions Bancorporation,0.02272659177380417,0.6088019025515075,10
ROG,0.017386320056338986,0.013298833649737794,9,0.033303560155032115,2025-12-31,2026-08-31,Rogers Corp.,0.02143992881669066,0.6302418313681981,11
DHI,0.03585357494866375,0.013122603260857494,51,0.028719944448988607,2022-06-30,2026-08-31,Dr Horton Inc.,0.021155816157457128,0.6513976475256552,12
NVDA,0.016243869424588577,0.012993823113468767,29,0.019340063352791984,2013-10-31,2016-02-29,Nvidia Corp,0.0209482011691253,0.6723458486947805,13
FR,0.05431358299605564,0.011691957262023928,155,0.026305678849666225,2013-10-31,2026-08-31,"First Indus. Realty Trust, Inc.",0.018849377173051927,0.6911952258678324,14
FIX,0.018360521401865365,0.011444490656544586,84,0.006027155489605905,2017-06-30,2024-05-31,Comfort Systems Usa Inc.,0.018450419900126736,0.7096456457679592,15
INTC,0.016400813183801145,0.009809995177437787,14,0.029840285509027016,2013-10-31,2014-11-30,Intel Corporation,0.015815341693554582,0.7254609874615138,16
PBF,0.011611610348435658,0.009786082480151899,21,0.007792941478700643,2024-12-31,2026-08-31,Pbf Energy Inc.,0.015776790453564102,0.7412377779150778,17
