period,rebalance,n,priced_share
2013-06-30,2013-08-31,35,0.653884204255458
2013-09-30,2013-11-30,38,0.6874114607605231
2013-12-31,2014-02-28,38,0.6874114607605231
2014-03-31,2014-05-31,39,0.696461817704997
2014-06-30,2014-08-31,40,0.7000252975803735
2014-09-30,2014-11-30,40,0.6829065897481523
2014-12-31,2015-02-28,38,0.7168392109890154
2015-03-31,2015-05-31,40,0.7117744040275438
2015-06-30,2015-08-31,42,0.7364955394988668
2015-09-30,2015-11-30,41,0.7251897763245421
2015-12-31,2016-02-29,41,0.7197728027699126
2016-03-31,2016-05-31,43,0.7305008848839197
2016-06-30,2016-08-31,43,0.7345622207979795
2016-09-30,2016-11-30,44,0.7350439412595445
2016-12-31,2017-02-28,45,0.732371827920876
2017-03-31,2017-05-31,42,0.7488842610777201
2017-06-30,2017-08-31,43,0.761228624050126
2017-09-30,2017-10-31,45,0.7638874757501332
2017-12-31,2018-02-28,48,0.8121915865492706
2018-03-31,2018-05-31,45,0.7817851938119024
2018-06-30,2018-07-31,46,0.7889129433626076
2018-09-30,2018-11-30,47,0.8648707233400759
2018-12-31,2019-02-28,48,0.908178852694332
2019-03-31,2019-05-31,47,0.9161445141679571
2019-06-30,2019-08-31,47,0.913354196597782
2019-09-30,2019-11-30,45,0.9047508987723251
2019-12-31,2020-02-29,46,0.9159313354485545
2020-03-31,2020-05-31,51,0.9551889103689118
2020-06-30,2020-08-31,50,0.9338303100504943
2020-09-30,2020-11-30,51,0.9336268706388889
2020-12-31,2021-02-28,51,0.9092084387853612
2021-03-31,2021-05-31,49,0.8820196708823596
2021-06-30,2021-08-31,50,0.9061567939363626
2021-09-30,2021-11-30,50,0.9002228634181003
2021-12-31,2022-02-28,48,0.8944475347727687
2022-03-31,2022-05-31,48,0.8946937440816409
2022-06-30,2022-08-31,46,0.8991500609642133
2022-09-30,2022-11-30,44,0.8916845205422858
2022-12-31,2023-02-28,46,0.8547995820875322
2023-03-31,2023-05-31,45,0.7940399358359629
2023-06-30,2023-08-31,47,0.8337452186020953
2023-09-30,2023-11-30,49,0.8769624793008177
2023-12-31,2024-02-29,49,0.8554882946015713
2024-03-31,2024-05-31,48,0.852344569438515
2024-06-30,2024-08-31,50,0.8615517284352587
2024-09-30,2024-11-30,50,0.8502429039170075
2024-12-31,2025-02-28,50,0.8556392002460522
2025-03-31,2025-05-31,53,0.8551602155772646
2025-06-30,2025-08-31,46,0.8799363255102836
2025-09-30,2025-11-30,45,0.9459595680086464
2025-12-31,2026-02-28,46,0.9474476274344729
2026-03-31,2026-05-31,49,0.9692730361321191
2026-06-30,2026-08-31,51,0.9733123659323982
