ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
AMZN,0.3318357272516151,131,0.10106245321647667,Amazon Com Inc,0.14334538511102082,0.14334538511102082,1
META,0.3016855088223797,114,0.09566976271566846,Facebook Inc,0.1303211857346738,0.2736665708456946,2
MSFT,0.2642476529840446,117,0.10114335736741531,Microsoft Corp,0.11414889498308807,0.3878154658287827,3
JD,0.16100746691729312,131,0.11516582074247923,Jd Com Inc,0.06955151436574855,0.45736698019453126,4
GOOG,0.09588406746468695,75,0.05163711322519869,Alphabet Inc,0.041419706945282686,0.49878668713981394,5
BABA,0.08264714563938494,77,0.0503069045688311,Alibaba Group Hldg Ltd,0.03570166183769954,0.5344883489775135,6
NVDA,0.08143181738678308,39,0.04980056178667169,Nvidia Corporation,0.03517666804680064,0.5696650170243142,7
TDG,0.08035932137080665,68,0.05466923559283101,Transdigm Group Inc,0.03471337448973406,0.6043783915140483,8
SE,0.06786297453003344,99,0.04386677340867639,Sea Ltd,0.02931524070466012,0.6336936322187083,9
CHTR,0.06760506163368318,21,0.11068256070056666,Charter Communications Inc N,0.02920382827852195,0.6628974604972303,10
APO,0.04889039514180427,51,0.041113900624283634,Apollo Global Mgmt Inc,0.021119523741088685,0.684016984238319,11
RUN,0.04820701639667133,48,0.020341649198882383,Sunrun Inc,0.020824319875582396,0.7048413041139014,12
TSM,0.046791519459676606,42,0.029669884164784614,Taiwan Semiconductor Mfg Ltd,0.020212857827063654,0.7250541619409651,13
TAL,0.04367668549219043,63,0.021635888746292006,Tal Ed Group,0.018867321352362007,0.7439214832933271,14
NOW,0.03990368550963479,105,0.02290429851911719,Servicenow Inc,0.01723747233036921,0.7611589556236963,15
AAPL,0.037240475975739325,18,0.06587734033071257,Apple Inc,0.016087027200697813,0.777245982824394,16
MA,0.03704807235398014,95,0.018449752329350953,Mastercard Inc,0.016003913271145215,0.7932498960955393,17
LRCX,0.03324768028267881,39,0.018988261295412555,Lam Research Corp,0.014362231498222413,0.8076121275937618,18
LLY,0.029250738250160162,27,0.036975415474176855,Lilly Eli & Co,0.012635644672677323,0.8202477722664391,19
TTWO,0.02741035943510908,42,0.04165623956306126,Take-Two Interactive Softwar,0.011840643446683272,0.8320884157131223,20
NFLX,0.0268205090814831,80,0.06303263358865016,Netflix Inc,0.01158584169040862,0.843674257403531,21
MDB,0.023077081100895368,42,0.007213996440067697,Mongodb Inc,0.0099687670916092,0.8536430244951402,22
AVGO,0.022022454351990756,30,0.02267456705880481,Broadcom Inc,0.009513192646017674,0.8631562171411579,23
MELI,0.02106455476165123,30,0.016720173253544593,Mercadolibre Inc,0.009099402103292922,0.8722556192444508,24
TWLO,0.020527715185532973,24,0.011296307038605366,Twilio Inc,0.008867499780963541,0.8811231190254144,25
WDAY,0.015352305615243977,78,0.024678857923427795,Workday Inc,0.006631842143659726,0.8877549611690742,26
QSR,0.014889927823965999,42,0.01581528788279621,Restaurant Brands Intl Inc,0.006432105595981518,0.8941870667650557,27
GEV,0.013949242980987715,15,0.024025393212138205,Ge Vernova Inc,0.006025751427304023,0.9002128181923597,28
ETSY,0.013493346218361277,32,0.018562355661746105,Etsy Inc,0.005828814534610723,0.9060416327269704,29
CRM,0.012843511564448434,51,0.015784583492850206,Salesforce Com Inc,0.005548100943295127,0.9115897336702655,30
DPZ,0.012569361468996613,30,0.044989182677627235,Dominos Pizza Inc,0.005429674421424664,0.9170194080916901,31
INTU,0.012164187111593963,24,0.01089804400499103,Intuit,0.005254648438598668,0.9222740565302888,32
GDS,0.012131585632323891,36,0.01213250772075656,Gds Hldgs Ltd,0.005240565351042475,0.9275146218813313,33
V,0.011485302959989263,65,0.00646314118110835,Visa Inc,0.004961386133892836,0.9324760080152241,34
PYPL,0.011422075258559606,30,0.009153522520205865,Paypal Hldgs Inc,0.004934073224321028,0.9374100812395452,35
ADSK,0.01079373545687167,18,0.020540428690221837,Autodesk Inc,0.004662644913694172,0.9420727261532393,36
HUBS,0.010716731027639162,15,0.010060449183495818,Hubspot Inc,0.0046293807752754105,0.9467021069285148,37
