period,rebalance,n,priced_share
2013-06-30,2013-08-31,21,0.5936951660934696
2013-09-30,2013-11-30,16,0.5019383402456061
2013-12-31,2014-02-28,26,0.49814075132316826
2014-03-31,2014-05-31,21,0.4715173571027239
2014-06-30,2014-08-31,18,0.414480594838472
2014-09-30,2014-11-30,13,0.37221873450795134
2014-12-31,2015-02-28,18,0.4580108522659405
2015-03-31,2015-05-31,18,0.4841829395903676
2015-06-30,2015-08-31,18,0.7101909571086272
2015-09-30,2015-11-30,16,0.8071063783415043
2015-12-31,2016-02-29,23,0.7769070604310494
2016-03-31,2016-05-31,15,0.7166409018451879
2016-06-30,2016-08-31,12,0.6984865477163882
2016-09-30,2016-11-30,15,0.6955435383487424
2016-12-31,2017-02-28,22,0.60322606271112
2017-03-31,2017-05-31,26,0.6430787080153456
2017-06-30,2017-08-31,25,0.6420044756187251
2017-09-30,2017-11-30,27,0.6079383491984909
2017-12-31,2018-02-28,27,0.6021828282443792
2018-03-31,2018-05-31,31,0.7559792080699058
2018-06-30,2018-08-31,35,0.8130504104144085
2018-09-30,2018-11-30,38,0.7663614240725035
2018-12-31,2019-02-28,38,0.7383105113258079
2019-03-31,2019-05-31,41,0.7681860935952639
2019-06-30,2019-08-31,44,0.7678722252371489
2019-09-30,2019-11-30,44,0.7849353219882604
2019-12-31,2020-02-29,44,0.8200525336459047
2020-03-31,2020-05-31,45,0.8544246688539545
2020-06-30,2020-08-31,46,0.8773030034786928
2020-09-30,2020-11-30,46,0.904669481974831
2020-12-31,2021-02-28,46,0.91142127698247
2021-03-31,2021-05-31,47,0.9187058730789308
2021-06-30,2021-08-31,49,0.9249551967984732
2021-09-30,2021-11-30,50,0.9400787703718471
2021-12-31,2022-02-28,51,0.9463756621618783
2022-03-31,2022-05-31,49,0.9503017028736468
2022-06-30,2022-08-31,47,0.9508822716091526
2022-09-30,2022-11-30,50,0.9712193412959909
2022-12-31,2023-02-28,48,0.9797165864371746
2023-03-31,2023-05-31,51,0.9799584099220527
2023-06-30,2023-08-31,39,0.9745885662579564
2023-09-30,2023-11-30,46,0.97389177270586
2023-12-31,2024-02-29,38,0.9737827634211514
2024-03-31,2024-05-31,41,0.9999999999999999
2024-06-30,2024-08-31,44,1.0
2024-09-30,2024-11-30,44,0.9658097609446021
2024-12-31,2025-02-28,48,0.9670113532839983
2025-03-31,2025-05-31,43,0.9718633948401588
2025-06-30,2025-08-31,48,0.9710446999864979
2025-09-30,2025-11-30,54,0.9712859138711878
2025-12-31,2026-02-28,52,0.9710267013685556
2026-03-31,2026-05-31,53,1.0000000000000002
2026-06-30,2026-08-31,45,0.9885277638656117
