period,rebalance,n,priced_share
2013-06-30,2013-08-31,32,0.6335993386958318
2013-09-30,2013-11-30,29,0.6637276279844665
2013-12-31,2014-02-28,23,0.6974071087591711
2014-03-31,2014-05-31,32,0.7425202410865317
2014-06-30,2014-08-31,30,0.6533823867220402
2014-09-30,2014-11-30,28,0.8392211057942259
2014-12-31,2015-02-28,33,0.809195455923861
2015-03-31,2015-05-31,37,0.7946471875554504
2015-06-30,2015-08-31,26,0.8022932089558984
2015-09-30,2015-11-30,30,0.7380802398071119
2015-12-31,2016-02-29,27,0.806399554167489
2016-03-31,2016-05-31,25,0.7875631881815581
2016-06-30,2016-08-31,19,0.6237349051642649
2016-09-30,2016-11-30,20,0.6589244432911872
2016-12-31,2017-02-28,24,0.7444806065628241
2017-03-31,2017-05-31,33,0.8236363860531636
2017-06-30,2017-08-31,32,0.8315907643186876
2017-09-30,2017-11-30,33,0.829728722422646
2017-12-31,2018-02-28,49,0.8600393550359162
2018-03-31,2018-05-31,49,0.8762944129110041
2018-06-30,2018-08-31,42,0.8556462870447348
2018-09-30,2018-11-30,41,0.8591167379978735
2018-12-31,2019-02-28,18,0.8271669985510727
2019-03-31,2019-05-31,16,0.8944672543573643
2019-06-30,2019-08-31,18,0.9312676815303785
2019-09-30,2019-11-30,19,0.9803401342495555
2019-12-31,2020-02-29,26,0.9799404940053874
2020-03-31,2020-05-31,32,0.9751208416263862
2020-06-30,2020-08-31,30,0.9567409958907421
2020-09-30,2020-11-30,34,0.9738485235875782
2020-12-31,2021-02-28,35,0.9783907628791144
2021-03-31,2021-05-31,31,0.9820137174429036
2021-06-30,2021-08-31,31,0.9816861182609924
2021-09-30,2021-11-30,33,0.9776854643727304
2021-12-31,2022-02-28,36,0.9862117201369515
2022-03-31,2022-05-31,30,0.9806874939319733
2022-06-30,2022-08-31,10,0.9014573008637766
2022-09-30,2022-11-30,19,0.911499712836221
2022-12-31,2023-02-28,29,1.0
2023-03-31,2023-05-31,30,1.0
2023-09-30,2023-11-30,1,1.0
2023-12-31,2024-02-29,2,1.0
2024-03-31,2024-05-31,1,1.0
2024-06-30,2024-08-31,1,1.0
2024-09-30,2024-11-30,1,1.0
