ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
TCOM,0.11728479323645456,0.09415978384629008,35,0.07213456435968096,2015-01-31,2017-11-30,Ctrip Com Intl Ltd,0.2044833448010367,0.2044833448010367,1
AMZN,0.05022413318327574,0.05062999142543521,15,0.07735696821280826,2015-03-31,2016-05-31,Amazon Com Inc,0.10995129312129054,0.31443463792232723,2
AVGO,0.06544880673493648,0.0472416726893226,29,0.06512561247423478,2015-01-31,2017-05-31,Broadcom Corp,0.10259300574944005,0.41702764367176726,3
EXPE,0.0618537054014859,0.04538946841503967,29,0.12453873543622754,2015-01-31,2017-05-31,Expedia Inc Del,0.09857064174445862,0.5155982854162259,4
AMH,0.04017839914007281,0.023473266237263816,15,0.0825103288491201,2015-12-31,2017-02-28,American Homes 4 Rent,0.0509760302916208,0.5665743157078467,5
BHC,0.018665890345280753,0.018668837311065244,9,0.05331784256469998,2015-03-31,2016-08-31,Valeant Pharmaceuticals Intl,0.040542428422996234,0.6071167441308429,6
BIDU,0.026977912512052647,0.015548703489000426,12,0.0576330862344846,2016-12-31,2017-11-30,Baidu Inc,0.03376654838057625,0.6408832925114192,7
CPAY,0.020488338264508334,0.013692326755464232,3,0.08322123924616745,2017-09-30,2017-11-30,Fleetcor Technologies Inc,0.029735123199057422,0.6706184157104766,8
BMRN,0.015142327009971156,0.012873951817309343,8,0.027034297401159636,2015-01-31,2016-08-31,Biomarin Pharmaceutical Inc,0.027957888398599175,0.6985763041090758,9
AAPL,0.01987071486310704,0.011938970619829636,11,0.046199895336474235,2015-01-31,2017-02-28,Apple Inc,0.02592742406683274,0.7245037281759086,10
BURL,0.007955877345069376,0.011195710218576915,3,0.04670544317711058,2015-12-31,2016-02-29,Burlington Stores Inc,0.024313312747775106,0.7488170409236837,11
POST,0.04904474096403203,0.00943426356191839,30,0.09821731545667284,2015-06-30,2017-11-30,Post Hldgs Inc,0.020488043728146513,0.7693050846518302,12
SRPT,0.01660121402080334,0.009265296153377399,15,0.02581524453770657,2016-06-30,2017-11-30,Sarepta Therapeutics Inc,0.020121103411915246,0.7894261880637454,13
GOOG,0.012813183343641631,0.008436211817088294,6,0.07972507987706272,2017-03-31,2017-08-31,Alphabet Inc,0.018320611404804257,0.8077467994685497,14
PBYI,0.0077554287533610515,0.006773901495717742,12,0.007208147313357721,2016-09-30,2017-11-30,Puma Biotechnology Inc,0.014710633123991441,0.8224574325925411,15
INSM,0.0069956328934575015,0.006698167983879833,17,0.013176918423596938,2015-01-31,2016-05-31,Insmed Inc,0.014546165437453155,0.8370035980299942,16
SPB,0.03173733545713009,0.006425000855501146,32,0.08845394224886555,2015-01-31,2017-11-30,Spectrum Brands Hldgs Inc,0.013952938416119364,0.8509565364461136,17
CI,0.0075089851962388925,0.004669496285101431,6,0.027324294912689742,2017-06-30,2017-11-30,Cigna Corporation,0.010140573607011063,0.8610971100531246,18
CENT,0.005347031743930312,0.004382636345481998,11,0.012929748217184879,2015-01-31,2015-11-30,Central Garden & Pet Co,0.00951761041033932,0.8706147204634639,19
PFE,0.017900336134892704,0.004330430588346975,6,0.09227949644217509,2016-03-31,2016-08-31,Pfizer Inc,0.009404237084692497,0.8800189575481564,20
ZBRA,0.005234116573998668,0.004157987415724472,2,0.030837191538780666,2015-01-31,2015-02-28,Zebra Technologies Corp,0.009029748579243987,0.8890487061274004,21
NKE,0.0024851079247405947,0.0040752787057880754,3,0.02608847082263722,2015-06-30,2015-08-31,Nike Inc,0.008850133111141576,0.897898839238542,22
SCI,0.010101025933612024,0.0038168342967981393,12,0.03381576955833392,2016-12-31,2017-11-30,Service Corp Intl,0.008288878878850011,0.906187718117392,23
JAZZ,0.005769151848342435,0.00380504752238626,9,0.02237901919100412,2016-12-31,2017-08-31,Jazz Pharmaceuticals Plc,0.008263281973698966,0.9144510000910909,24
SYF,0.024962895962560638,0.003704355708132339,15,0.0918004310057871,2016-09-30,2017-11-30,Synchrony Finl,0.008044613258333838,0.9224956133494248,25
INCY,0.0046822894438493,0.0034444746932502657,3,0.016331121539104956,2016-12-31,2017-02-28,Incyte Corp,0.0074802392017820065,0.9299758525512067,26
DLTR,0.004022360273742314,0.0030563409818173074,2,0.030284982503160092,2015-01-31,2015-02-28,Dollar Tree Inc,0.006637343473883851,0.9366131960250906,27
STZ,0.0020847300053153874,0.0029604837312570426,6,0.018045967143661495,2015-03-31,2015-08-31,Constellation Brands Inc,0.006429173802955212,0.9430423698280458,28
