ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
FERG,0.16099795819043036,0.06408103868906251,60,0.20630075575840792,2021-06-30,2026-05-31,Ferguson Plc New,0.35906547022050717,0.35906547022050717,1
IVZ,0.10525500950685376,0.03692539074225416,66,0.13593545195856147,2020-12-31,2026-05-31,Invesco Ltd.,0.20690414920203948,0.5659696194225466,2
SYY,0.21309477091068058,0.023490961457205636,102,0.17966630967409605,2015-09-30,2024-08-31,Sysco Corp.,0.13162697256658265,0.6975965919891293,3
PEP,0.027117052700402145,0.02337301227544936,11,0.2270795763414765,2015-07-31,2016-05-31,Pepsico Inc.,0.1309660675738446,0.8285626595629738,4
GE,0.2889403251854419,0.02191567494048402,126,0.15312972876650932,2015-12-31,2026-05-31,General Electric Co.,0.12280016505175353,0.9513628246147273,5
ALL,0.03265952608710788,0.006503308247111722,24,0.04956216489425961,2023-12-31,2025-11-30,The Allstate Corporation,0.03644000599098646,0.9878028306057138,6
PPG,0.010390636795322738,0.0014791525614920292,12,0.062129768339921766,2018-12-31,2019-11-30,Ppg Inds Inc.,0.008288139844254031,0.9960909704499679,7
ALLE,-0.00011900327859892053,0.0006976295261097334,2,0.018161031316437017,2015-07-31,2015-08-31,Allegion Pub Ltd Co,0.003909029550032184,1.0,8
LAZ,0.0,0.0,0,,,,Lazard Ltd,,,9
CC,-0.0005431799508609771,-0.0003170654889128704,3,0.0026820905897774385,2015-12-31,2016-02-29,Chemours Co.,,,10
RTO,-0.0009595962895740563,-0.001277230666921449,3,0.003837115588533417,2024-09-30,2024-11-30,Rentokil Initial Plc,,,11
PG,0.26524433880982257,-0.003861075476829852,72,0.2447918529066622,2017-03-31,2023-02-28,Procter And Gamble Co.,,,12
UHAL,-0.003852932158546531,-0.006323690440741137,15,0.012496324250729643,2024-09-30,2025-11-30,U-Haul Holding Company,,,13
CCZ,0.00998021631583268,-0.0064644666817372555,18,0.14999673527446739,2020-12-31,2022-05-31,Comcast Class A Ord,,,14
NVT,0.003575090007277964,-0.009813887586629825,30,0.03792014991281091,2018-09-30,2021-02-28,Nvent Electric Plc,,,15
UHAL-B,-0.006512189973559264,-0.010373830852994054,15,0.02139387959936989,2024-09-30,2025-11-30,U-Haul Holding Company - B,,,16
GEHC,-0.0009958524108207322,-0.011691018721368273,36,0.013245888188756959,2023-06-30,2026-05-31,Ge Healthcare Technologies Inc.,,,17
PNR,0.013430716850630738,-0.025863202134107217,45,0.07607154146322165,2015-09-30,2019-05-31,Pentair Plc,,,18
BNY,0.03663925477249551,-0.03219077517048948,65,0.10246837979819064,2015-07-31,2020-11-30,Bank New York Mellon Corp.,,,19
SOLV,0.03482677869687488,-0.03802635573444603,21,0.21028801198746486,2024-09-30,2026-05-31,Solventum Corporation,,,20
MDLZ,0.07872158537789439,-0.0565461927432679,101,0.11624905592229483,2015-07-31,2023-11-30,Mondelez Intl Inc.,,,21
DIS,-0.0016943813699034985,-0.15335400829343213,21,0.3167002753640956,2023-03-31,2024-11-30,The Walt Disney Company,,,22
WEN,-0.06707851944987481,-0.22414576312196144,131,0.0931432389772068,2015-07-31,2026-05-31,Wendys Co.,,,23
