period,rebalance,n,priced_share
2013-06-30,2013-08-31,5,0.5892849055392578
2013-09-30,2013-11-30,4,0.5873872936727689
2013-12-31,2014-02-28,5,0.6224772623586452
2014-03-31,2014-05-31,5,0.6130082115568634
2014-06-30,2014-08-31,6,0.6517624453588157
2014-09-30,2014-11-30,6,0.6675919447441002
2014-12-31,2015-01-31,6,0.5798882692225932
2015-03-31,2015-05-31,5,0.6434859322546908
2015-06-30,2015-08-31,6,0.7085052764023008
2015-09-30,2015-11-30,8,0.8422586140349351
2015-12-31,2016-02-29,7,0.8555470640775689
2016-03-31,2016-05-31,6,0.8381214528457979
2016-06-30,2016-08-31,6,0.8812317596954943
2016-09-30,2016-11-30,6,0.8858236665256908
2016-12-31,2017-02-28,7,0.9018612595884299
2017-03-31,2017-05-31,7,0.9434217979164993
2017-06-30,2017-08-31,7,0.9428725384739403
2017-09-30,2017-11-30,7,0.933206850323509
2017-12-31,2018-02-28,7,1.0
2018-03-31,2018-05-31,7,1.0
2018-06-30,2018-08-31,8,1.0
2018-09-30,2018-11-30,9,1.0000000000000002
2018-12-31,2019-02-28,9,1.0
2019-03-31,2019-05-31,8,1.0
2019-06-30,2019-08-31,8,0.98433344337703
2019-09-30,2019-11-30,7,0.9845257451216671
2019-12-31,2020-02-29,7,0.9853031091401667
2020-03-31,2020-05-31,7,0.9726733407810408
2020-06-30,2020-08-31,7,1.0
2020-09-30,2020-11-30,8,0.9365893117711314
2020-12-31,2021-02-28,7,0.9212563781003287
2021-03-31,2021-05-31,7,0.7528753063676583
2021-06-30,2021-08-31,7,0.6908091146655905
2021-09-30,2021-11-30,7,0.657692735164612
2021-12-31,2022-02-28,7,0.5699507295385211
2022-03-31,2022-05-31,6,0.5522271434881071
2022-06-30,2022-08-31,6,0.5232386556195414
2022-09-30,2022-11-30,6,0.5255281752724315
2022-12-31,2023-02-28,6,0.438511592251531
2023-03-31,2023-05-31,6,0.5646419993462589
2023-06-30,2023-08-31,6,0.5534961316516505
2023-09-30,2023-11-30,7,0.739378949188609
2023-12-31,2024-02-29,7,0.7474108635196873
2024-03-31,2024-05-31,7,0.801429890569264
2024-06-30,2024-08-31,10,0.645681034732196
2024-09-30,2024-11-30,8,0.6233485769120373
2024-12-31,2025-02-28,8,0.595390049283181
2025-03-31,2025-05-31,8,0.6483537947345602
2025-06-30,2025-08-31,8,0.6111986321732521
2025-09-30,2025-11-30,5,0.5952495846169956
2025-12-31,2026-02-28,5,0.5587867289933829
2026-03-31,2026-05-31,6,0.51021731614594
2026-06-30,2026-08-31,6,0.6237559351962053
