statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
TRIAN_2015-09,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2015-09-01,2015-09-30,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
TRIAN_2015-10,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2015-10-01,2015-10-31,1083966.5,,,,,,,,hedge13f,,priced coverage 71%
TRIAN_2015-11,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2015-11-01,2015-11-30,1086325.96,,,,,,,,hedge13f,,priced coverage 71%
TRIAN_2015-12,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2015-12-01,2015-12-31,1089168.78,,,,,,,,hedge13f,,priced coverage 84%
TRIAN_2016-01,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-01-01,2016-01-31,1038175.09,,,,,,,,hedge13f,,priced coverage 84%
TRIAN_2016-02,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-02-01,2016-02-29,1039388.5,,,,,,,,hedge13f,,priced coverage 84%
TRIAN_2016-03,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-03-01,2016-03-31,1102489.09,,,,,,,,hedge13f,,priced coverage 86%
TRIAN_2016-04,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-04-01,2016-04-30,1125590.41,,,,,,,,hedge13f,,priced coverage 86%
TRIAN_2016-05,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-05-01,2016-05-31,1141204.51,,,,,,,,hedge13f,,priced coverage 86%
TRIAN_2016-06,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-06-01,2016-06-30,1160786.04,,,,,,,,hedge13f,,priced coverage 84%
TRIAN_2016-07,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-07-01,2016-07-31,1167258.14,,,,,,,,hedge13f,,priced coverage 84%
TRIAN_2016-08,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-08-01,2016-08-31,1186685.08,,,,,,,,hedge13f,,priced coverage 84%
TRIAN_2016-09,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-09-01,2016-09-30,1148200.62,,,,,,,,hedge13f,,priced coverage 88%
TRIAN_2016-10,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-10-01,2016-10-31,1145725.15,,,,,,,,hedge13f,,priced coverage 88%
TRIAN_2016-11,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-11-01,2016-11-30,1196084.45,,,,,,,,hedge13f,,priced coverage 88%
TRIAN_2016-12,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2016-12-01,2016-12-31,1240761.35,,,,,,,,hedge13f,,priced coverage 89%
TRIAN_2017-01,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-01-01,2017-01-31,1206257.43,,,,,,,,hedge13f,,priced coverage 89%
TRIAN_2017-02,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-02-01,2017-02-28,1218154.97,,,,,,,,hedge13f,,priced coverage 89%
TRIAN_2017-03,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-03-01,2017-03-31,1215723.95,,,,,,,,hedge13f,,priced coverage 90%
TRIAN_2017-04,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-04-01,2017-04-30,1234779.16,,,,,,,,hedge13f,,priced coverage 90%
TRIAN_2017-05,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-05-01,2017-05-31,1250426.52,,,,,,,,hedge13f,,priced coverage 90%
TRIAN_2017-06,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-06-01,2017-06-30,1225761.07,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2017-07,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-07-01,2017-07-31,1248655.16,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2017-08,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-08-01,2017-08-31,1227120.59,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2017-09,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-09-01,2017-09-30,1242073.59,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2017-10,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-10-01,2017-10-31,1207977.24,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2017-11,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-11-01,2017-11-30,1232204.3,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2017-12,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2017-12-01,2017-12-31,1249323.33,,,,,,,,hedge13f,,priced coverage 93%
TRIAN_2018-01,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-01-01,2018-01-31,1242829.72,,,,,,,,hedge13f,,priced coverage 93%
TRIAN_2018-02,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-02-01,2018-02-28,1173681.28,,,,,,,,hedge13f,,priced coverage 93%
TRIAN_2018-03,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-03-01,2018-03-31,1162307.87,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-04,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-04-01,2018-04-30,1144593.17,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-05,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-05-01,2018-05-31,1153222.12,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-06,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-06-01,2018-06-30,1192850.74,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-07,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-07-01,2018-07-31,1217294.38,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-08,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-08-01,2018-08-31,1255951.47,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-09,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-09-01,2018-09-30,1229879.42,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-10,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-10-01,2018-10-31,1219944.87,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-11,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-11-01,2018-11-30,1226142.86,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2018-12,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2018-12-01,2018-12-31,1151111.31,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-01,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-01-01,2019-01-31,1255690.71,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-02,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-02-01,2019-02-28,1303888.85,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-03,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-03-01,2019-03-31,1332376.67,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-04,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-04-01,2019-04-30,1369262.28,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-05,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-05-01,2019-05-31,1299721.04,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-06,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-06-01,2019-06-30,1383685.31,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-07,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-07-01,2019-07-31,1426245.91,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-08,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-08-01,2019-08-31,1423206.46,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2019-09,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-09-01,2019-09-30,1479852.3,,,,,,,,hedge13f,,priced coverage 98%
TRIAN_2019-10,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-10-01,2019-10-31,1508428.17,,,,,,,,hedge13f,,priced coverage 98%
TRIAN_2019-11,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-11-01,2019-11-30,1527639.75,,,,,,,,hedge13f,,priced coverage 98%
TRIAN_2019-12,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2019-12-01,2019-12-31,1579187.13,,,,,,,,hedge13f,,priced coverage 98%
TRIAN_2020-01,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-01-01,2020-01-31,1576122.28,,,,,,,,hedge13f,,priced coverage 98%
TRIAN_2020-02,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-02-01,2020-02-29,1398809.53,,,,,,,,hedge13f,,priced coverage 98%
TRIAN_2020-03,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-03-01,2020-03-31,1201562.8,,,,,,,,hedge13f,,priced coverage 99%
TRIAN_2020-04,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-04-01,2020-04-30,1328686.25,,,,,,,,hedge13f,,priced coverage 99%
TRIAN_2020-05,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-05-01,2020-05-31,1318146.67,,,,,,,,hedge13f,,priced coverage 99%
TRIAN_2020-06,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-06-01,2020-06-30,1344659.08,,,,,,,,hedge13f,,priced coverage 97%
TRIAN_2020-07,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-07-01,2020-07-31,1411937.77,,,,,,,,hedge13f,,priced coverage 97%
TRIAN_2020-08,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-08-01,2020-08-31,1490984.47,,,,,,,,hedge13f,,priced coverage 97%
TRIAN_2020-09,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-09-01,2020-09-30,1504918.12,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2020-10,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-10-01,2020-10-31,1460537.02,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2020-11,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-11-01,2020-11-30,1676533.44,,,,,,,,hedge13f,,priced coverage 100%
TRIAN_2020-12,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2020-12-01,2020-12-31,1709047.46,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2021-01,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-01-01,2021-01-31,1691912.48,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2021-02,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-02-01,2021-02-28,1729534.99,,,,,,,,hedge13f,,priced coverage 94%
TRIAN_2021-03,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-03-01,2021-03-31,1831696.35,,,,,,,,hedge13f,,priced coverage 92%
TRIAN_2021-04,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-04-01,2021-04-30,1882930.62,,,,,,,,hedge13f,,priced coverage 92%
TRIAN_2021-05,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-05-01,2021-05-31,1930454.16,,,,,,,,hedge13f,,priced coverage 92%
TRIAN_2021-06,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-06-01,2021-06-30,1870040.89,,,,,,,,hedge13f,,priced coverage 75%
TRIAN_2021-07,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-07-01,2021-07-31,1829714.5,,,,,,,,hedge13f,,priced coverage 75%
TRIAN_2021-08,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-08-01,2021-08-31,1874747.01,,,,,,,,hedge13f,,priced coverage 75%
TRIAN_2021-09,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-09-01,2021-09-30,1837085.32,,,,,,,,hedge13f,,priced coverage 69%
TRIAN_2021-10,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-10-01,2021-10-31,1881186.83,,,,,,,,hedge13f,,priced coverage 69%
TRIAN_2021-11,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-11-01,2021-11-30,1770577.71,,,,,,,,hedge13f,,priced coverage 69%
TRIAN_2021-12,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2021-12-01,2021-12-31,1905980.66,,,,,,,,hedge13f,,priced coverage 66%
TRIAN_2022-01,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2022-01-01,2022-01-31,1886960.6,,,,,,,,hedge13f,,priced coverage 66%
TRIAN_2022-02,TRIAN,SEC 13F clone (EDGAR + Yahoo Finance),2022-02-01,2022-02-28,1903561.37,,,,,,,,hedge13f,,priced coverage 66%
