ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
GOOG,0.27846969177268616,126,0.12204117250898952,Alphabet Inc-Cl A,0.18331558651967556,0.18331558651967556,1
BRK-B,0.2408089839527792,155,0.139201036816514,Berkshire Hathaway Inc Del-A,0.1585236793688323,0.3418392658885079,2
JNJ,0.14186583913896145,155,0.0985422151134062,Johnson & Johnson,0.09338976656064046,0.43522903244914835,3
CSCO,0.11997212301326815,155,0.06838366586758855,Cisco Systems Inc,0.07897721276662499,0.5142062452157733,4
IONS,0.08496248995425078,51,0.09722675032737527,Ionis Pharmaceuticals Inc.,0.0559304985005309,0.5701367437163042,5
KOF,0.07821615996615727,155,0.04109532809224845,Coca Cola Femsa,0.051489413976215204,0.6216261576925194,6
AZO,0.0687372420429962,105,0.03436199679015833,"Autozone, Inc.",0.04524947674069529,0.6668756344332146,7
BNY,0.05689506851471077,155,0.04259385003765483,Bank Of New York Mellon Corp,0.03745381692512915,0.7043294513583438,8
ALV,0.04049685217874021,75,0.038641402970703946,Autoliv Inc.,0.026658930679631397,0.7309883820379752,9
WFC,0.0404772189465362,155,0.048378786137631344,Wells Fargo & Company,0.026646006194191548,0.7576343882321668,10
BAX,0.026883368744158764,142,0.016432513720719827,Baxter International Inc,0.017697223987244548,0.7753316122194114,11
MMM,0.02583620081856041,107,0.033127606974993104,3M Co,0.01700787714578522,0.7923394893651966,12
AXP,0.024689839287337034,149,0.010978197935563105,American Express Company,0.01625323151407551,0.8085927208792721,13
FDX,0.023081668454258127,48,0.02344977170107944,Fedex Corp.,0.015194578496531535,0.8237872993758036,14
UNP,0.022271722268958644,155,0.011455212683118877,Union Pacific,0.014661393864974758,0.8384486932407784,15
MA,0.018574570746184696,74,0.010653744146004476,Mastercard Inc.,0.01222757244787541,0.8506762656886538,16
EMR,0.015452594173071307,152,0.016933297723530666,Emerson Electric Company,0.010172386610746176,0.8608486522994,17
NVST,0.014843266687151836,27,0.025320431166025708,Envista Holdings Corp,0.00977126854021997,0.8706199208396199,18
BAC,0.013018771280219504,69,0.016602636459714316,Bank Of America Corp Com,0.008570209841533035,0.8791901306811529,19
PM,0.011515498064740875,59,0.04211203999229662,Philip Morris International,0.007580610544602247,0.8867707412257552,20
TFC,0.010929102390750898,69,0.017272849645665448,Truist Financial Corp,0.007194588402566692,0.8939653296283219,21
USB,0.01065654241524397,155,0.010459854476668223,Us Bancorp,0.007015163160797017,0.9009804927891188,22
PSX,0.009997956652833878,155,0.006628724412018292,Phillips 66,0.006581618545793585,0.9075621113349124,23
NVS,0.009094760204620017,155,0.005763617238419698,Novartis Ag Adr,0.005987047604902949,0.9135491589398154,24
CSL,0.008799303134190348,45,0.006198185335852141,Carlisle Cos Inc,0.005792549288722054,0.9193417082285374,25
TTE,0.007699769635082768,143,0.005430272110237274,Total Sa - Spon Adr,0.005068730380445777,0.9244104386089832,26
VRTX,0.007603269077072308,33,0.01518037479935017,Vertex Pharmaceuticals,0.005005204413657248,0.9294156430226405,27
LMT,0.007239252993243942,41,0.008612124984090534,Lockheed Martin Corp Com,0.004765573948004765,0.9341812169706453,28
MS,0.006726309417732243,30,0.007337159375677851,Morgan Stanley,0.0044279050555739745,0.9386091220262193,29
AGCO,0.006467674698118372,70,0.009886674456325642,Agco Corp.,0.004257646759173551,0.9428667687853928,30
GS,0.006170404330234197,27,0.00751501874523309,Goldman Sachs,0.004061954755865375,0.9469287235412581,31
