period,rebalance,n,priced_share
2013-06-30,2013-08-31,36,0.8648747857289215
2013-09-30,2013-11-30,35,0.8627393500169419
2013-12-31,2014-02-28,35,0.8546522666581146
2014-03-31,2014-05-31,33,0.8570929804626201
2014-06-30,2014-08-31,34,0.8629377461202257
2014-09-30,2014-11-30,34,0.8600958095905801
2014-12-31,2015-02-28,34,0.8731143564146058
2015-03-31,2015-05-31,33,0.8905143886144486
2015-06-30,2015-08-31,33,0.8893710519998597
2015-09-30,2015-11-30,34,0.8435015624795233
2015-12-31,2016-02-29,35,0.9065013732524544
2016-03-31,2016-05-31,36,0.9170873365114627
2016-06-30,2016-08-31,36,0.9409998798734067
2016-09-30,2016-11-30,37,0.9421194972321515
2016-12-31,2017-02-28,36,0.9287880846518208
2017-03-31,2017-05-31,39,0.9375301644304195
2017-06-30,2017-08-31,38,0.9387695581941197
2017-09-30,2017-11-30,38,0.9281640702031158
2017-12-31,2018-02-28,37,0.9484206967595746
2018-03-31,2018-05-31,34,0.9504155716736352
2018-06-30,2018-08-31,33,0.9462723413456878
2018-09-30,2018-11-30,33,0.9493629651951183
2018-12-31,2019-02-28,35,0.9547302459995595
2019-03-31,2019-05-31,35,0.9493446847900544
2019-06-30,2019-08-31,37,0.9469832922158078
2019-09-30,2019-11-30,35,0.9532738190014188
2019-12-31,2020-02-29,33,0.9608852119121325
2020-03-31,2020-05-31,36,0.974938868213838
2020-06-30,2020-08-31,35,0.9867506542073975
2020-09-30,2020-11-30,39,0.9877016927811217
2020-12-31,2021-02-28,42,0.9884685167295221
2021-03-31,2021-05-31,40,0.9882969789625546
2021-06-30,2021-08-31,40,0.9889590467986432
2021-09-30,2021-11-30,40,0.9873195916585122
2021-12-31,2022-02-28,36,0.9866785406769455
2022-03-31,2022-05-31,38,0.9881533841659204
2022-06-30,2022-08-31,39,0.981759280233489
2022-09-30,2022-11-30,40,0.9844513287502521
2022-12-31,2023-02-28,40,0.9821651920137119
2023-03-31,2023-05-31,39,0.9823431898543978
2023-06-30,2023-08-31,40,0.9692215071011141
2023-09-30,2023-11-30,41,0.9678849170756795
2023-12-31,2024-02-29,40,0.9686351981443868
2024-03-31,2024-05-31,40,0.9674905143618381
2024-06-30,2024-08-31,39,0.9041697862782878
2024-09-30,2024-11-30,39,0.9055938717932331
2024-12-31,2025-02-28,39,0.8753610268681196
2025-03-31,2025-05-31,54,0.8408600217745945
2025-06-30,2025-07-31,56,0.8237822324156217
2025-09-30,2025-11-30,55,0.855619042522591
2025-12-31,2026-02-28,56,0.8313079564449835
2026-03-31,2026-05-31,56,0.8025816609965779
2026-06-30,2026-08-31,58,0.8239614738329155
