ticker,contribution,active,months_held,avg_weight_when_held,first_held,last_held,name,share_of_outperformance,cum_share_of_outperformance,rank
AMZN,0.0833937554722626,0.05445043733735207,48,0.04279919992003775,2014-06-30,2020-08-31,Amazon Com Inc,0.12353559506928062,0.12353559506928062,1
WIX,0.04568166834487848,0.04320998178996193,12,0.03860541204582399,2019-06-30,2020-05-31,Wix Com Ltd,0.09803357097545239,0.221569166044733,2
TWLO,0.0368016071113864,0.03565390664608676,12,0.025473870607271232,2016-09-30,2020-05-31,Twilio Inc,0.08089056377601356,0.30245972982074654,3
NOW,0.03997078657140524,0.031047588171644852,21,0.040027069963193426,2018-06-30,2020-08-31,Servicenow Inc,0.0704398801516885,0.37289960997243504,4
TDG,0.045691880084863946,0.030128820010489322,39,0.04495504503695562,2017-06-30,2020-08-31,Transdigm Group Inc,0.06835540522238986,0.4412550151948249,5
PODD,0.029688336336136913,0.017561770327308355,27,0.033434466207640345,2015-12-31,2018-02-28,Insulet Corp,0.039843642290928495,0.4810986574857534,6
BABA,0.039892437298271875,0.01432343023791666,36,0.0565969549182814,2017-09-30,2020-08-31,Alibaba Group Hldg Ltd,0.03249658890545857,0.513595246391212,7
AAPL,0.018193297787710144,0.01429396840794843,8,0.03732796241927098,2014-04-30,2014-11-30,Apple Inc,0.03242974674816962,0.5460249931393817,8
ETSY,0.024425142882774663,0.014070136709140086,3,0.06206989120684764,2020-06-30,2020-08-31,Etsy Inc,0.03192192379100324,0.5779469169303849,9
META,0.044020336380360375,0.011738997481718885,39,0.0540992144534159,2016-09-30,2020-08-31,Facebook Inc,0.026633101777240042,0.6045800187076249,10
CHTR,0.013658472629398071,0.010335344064650451,20,0.02150535000484175,2014-04-30,2015-11-30,Charter Communications Inc D,0.023448533045968757,0.6280285517535936,11
NEE,0.012991561912608666,0.009886943411797128,18,0.06514118867256352,2014-12-31,2016-05-31,Nextera Energy Inc,0.022431214468038984,0.6504597662216326,12
CPAY,0.03654567828477919,0.009497913446009795,38,0.09978157859626585,2014-04-30,2017-05-31,Fleetcor Technologies Inc,0.0215485944070546,0.6720083606286872,13
TJX,0.020559598335639754,0.009008821934752663,36,0.028329409273256556,2017-03-31,2020-02-29,Tjx Cos Inc New,0.020438957573246538,0.6924473182019337,14
ADSK,0.014418872801481316,0.008902078734407362,23,0.04914829196443384,2014-04-30,2016-02-29,Autodesk Inc,0.020196781652921828,0.7126440998548556,15
NFLX,0.02894064805275834,0.008459564136328057,21,0.05305149711256222,2018-12-31,2020-08-31,Netflix Inc,0.01919281718773524,0.7318369170425908,16
SHW,0.00923321152846121,0.008377536769167748,12,0.04884590619164376,2018-09-30,2019-08-31,Sherwin Williams Co,0.019006715842922645,0.7508436328855135,17
ALLE,0.016196998513816546,0.008363083123899355,30,0.04720978755087184,2014-06-30,2016-11-30,Allegion Pub Ltd Co,0.018973923825879903,0.7698175567113934,18
ESTC,0.018653497092314463,0.008137178721912637,6,0.038608572497471405,2020-03-31,2020-08-31,Elastic N V,0.01846139837901714,0.7882789550904106,19
OPLN,0.020921011411652757,0.007524610024936493,47,0.02986477541615135,2014-04-30,2018-02-28,Kar Auction Svcs Inc,0.017071620037423352,0.8053505751278339,20
GOOG,0.036144801460927245,0.00735543941891851,48,0.04961885014284337,2016-03-31,2020-02-29,Alphabet Inc,0.01668781060439376,0.8220383857322276,21
AVGO,0.023054114177754652,0.006578213267036055,30,0.05300449277135925,2017-06-30,2019-11-30,Broadcom Ltd,0.014924462137946432,0.836962847870174,22
DPZ,0.012170302447445444,0.006339484955705377,9,0.03274098387529433,2019-12-31,2020-08-31,Dominos Pizza Inc,0.014382842172299449,0.8513456900424735,23
NXPI,0.019549654360719843,0.006060224300865265,33,0.050135600808132716,2014-06-30,2017-02-28,Nxp Semiconductors N V,0.013749263584833362,0.8650949536273069,24
VICI,0.0077281211230542405,0.005918372618504003,12,0.03886793917943438,2018-06-30,2019-05-31,Vici Pptys Inc,0.013427434544535533,0.8785223881718425,25
RYAAY,0.007414373254640869,0.004905696577672194,12,0.01410967646603562,2016-12-31,2017-11-30,Ryanair Hldgs Plc,0.011129904103384363,0.8896522922752268,26
IQV,0.010758076452714125,0.004522340598923282,12,0.03786877835048072,2017-03-31,2018-02-28,Quintiles Ims Holdings Inc,0.010260157021929308,0.8999124492971561,27
JD,0.016793816391809047,0.004373596317064493,21,0.03268537841984244,2016-03-31,2017-11-30,Jd Com Inc,0.009922690249004542,0.9098351395461606,28
CDNS,0.005071052622844152,0.004271118693176702,15,0.031037584221732296,2014-09-30,2015-11-30,Cadence Design System Inc,0.009690191946560608,0.9195253314927212,29
AON,0.006925448214426921,0.004106759635929456,6,0.046442572420321286,2014-09-30,2015-02-28,Aon Plc,0.009317298817782448,0.9288426303105036,30
TNL,0.009441230541216735,0.00397440636534162,11,0.041933342752653896,2014-04-30,2015-02-28,Wyndham Worldwide Corp,0.00901701950248266,0.9378596498129863,31
ALGN,0.016492406938808123,0.003792171101568073,9,0.04439709751324961,2019-12-31,2020-08-31,Align Technology Inc,0.008603569347557474,0.9464632191605438,32
FIVN,0.0020714740361689465,0.003598917464340414,3,0.029174072685853033,2019-12-31,2020-02-29,Five9 Inc,0.008165121022040632,0.9546283401825844,33
UBER,0.0077681713618504905,0.002520811567905089,9,0.06372693451728856,2019-09-30,2020-05-31,Uber Technologies Inc,0.005719145195644913,0.9603474853782292,34
AAL,0.006244232558339316,0.002469575017538142,12,0.02869542340797837,2014-06-30,2015-05-31,American Airls Group Inc,0.00560290117542405,0.9659503865536533,35
CNDT,0.00978138992589858,0.0023753499221286075,15,0.0406850796512313,2017-03-31,2018-05-31,Conduent Inc,0.005389125973587578,0.9713395125272408,36
MSFT,0.008320318264511555,0.002198738995848336,3,0.0382585438652934,2020-06-30,2020-08-31,Microsoft Corp,0.00498843615472356,0.9763279486819644,37
GPRO,0.0017095800285152661,0.002010762351491224,6,0.00739756667085711,2015-03-31,2015-08-31,Gopro Inc,0.0045619601197211266,0.9808899088016855,38
AMBA,0.0021736498587148516,0.001970306739751383,6,0.002488580227278191,2014-06-30,2014-11-30,Ambarella Inc,0.004470175584746517,0.985360084386432,39
APD,0.03428839151643123,0.001244893373191839,45,0.060068817656501655,2014-12-31,2020-08-31,Air Prods & Chems Inc,0.002824378483909099,0.9881844628703411,40
MTN,0.004335341501341686,0.00090394762437101,12,0.02381561361196058,2017-06-30,2018-05-31,Vail Resorts Inc,0.0020508505192763943,0.9902353133896176,41
AIG,0.003250439678886873,0.0007433781648455725,8,0.025365750459799944,2014-04-30,2014-11-30,American Intl Group Inc,0.0016865551214353838,0.9919218685110529,42
CSX,0.009901295322836335,0.0006000455754690149,27,0.036918104788579355,2018-03-31,2020-05-31,Csx Corp,0.0013613662416519076,0.9932832347527049,43
LEA,0.0009342563236350849,0.0005995547054109239,2,0.017886190745098427,2014-04-30,2014-05-31,Lear Corp,0.0013602525697019054,0.9946434873224068,44
NFG,0.0007560666600937802,0.0005436017471576947,2,0.010974553682745625,2014-04-30,2014-05-31,National Fuel Gas Co N J,0.0012333080981474472,0.9958767954205543,45
TTWO,0.003522759139991522,0.0005340802066232655,15,0.0434057050231345,2018-09-30,2019-11-30,Take-Two Interactive Softwar,0.0012117058992778692,0.9970885013198322,46
HE,0.0005803745528087308,0.00045546674788247114,3,0.0036329571719659385,2014-12-31,2015-02-28,Hawaiian Elec Industries,0.0010333499322572625,0.9981218512520894,47
MPC,0.002531863345910313,0.0004495247533788517,6,0.03748332425773892,2017-03-31,2017-08-31,Marathon Pete Corp,0.0010198689050553106,0.9991417201571448,48
MDLZ,0.0012943528566330118,0.00026651571058320875,5,0.015950414357329003,2014-04-30,2014-08-31,Mondelez Intl Inc,0.0006046632224131548,0.9997463833795579,49
QCOM,0.0004918366798947082,3.6640964348391636e-05,2,0.024238476475578523,2014-04-30,2014-05-31,Qualcomm Inc,8.312997206334247e-05,0.9998295133516213,50
ADT,4.4307250509795085e-05,3.0321256479641084e-05,6,0.0003352418186374601,2019-12-31,2020-05-31,The Adt Corporation,6.879199958034531e-05,0.9998983053512016,51
IQ,6.768378592621047e-05,2.2419148205994965e-05,3,0.0005630904049006192,2018-06-30,2018-08-31,Iqiyi Inc,5.086392231186195e-05,0.9999491692735135,52
YETI,-5.518794715569239e-05,2.240451657526879e-05,3,0.0014025458201632499,2019-12-31,2020-02-29,Yeti Hldgs Inc,5.083072648650259e-05,1.0,53
VMI,1.8827487934570387e-06,-1.0346382099737483e-05,3,0.001386352233887839,2015-03-31,2015-05-31,Valmont Inds Inc,,,54
CRM,0.005390084312006822,-4.8669694661100226e-05,12,0.04003524783018838,2018-12-31,2019-11-30,Salesforce Com Inc,,,55
REAL,-0.00010227985149302676,-7.427507635246908e-05,6,0.00101399711410959,2019-12-31,2020-05-31,The Realreal Inc,,,56
DHI,0.0006797025265042379,-0.00022135022498036164,3,0.011829113078345986,2018-06-30,2018-08-31,D R Horton Inc,,,57
SDCCQ,0.00011343420997257452,-0.0003273648557893141,3,0.0027769175019573514,2020-06-30,2020-08-31,Smiledirectclub Inc,,,58
TNET,0.0011009633557703758,-0.00044921730661132055,9,0.0223068769593429,2014-09-30,2015-05-31,Trinet Group Inc,,,59
QSR,0.021125927080384868,-0.00048537627790698566,21,0.06533183360331078,2016-06-30,2018-02-28,Restaurant Brands Intl Inc,,,60
CALM,-0.00021427660401611708,-0.0005208965919922548,6,0.0022596341679638637,2016-03-31,2016-08-31,Cal Maine Foods Inc,,,61
ALSN,0.0039217340565977634,-0.0005448674037282831,9,0.030264609886867317,2016-12-31,2017-08-31,Allison Transmission Hldgs I,,,62
LNN,0.00013627794008035836,-0.000576652564596425,12,0.005421481323545397,2014-06-30,2015-05-31,Lindsay Corp,,,63
MS,-0.00015602921591546072,-0.0005927010684418189,2,0.02328740314247133,2014-04-30,2014-05-31,Morgan Stanley,,,64
TMO,0.007004156931778641,-0.0006867352797253274,17,0.031895061574701906,2014-04-30,2020-08-31,Thermo Fisher Scientific Inc,,,65
IPGP,-0.0003187466089987634,-0.0007866523125775805,5,0.00720278731609081,2014-04-30,2014-08-31,Ipg Photonics Corp,,,66
CRON,-0.0003840497898782017,-0.0008150751299173566,9,0.0020898298669144956,2019-12-31,2020-08-31,Cronos Group Inc,,,67
APTV,0.0014562746159528547,-0.0008368813723909752,5,0.03671933993505379,2014-04-30,2014-08-31,Delphi Automotive Plc,,,68
RGR,-0.0006873044602733489,-0.000874005697421635,8,0.002015931282038641,2014-04-30,2014-11-30,Sturm Ruger & Co Inc,,,69
SSNC,0.02179918323601774,-0.000956035016477199,48,0.043335186422366834,2015-09-30,2020-02-29,Ss&C Technologies Hldgs Inc,,,70
