period,rebalance,n,priced_share
2013-06-30,2013-08-31,20,0.5703757853640181
2013-09-30,2013-11-30,20,0.5917937206201854
2013-12-31,2014-02-28,24,0.6592100744289597
2014-03-31,2014-05-31,28,0.680511691698978
2014-06-30,2014-08-31,27,0.6995238175437357
2014-09-30,2014-11-30,25,0.6982084633747188
2014-12-31,2015-02-28,26,0.6703253831148595
2015-03-31,2015-05-31,22,0.6802912483350092
2015-06-30,2015-08-31,21,0.6251720579712915
2015-09-30,2015-11-30,20,0.6444007848158955
2015-12-31,2016-02-29,21,0.6729001575221346
2016-03-31,2016-05-31,20,0.6919755647992027
2016-06-30,2016-08-31,19,0.732559807855872
2016-09-30,2016-11-30,22,0.7771035460846427
2016-12-31,2017-02-28,27,0.8637282700956256
2017-03-31,2017-05-31,29,0.8960175767893257
2017-06-30,2017-08-31,28,0.8419560795884014
2017-09-30,2017-11-30,26,0.8200283392633012
2017-12-31,2018-02-28,23,0.7536927428376553
2018-03-31,2018-05-31,25,0.7601306868856003
2018-06-30,2018-08-31,24,0.7818116356993751
2018-09-30,2018-11-30,25,0.7978305293810724
2018-12-31,2019-02-28,25,0.8312640708870054
2019-03-31,2019-05-31,21,0.8980190190924039
2019-06-30,2019-08-31,22,0.8799615896316042
2019-09-30,2019-11-30,28,0.8601330967603525
2019-12-31,2020-02-29,27,0.875936717175058
2020-03-31,2020-05-31,24,0.9375779312914737
2020-06-30,2020-08-31,1,1.0
2020-09-30,2020-11-30,1,1.0
2020-12-31,2021-02-28,1,1.0
2021-03-31,2021-05-31,1,1.0
2021-06-30,2021-08-31,1,1.0
2021-09-30,2021-11-30,1,1.0
2022-12-31,2023-02-28,1,1.0
2023-03-31,2023-05-31,1,1.0
2023-06-30,2023-08-31,1,1.0
2023-09-30,2023-11-30,1,1.0
2023-12-31,2024-02-29,1,1.0
2024-03-31,2024-05-31,1,1.0
2024-06-30,2024-08-31,1,1.0
2024-09-30,2024-11-30,1,1.0
2024-12-31,2025-02-28,1,1.0
2025-03-31,2025-05-31,1,1.0
2025-06-30,2025-08-31,1,1.0
2025-09-30,2025-11-30,1,1.0
