statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
VALINOR_2016-09,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-09-01,2016-09-30,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
VALINOR_2016-10,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-10-01,2016-10-31,962202.94,,,,,,,,hedge13f,,priced coverage 66%
VALINOR_2016-11,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-11-01,2016-11-30,958724.0,,,,,,,,hedge13f,,priced coverage 66%
VALINOR_2016-12,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-12-01,2016-12-31,957611.92,,,,,,,,hedge13f,,priced coverage 71%
VALINOR_2017-01,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-01-01,2017-01-31,1007336.17,,,,,,,,hedge13f,,priced coverage 71%
VALINOR_2017-02,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-02-01,2017-02-28,1045940.19,,,,,,,,hedge13f,,priced coverage 71%
VALINOR_2017-03,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-03-01,2017-03-31,1051766.03,,,,,,,,hedge13f,,priced coverage 80%
VALINOR_2017-04,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-04-01,2017-04-30,1074837.62,,,,,,,,hedge13f,,priced coverage 80%
VALINOR_2017-05,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-05-01,2017-05-31,1087546.28,,,,,,,,hedge13f,,priced coverage 80%
VALINOR_2017-06,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-06-01,2017-06-30,1101475.4,,,,,,,,hedge13f,,priced coverage 85%
VALINOR_2017-07,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-07-01,2017-07-31,1122283.05,,,,,,,,hedge13f,,priced coverage 85%
VALINOR_2017-08,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-08-01,2017-08-31,1134507.27,,,,,,,,hedge13f,,priced coverage 85%
