ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
KKR,0.39390385050363497,90,0.15786833779562112,Kkr & Co Lp,0.17187404300588915,0.17187404300588915,1
MSFT,0.31981494979165803,56,0.2705070911209512,Microsoft Corp,0.13954646131064025,0.3114205043165294,2
STX,0.21444758649247941,60,0.13795073303551805,Seagate Technology Plc,0.09357099113449112,0.40499149545102053,3
CBRE,0.17372373659310286,143,0.09709758140232544,Cbre Group Inc,0.0758017494273547,0.4807932448783752,4
FISV,0.15328391433550195,42,0.17954911568864892,Fiserv Inc,0.0668831392506735,0.5476763841290487,5
ADBE,0.13086147374212337,35,0.1482591072314911,Adobe Systems Inc,0.05709944327025611,0.6047758273993048,6
MS,0.11955272778929255,57,0.10168377308686313,Morgan Stanley,0.05216504142129123,0.656940868820596,7
CRM,0.06981938235827452,42,0.16363429766189608,Salesforce Inc,0.03046464133505584,0.6874055101556519,8
SPOT,0.06977561341868486,21,0.049009736049613575,Spotify Technology S A,0.030445543414089248,0.7178510535697411,9
LKQ,0.06642464994722717,42,0.10359795518315036,Lkq Corp,0.028983400713356325,0.7468344542830975,10
RBLX,0.060350265729923205,33,0.07118476868691946,Roblox Corp,0.02633293417726045,0.7731673884603579,11
MSI,0.05839122159248626,35,0.16359356274076825,"Motorola Solutions, Inc",0.025478134621740072,0.798645523082098,12
TRN,0.049894017805652516,75,0.05394782608564723,Trinity Industries Inc,0.0217705070694306,0.8204160301515286,13
EXPE,0.04418465123522419,21,0.08404374414928617,Expedia Group Inc,0.019279310514211532,0.8396953406657401,14
MSCI,0.03703940320760884,38,0.04219422379858699,Msci Inc,0.016161588600054275,0.8558569292657944,15
NYT,0.03493970201171209,27,0.05844711470266151,New York Times Co,0.01524541544464679,0.8711023447104411,16
AWI,0.029529691159506783,60,0.04116649574108918,Armstrong World Industries,0.012884838271599627,0.8839871829820407,17
SLM,0.026617355163651234,54,0.040131676777455695,Slm Corp,0.01161408409755619,0.8956012670795969,18
WTW,0.025222199158483016,21,0.09917528753604717,Willis Towers Watson Plc,0.011005328679385954,0.9066065957589828,19
ALSN,0.022757019361425136,42,0.052276841050886425,Allison Transmission Holding,0.00992968441260602,0.9165362801715888,20
AMZN,0.022753342614859128,18,0.0959272936607874,Amazon Com Inc,0.009928080119333436,0.9264643602909223,21
TOST,0.02235091001295026,15,0.0439664312587327,Toast Inc,0.009752484683444652,0.936216844974367,22
MDB,0.01921258968825109,12,0.054746042478752865,Mongodb Inc,0.0083831256336056,0.9445999706079725,23
DIS,0.01643267773010293,30,0.11446561202024488,Disney Walt Co,0.007170152704205578,0.9517701233121781,24
V,0.016164465622709533,21,0.07736403045471596,Visa,0.007053122369970733,0.9588232456821488,25
C,0.012400700590334237,60,0.16244186196319857,Citigroup,0.005410859893451571,0.9642341055756004,26
BLK,0.010325538809902519,6,0.09981192471110888,Blackrock Inc,0.004505394144289499,0.9687394997198899,27
WIX,0.009442067605247748,3,0.015355488244122166,Wix Com Ltd,0.004119904721860261,0.9728594044417502,28
DAR,0.007939060259809784,21,0.005283308120366782,Darling Ingredients Inc,0.0034640899873820876,0.9763234944291324,29
CF,0.00765389413454866,5,0.037339767365131546,Cf Industries Holdings Inc,0.0033396620214856208,0.979663156450618,30
ILMN,0.006470482800109402,9,0.012539040514460817,Illumina Inc,0.0028232982176563085,0.9824864546682742,31
LLYVB,0.005966132890716483,6,0.07836101309738393,Liberty Live Holdings Inc,0.002603232691751491,0.9850896873600257,32
LYV,0.005840612035588733,21,0.02320964168275101,Live Nation Entertainment In,0.002548463547391061,0.9876381509074167,33
AES,0.004491464284149511,27,0.006205485661334693,Aes Corp,0.001959783141358768,0.9895979340487755,34
ACA,0.0037997198409732377,12,0.01657579833668819,Arcosa Inc,0.0016579508185125954,0.9912558848672881,35
ALRM,0.003300216575705881,3,0.009316360566254506,Alarm Com Hldgs Inc,0.0014400000531510076,0.9926958849204391,36
AOS,0.0032391033691502825,9,0.013322935793012662,Smith A O Corp,0.001413334221176187,0.9941092191416153,37
NU,0.0017055983724809938,3,0.007604528561570148,Nu Hldgs Ltd,0.000744212293552758,0.994853431435168,38
LITE,0.0016394657083380708,6,0.012058200741032664,Lumentum Holdings Inc,0.0007153562964700642,0.995568787731638,39
