ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
BRK-B,0.15414637122883584,78,0.15606450505419273,Berkshire Hathaway Inc Del,0.07496774776627368,0.07496774776627368,1
NVDA,0.07455464837207805,57,0.023312895839501867,Nvidia Corp,0.0362590051871141,0.11122675295338778,2
INTC,0.06543886427245792,54,0.02278200018849886,Intel Corp,0.03182562282706092,0.14305237578044872,3
GEV,0.04692388017915921,24,0.02865582384312952,Ge Vernova Inc,0.022821021250404847,0.16587339703085358,4
XLF,0.041778821038030885,30,0.056199301743786734,Select Sector Spdr Tr,0.020318766459326676,0.18619216349018025,5
XLE,0.04145010244062575,31,0.025385944192000208,Select Sector Spdr Tr,0.02015889702678734,0.20635106051696758,6
XLK,0.04052190082149613,34,0.047791907008555345,Select Sector Spdr Tr,0.01970747423749667,0.22605853475446425,7
MSFT,0.03176633844538465,69,0.017952802345044542,Microsoft Corp,0.015449282581529795,0.24150781733599405,8
AAPL,0.03018094557541208,68,0.02719221180007043,Apple Inc,0.014678240539871153,0.2561860578758652,9
CEG,0.0287164901784143,24,0.02106809177665805,Constellation Energy Corp,0.013966015386973426,0.27015207326283863,10
XLC,0.02699506340712651,26,0.05341664419139289,Select Sector Spdr Tr,0.013128814439852636,0.2832808877026913,11
WMT,0.02325538962393045,47,0.016109609763233133,Wal-Mart Stores Inc,0.011310056601625023,0.2945909443043163,12
XLV,0.021597537854504193,39,0.04708031616618898,Select Sector Spdr Tr,0.010503774804048925,0.3050947191083652,13
GLW,0.018366416761182894,51,0.0241913426180325,Corning Inc,0.008932347146067937,0.31402706625443316,14
LRCX,0.01795564410575036,24,0.016964921625920875,Lam Research Corp,0.008732571435642468,0.32275963769007565,15
AMZN,0.01737808556488079,61,0.018253515027669674,Amazon Com Inc,0.008451680859581555,0.3312113185496572,16
BBY,0.017129083999038005,30,0.023794143420877087,Best Buy Inc,0.00833058111242113,0.3395418996620783,17
XLY,0.01490278470924902,12,0.043293513170962535,Select Sector Spdr Tr,0.007247839804412232,0.34678973946649055,18
ORLY,0.014522780728999863,50,0.019327248881199445,O Reilly Automotive Inc New,0.007063028171712768,0.35385276763820334,19
EW,0.014291403480777218,36,0.02992758915339618,Edwards Lifesciences Corp,0.006950499858231686,0.36080326749643504,20
EL,0.014136623685572476,27,0.015873689066464608,Lauder Estee Cos Inc,0.0068752240502206186,0.36767849154665566,21
ELV,0.013872401386665116,50,0.02071062546070963,Anthem Inc,0.006746721831836859,0.3744252133784925,22
EBAY,0.01386874495687455,27,0.024084427732758568,Ebay Inc,0.006744943558990868,0.38117015693748335,23
CAT,0.013854577289381869,15,0.022148167354610934,Caterpillar Inc Del,0.006738053237054901,0.38790821017453825,24
DOW,0.013675366489884122,24,0.02058721019253537,Dow Inc,0.006650895622466657,0.3945591057970049,25
FIVE,0.013307390215605805,12,0.01935111704952076,Five Below Inc,0.006471933560018121,0.40103103935702306,26
CME,0.01315000954143756,81,0.020228683206705556,Cme Group Inc,0.00639539283713068,0.40742643219415375,27
AVGO,0.012892885471520094,15,0.01868570278083097,Broadcom Inc,0.0062703427807164775,0.41369677497487023,28
JPM,0.012253182130191742,27,0.017164926663237164,Jpmorgan Chase & Co,0.005959228621131415,0.41965600359600164,29
UNP,0.012233480934531697,47,0.02262426000038828,Union Pac Corp,0.005949647115870135,0.4256056507118718,30
CAH,0.012136723069977321,32,0.021310478098051075,Cardinal Health Inc,0.005902589769488965,0.43150824048136077,31
TRV,0.011948408212339631,49,0.02323069387484301,Travelers Companies Inc,0.005811004475359232,0.43731924495672,32
XLI,0.01187024650446385,31,0.03578601040611008,Select Sector Spdr Tr,0.005772991208136003,0.443092236164856,33
WU,0.011842167634727278,53,0.023633049292806154,Western Un Co,0.0057593352939085555,0.44885157145876453,34
NOC,0.01157056500104952,26,0.03487235305708628,Northrop Grumman Corp,0.005627243713861026,0.45447881517262556,35
GOOG,0.011492713467964263,42,0.029052237061050867,Alphabet Inc,0.005589381297451048,0.46006819647007663,36
ENTG,0.011399494167232852,9,0.018081046423705074,Entegris Inc,0.005544044900827049,0.4656122413709037,37
BA,0.011071472351957323,14,0.016617593750346785,Boeing Co,0.005384514342219835,0.4709967557131235,38
DXCM,0.010892540222070276,12,0.014322840977843337,Dexcom Inc,0.005297492256174484,0.476294247969298,39
PG,0.010639273679493364,47,0.01815498402636591,Procter & Gamble Co,0.005174318274651718,0.4814685662439497,40
PNC,0.010616532149486215,28,0.017887436360055433,Pnc Finl Svcs Group Inc,0.005163258129208112,0.4866318243731578,41
ODFL,0.010448097244240074,18,0.02579777087073058,Old Dominion Freight Line In,0.005081341277122224,0.49171316565028,42
FTNT,0.010350848459479992,12,0.0189367363687947,Fortinet Inc,0.0050340451759662164,0.49674721082624623,43
BKNG,0.010339630552116633,13,0.02197835886572136,Booking Hldgs Inc,0.005028589444229053,0.5017758002704753,44
UHAL,0.01032433605605729,12,0.010044525713929369,Amerco,0.0050211510990143815,0.5067969513694897,45
FISV,0.010301691344470731,32,0.01623120797792688,Fiserv Inc,0.005010138040368057,0.5118070894098578,46
CPRT,0.010295196967894302,15,0.02626299397928903,Copart Inc,0.0050069795567709435,0.5168140689666287,47
DVN,0.009949136615811136,12,0.02323205078816976,Devon Energy Corp New,0.00483867611258305,0.5216527450792118,48
ALL,0.009766210440446378,33,0.020410189277926448,Allstate Corp,0.0047497115572369105,0.5264024566364487,49
PEP,0.009533083159676565,27,0.030282549604291685,Pepsico Inc,0.004636332130638256,0.531038788767087,50
FANG,0.009451751858141653,7,0.021817446122161244,Diamondback Energy Inc,0.004596777359089853,0.5356355661261768,51
HPQ,0.009357153014492775,31,0.01886120464956741,Hp Inc,0.004550770033759293,0.540186336159936,52
CDNS,0.009268304143367927,8,0.017344391211499686,Cadence Design System Inc,0.00450755915758552,0.5446938953175215,53
LSCC,0.00926774152109995,15,0.01936863059573565,Lattice Semiconductor Corp,0.004507285531135951,0.5492011808486575,54
CR,0.00925137553335951,24,0.01649307061041024,Crane Company,0.004499326075255865,0.5537005069239134,55
MMM,0.009176568539877847,30,0.020465619405614106,3M Co,0.004462944344218154,0.5581634512681315,56
MDT,0.009161810681127149,14,0.01726916076137426,Medtronic Inc,0.004455766987893948,0.5626192182560255,57
CNC,0.009080676486923546,26,0.021237663165503698,Centene Corp Del,0.004416308077782818,0.5670355263338083,58
PANW,0.009057308758699742,15,0.01772985453800861,Palo Alto Networks Inc,0.004404943386279621,0.5714404697200879,59
VRSN,0.009028465982864619,27,0.018425512240055935,Verisign Inc,0.004390915952961216,0.5758313856730491,60
UNH,0.008914442833864472,38,0.016633310019645683,Unitedhealth Group Inc,0.004335461785564246,0.5801668474586134,61
MCK,0.008913979911059501,14,0.014709820465044349,Mckesson Corp,0.004335236647081895,0.5845020841056953,62
