period,rebalance,n,priced_share
2014-06-30,2014-08-31,45,0.7287011857432996
2014-09-30,2014-10-31,45,0.7264983136490664
2014-12-31,2015-02-28,41,0.6932432202978341
2015-03-31,2015-05-31,43,0.7406863476684711
2015-06-30,2015-08-31,44,0.7485393341462514
2015-09-30,2015-11-30,48,0.830544218170786
2015-12-31,2016-02-29,49,0.847811898105241
2016-03-31,2016-05-31,46,0.8008882381968568
2016-06-30,2016-08-31,48,0.8189522673484679
2016-09-30,2016-11-30,52,0.8876171126892293
2016-12-31,2017-02-28,47,0.8174370033801719
2017-03-31,2017-05-31,52,0.8876171126892293
2017-06-30,2017-08-31,46,0.7735405009485843
2017-09-30,2017-11-30,49,0.8362101203656158
2017-12-31,2018-02-28,48,0.8059354752213705
2018-03-31,2018-05-31,46,0.7802671371832851
2018-06-30,2018-08-31,48,0.8142342035961562
2018-09-30,2018-11-30,50,0.8468098145881474
2018-12-31,2019-02-28,50,0.8337353743992348
2019-03-31,2019-05-31,51,0.867967282053972
2019-06-30,2019-07-31,50,0.8515539355910308
2019-09-30,2019-11-30,53,0.886367634302043
2019-12-31,2020-02-29,52,0.8584060322320753
2020-03-31,2020-05-31,51,0.8378408079519943
2020-06-30,2020-08-31,50,0.8636125019928891
2020-09-30,2020-10-31,49,0.8555263873833966
2020-12-31,2021-02-28,50,0.9027152383202546
2021-03-31,2021-07-31,52,0.937893136049818
2021-06-30,2021-08-31,51,0.9219590499280248
2021-09-30,2021-10-31,51,0.8869416173510007
2021-12-31,2022-02-28,53,0.903281331562498
2022-03-31,2022-05-31,50,0.8567898069577257
2022-06-30,2022-08-31,47,0.7916708792748346
2022-09-30,2022-11-30,53,0.8931380968739263
2022-12-31,2023-02-28,54,0.9435222064302928
2023-03-31,2023-05-31,53,0.9215101943682237
2023-06-30,2023-08-31,55,0.9052234126223597
2023-09-30,2023-11-30,58,0.9894058591215482
2023-12-31,2024-02-29,59,0.9901529847204511
2024-03-31,2024-05-31,56,0.9501116756067276
2024-06-30,2024-08-31,53,0.907133934297709
2024-09-30,2024-11-30,55,0.937132576319711
2024-12-31,2025-02-28,56,0.9438164626814675
2025-03-31,2025-05-31,60,1.0
2025-06-30,2025-08-31,57,0.9631766570961383
2025-09-30,2025-11-30,56,0.9518563622636044
2025-12-31,2026-02-28,54,0.9151128438496557
2026-03-31,2026-05-31,56,0.9447669537810911
2026-06-30,2026-08-31,59,1.0
