ticker,contribution,months_held,avg_weight_when_held,name,share_of_gains,cum_share_of_gains,rank
MSFT,0.2024179005920111,156,0.06359865896993021,Microsoft Corp.,0.10856167336906714,0.10856167336906714,1
PG,0.135639710051797,156,0.09954939705556455,Procter & Gamble,0.07274689568190951,0.18130856905097664,2
PEP,0.12635213016873742,156,0.09158005472629349,"Pepsico, Inc.",0.06776573931824338,0.24907430836922,3
CNQ,0.1148765624285319,63,0.08662101279782936,Canadian Natural Resources Ltd,0.06161111152547808,0.3106854198946981,4
SYY,0.09767531336898339,156,0.04520914356008669,Sysco Corporation,0.05238566073045891,0.363071080625157,5
CSCO,0.09287219620691266,156,0.04220062511920247,Cisco Systems Inc.,0.04980963146142171,0.4128807120865787,6
JNJ,0.08696948161577109,156,0.055141276204166645,Johnson & Johnson,0.046643861183397056,0.45952457326997576,7
GOOG,0.08313638801014545,87,0.04403032623611218,Alphabet Inc.,0.04458807928471149,0.5041126525546873,8
KO,0.07069335547945199,156,0.05859606691480069,Coca-Cola Co.,0.03791457645039184,0.5420272290050792,9
NWS,0.06975147749370607,93,0.03523970417501617,News Corp Cl A,0.03740942423834435,0.5794366532434235,10
ORCL,0.06923280247287658,147,0.04921451999395864,Oracle Corporation,0.03713124613239966,0.6165678993758232,11
WFRD,0.04275702251927352,33,0.019553361544141116,Weatherford International Plc,0.02293163746583398,0.6394995368416572,12
FOX,0.04122011738381879,87,0.046520149050544746,Fox Corp B,0.02210735763274365,0.6616068944744008,13
BKNG,0.03981442579848581,78,0.030818639942647125,Booking Hldgs Inc. Com,0.021353450837454085,0.6829603453118549,14
BNY,0.03390837600565556,156,0.01867784121414486,Bny Mellon Corp.,0.018185891809149504,0.7011462371210044,15
STT,0.03139266693774397,156,0.019310615779940452,State Street Corp,0.016836655475191607,0.7179828925961961,16
SCHW,0.03125996523483633,84,0.029238324332037074,Charles Schwab Corp,0.01676548430463582,0.734748376900832,17
SYK,0.030337331899926618,105,0.016754347887607955,Stryker Corporation,0.01627065346975938,0.7510190303705914,18
ELV,0.0291208808002737,138,0.01927008822888576,Anthem Inc.,0.015618240977762737,0.7666372713483541,19
EBAY,0.024918124223660618,78,0.01742040912859093,Ebay Inc.,0.013364199781872695,0.7800014711302268,20
RS,0.024881449540244124,54,0.027815614458421282,Reliance Steel & Aluminum Co.,0.013344530251705993,0.7933460013819328,21
M,0.021740714689174708,36,0.026663072951727346,Macy'S Inc.,0.011660077295502867,0.8050060786774357,22
BRK-B,0.0191161945891244,156,0.011439266776788418,Berkshire Hath A,0.01025248294234091,0.8152585616197766,23
WFC,0.01813261454199097,156,0.012141797949360869,Wells Fargo & Co,0.009724964894298051,0.8249835265140747,24
UHAL,0.01700612101847826,99,0.010852635676553646,Amerco,0.00912079885169864,0.8341043253657733,25
WBD,0.01689669336443977,45,0.010099858018774239,Warner Bros Discovery Inc,0.009062110123080641,0.843166435488854,26
DIS,0.016448067284597363,87,0.03227575462234246,Walt Disney Company,0.0088215009783249,0.8519879364671789,27
COP,0.016076114821826942,156,0.018561820869897036,Conocophillips,0.00862201377065204,0.8606099502378309,28
HUN,0.01508910920176695,30,0.01548771451926515,Huntsman Corporation,0.008092658504022942,0.8687026087418539,29
GLW,0.01397159756085942,140,0.005833464127028316,Corning Inc.,0.007493309664856483,0.8761959184067104,30
GS,0.012778876000651803,156,0.005433770542174295,Goldman Sachs Grp,0.0068536239055397305,0.8830495423122502,31
CLX,0.011853964910070552,156,0.005021894743557461,Clorox Company,0.006357571454558662,0.8894071137668088,32
CTSH,0.011601494589395304,108,0.029607162917776497,Cognizant Technology Solutions,0.006222165443487664,0.8956292792102964,33
USB,0.01152350395685922,117,0.028923042573103918,U.S. Bancorp,0.006180337158783265,0.9018096163690797,34
CHRW,0.01030349531998113,81,0.012228259688613685,Ch Robinson Ww,0.005526016672517797,0.9073356330415976,35
FANG,0.010124377309400748,45,0.02206940562039704,Diamondback Energy Inc,0.005429951300323576,0.9127655843419211,36
INGR,0.009728647000941518,72,0.022345904744625514,Ingredion Inc,0.005217711452150352,0.9179832957940715,37
NOC,0.009590415888008338,63,0.01767344278954327,Northrop Grumman Corp,0.005143574723690049,0.9231268705177615,38
LMT,0.009439718241340099,63,0.014832952045338393,Lockheed Martin Corp.,0.005062751888124437,0.928189622405886,39
CL,0.008828713210735997,156,0.009870251855140774,Colgate-Palmolive,0.004735054938569584,0.9329246773444556,40
INFY,0.00852801945194068,45,0.008415982451054703,Infosys Ltd,0.004573785517579736,0.9374984628620353,41
AWI,0.008415485713086921,63,0.012531728772802819,Armstrong World Industries,0.0045134309196676395,0.9420118937817029,42
UL,0.007374260489696318,132,0.004379721878528491,Unilever N.V.,0.003954996352987691,0.9459668901346906,43
TLN,0.006623840811086187,22,0.01479730400844004,Talen Energy Corp,0.0035525279161511872,0.9495194180508418,44
LHX,0.00629064162946724,63,0.01489550437744953,L3Harris Technologies,0.0033738250414747754,0.9528932430923166,45
MSM,0.005768881511718966,48,0.00811472665637273,Msc Industrial Direct Co.,0.0030939923225584637,0.9559872354148751,46
