period,rebalance,n,priced_share
2013-06-30,2013-07-31,34,0.8213991408158416
2013-09-30,2013-11-30,35,0.7139368997857356
2013-12-31,2014-01-31,35,0.7507507834639184
2014-03-31,2014-05-31,32,0.7632606353802076
2014-06-30,2014-08-31,31,0.7613190548038772
2014-09-30,2014-11-30,32,0.7692836034933643
2014-12-31,2015-02-28,34,0.7854276341512907
2015-03-31,2015-04-30,34,0.7958573292475504
2015-06-30,2015-08-31,34,0.7906616119270853
2015-09-30,2015-11-30,35,0.8052091591110737
2015-12-31,2016-02-29,35,0.8025502763729558
2016-03-31,2016-05-31,34,0.7919606791093994
2016-06-30,2016-08-31,34,0.7944413687236949
2016-09-30,2016-11-30,35,0.7851949334572319
2016-12-31,2017-01-31,34,0.7725440650857673
2017-03-31,2017-05-31,32,0.7807321598490522
2017-06-30,2017-08-31,36,0.8105947629591471
2017-09-30,2017-11-30,38,0.8283033469036508
2017-12-31,2018-02-28,35,0.7847167540229566
2018-03-31,2018-05-31,36,0.7648556904004132
2018-06-30,2018-08-31,33,0.8151886293094236
2018-09-30,2018-11-30,37,0.8313633578078786
2018-12-31,2019-02-28,37,0.8184033606589143
2019-03-31,2019-05-31,39,0.9851327019031121
2019-06-30,2019-08-31,42,0.9905300146820734
2019-09-30,2019-11-30,43,0.9897081439834653
2019-12-31,2020-02-29,44,0.9998308836317601
2020-03-31,2020-05-31,49,0.9929272205021076
2020-06-30,2020-08-31,52,0.9932593272905209
2020-09-30,2020-10-31,52,0.9984282753283261
2020-12-31,2021-02-28,54,0.9982538380883608
2021-03-31,2021-05-31,56,0.9992298784175909
2021-06-30,2021-08-31,56,0.9990860036767535
2021-09-30,2021-11-30,56,0.9987765429817668
2021-12-31,2022-02-28,56,0.998840443449936
2022-03-31,2022-05-31,56,0.9987707248840698
2022-06-30,2022-08-31,57,1.0
2022-09-30,2022-11-30,56,0.9837752730002753
2022-12-31,2023-01-31,55,0.9772328695927417
2023-03-31,2023-05-31,55,0.9673871602251825
2023-06-30,2023-08-31,55,0.9681346429836706
2023-09-30,2023-11-30,56,0.9711223618371341
2023-12-31,2024-02-29,56,0.976678408443973
2024-03-31,2024-05-31,55,0.9817261285195091
2024-06-30,2024-08-31,56,0.9883859864088971
2024-09-30,2024-10-31,57,1.0
2024-12-31,2025-01-31,58,1.0
2025-03-31,2025-04-30,58,1.0000000000000002
2025-06-30,2025-08-31,58,0.9999999999999999
2025-09-30,2025-11-30,59,1.0
2025-12-31,2026-02-28,59,0.9999999999999999
2026-03-31,2026-05-31,59,1.0
2026-06-30,2026-08-31,59,1.0
