decile,momentum,reversal,low_vol,size,value,profitability,cash_flow,earnings_yield,linear,xgboost
1,0.006389396123046248,0.012502425428989545,0.015229259776961879,0.012248594589063598,0.016907295216058035,0.017890102517195656,0.012746917348628692,0.01659212755535962,0.012788893596760144,0.009352929725586509
2,0.010219156057791027,0.012882659492092682,0.012097983583179909,0.01203887735103834,0.014908822168155082,0.011197850411081962,0.009899549056961743,0.013132096663250797,0.011545458964810138,0.011197038309922601
3,0.011335623012266365,0.010657167342489143,0.011911422396188963,0.011705316227273232,0.01290650704287322,0.010724389542482556,0.011389036677681307,0.013278022005097737,0.011981446017268988,0.01147416727304018
4,0.01110439517429665,0.012092218619838498,0.01003681589108139,0.012872426373171186,0.011284551579110898,0.010328013300850758,0.011735485559526082,0.009556405779169464,0.010744253054853893,0.009556500143784376
5,0.011608717316283762,0.011853458894949017,0.012974510468607906,0.01307065820466769,0.01103542813150894,0.01237263283577771,0.012009048118428518,0.010477244858528375,0.010766083378693465,0.012268682293765215
6,0.011557726196459051,0.012122751193473084,0.009783881822641992,0.012896967749817505,0.01180704000354408,0.011295907748837887,0.012545004486463358,0.012206197892119712,0.012525857061103462,0.010897662283390912
7,0.011469395840874851,0.011272744114480218,0.011588226681590914,0.01205321695714629,0.01086575155601314,0.00887904381354555,0.012790086554792031,0.012634298654547703,0.01237633248666402,0.011432974965770783
8,0.011045826527780076,0.011609275655278322,0.0124133741327813,0.012070579027607166,0.010950174807377144,0.013665251369138773,0.0120772155135454,0.014299113557699555,0.014093651095620387,0.013229420208683014
9,0.01441698285661439,0.009893251561127298,0.010138452162778868,0.011958980442580121,0.008075829172182069,0.01262389453807999,0.012791284094130185,0.010554677698905366,0.012198656307687746,0.011497728440504406
10,0.019179647052090843,0.010494262839194123,0.009131017164594727,0.011538177375635002,0.014199097414007827,0.013761700204801693,0.01344743669641184,0.013163885418994953,0.014414268201328241,0.018889628777260147
