signal,label,coverage,first,last,months,ic_mean,ic_sd,ic_t,ic_pct_positive,spread_ann,spread_t,spread_sharpe
momentum,Momentum (12-1),0.9764431834103965,2013-08-31,2026-07-31,156,0.02328439297274845,0.18957047704061442,1.5341100553076341,0.5705128205128205,0.15348301114853516,2.2289551731458777,0.6182009359606289
reversal,Short-term reversal,0.9998598851057867,2013-08-31,2026-07-31,156,-0.0012319151616048542,0.15604365436530376,-0.09860455716332618,0.4935897435897436,-0.024097951077544904,-0.42238321303668985,-0.1171480255768473
low_vol,Low volatility,0.9997197702115735,2013-08-31,2026-07-31,156,0.002360743649795415,0.200574463412938,0.14700614541694557,0.5064102564102564,-0.07317891134840583,-1.0490339026477566,-0.29094965582281423
size,Size (small),0.7909836065573771,2013-08-31,2026-07-31,156,-0.004013323193386125,0.14662606678636458,-0.34186547943265105,0.5064102564102564,-0.008525006561143163,-0.20228570024144307,-0.05610395880874317
value,Value (book / market),0.6981224604175423,2013-08-31,2026-07-31,156,-0.017746788436878422,0.1814435795267388,-1.22163218511651,0.46153846153846156,-0.032498373624602554,-0.6209726096103666,-0.17222681420068145
profitability,Profitability (ROA),0.8272033067115034,2013-08-31,2026-07-31,156,0.010151671575659228,0.12623874142214872,1.0044011522324428,0.532051282051282,-0.04954082774872749,-1.0678511708652474,-0.2961686270091467
cash_flow,Cash flow / assets,0.8126488720751016,2013-08-31,2026-07-31,156,0.010214876823235578,0.11236836194910023,1.1354065184983002,0.5064102564102564,0.00840623217339774,0.22667170639029316,0.06286742000670156
earnings_yield,Earnings yield,0.7051982625753117,2013-08-31,2026-07-31,156,0.005100594598624221,0.1552793759299679,0.4102695914158744,0.5,-0.041138905636376025,-1.0438319260719175,-0.28950688710912575
linear,Linear composite (equal-weight z),0.9212204007285975,2016-08-31,2026-07-31,120,0.01819862971209228,0.11827608098742393,1.6855140829457385,0.55,0.019504495254817057,0.32848384914204587,0.10387571378680116
xgboost,xgboost (walk-forward),0.8336836205688665,2016-08-31,2026-07-31,120,0.012192209879857677,0.105821995181115,1.262109708970437,0.5083333333333333,0.11444038862008363,2.2832126255069864,0.7220152279055135
