sector,portfolio,benchmark,active
Technology,0.31945691344893296,0.289456913448933,0.02999999999999997
Financial Services,0.20647774289422435,0.213584081191678,-0.007106338297453635
Communication Services,0.12360469695162518,0.11094812271497984,0.012656574236645346
Industrials,0.09357376699284478,0.10118842813316285,-0.007614661140318071
Healthcare,0.10674203392681393,0.07674203392681396,0.02999999999999997
Consumer Cyclical,0.05274234189085554,0.07114248745378347,-0.018400145562927933
Consumer Defensive,0.04273742203277739,0.06737947585182295,-0.024642053819045565
Energy,0.040258186995862706,0.03282915338355277,0.0074290336123099335
Basic Materials,0.008229432572653093,0.01536174766362383,-0.007132315090970736
Unknown,0.00046111154265666515,0.009686231166195821,-0.009225119623539156
Real Estate,0.0024776405550585526,0.006459510424009805,-0.003981869868951252
Utilities,0.003238710195694876,0.005221814641443732,-0.001983104445748856
