ticker,name,sector,current_wt,target_wt,benchmark_wt,active_wt,alpha_z,price,trade_usd,shares,side,est_cost_usd
GOOG,Alphabet Inc,Communication Services,0.04846338217400991,0.0717493894058262,0.0717493894058262,0.0,0.26628383038155756,335.1924,2328600.723181629,6947,BUY,2328.6007231816293
DNTH,Dianthus Therapeutics Inc,Healthcare,0.0226562078956117,0.0,0.0,0.0,,105.61,-2265620.78956117,-21453,SELL,2265.62078956117
INTC,Intel Corp,Technology,0.0007948014714095435,0.023326199256145586,0.003326199256145586,0.02,1.916902588597718,89.51,2253139.778473604,25172,BUY,2253.139778473604
NBIS,Yandex Nv,Communication Services,0.0,0.022201076971573235,0.002201076971573234,0.02,1.1707874412074641,206.32,2220107.6971573234,10761,BUY,2220.1076971573234
HUT,Hut 8 Corp,Financial Services,0.0,0.021886617196812314,0.0018866171968123125,0.02,2.1790202915388113,78.64,2188661.7196812313,27831,BUY,2188.6617196812313
BFLY,Butterfly Network Inc,Healthcare,0.00011501031346108544,0.02012543702561743,0.00012543702561743227,0.02,2.4959101374288837,7.89,2001042.6712156346,253618,BUY,2001.0426712156345
ATRO,Astronics Corp,Industrials,0.018484880956657988,0.0,0.0,0.0,,73.67,-1848488.0956657988,-25091,SELL,1848.4880956657987
MSFT,Microsoft Corp,Technology,0.018089987415096747,0.0,0.018149279997690785,-0.018149279997690785,-0.3454329338513654,507.29,-1808998.7415096746,-3566,SELL,1808.9987415096746
OXY,Occidental Pete Corp Del,Energy,0.01747677902477128,0.0,0.0,0.0,,59.9051,-1747677.902477128,-29174,SELL,1747.677902477128
GLUE,Monte Rosa Therapeutics Inc,Healthcare,0.0,0.013782735051488262,0.0001231367809405226,0.013659598270547739,1.7032670130166796,13.94,1378273.5051488262,98872,BUY,1378.2735051488262
ECHO,Echostar Corp,Communication Services,0.014392774968626728,0.0008464979354089376,0.0008464979354089376,0.0,0.010773100202747566,86.44,-1354627.703321779,-15671,SELL,1354.6277033217789
MU,Micron Technology Inc,Technology,0.0211418044060543,0.03282704140986105,0.012827041409861047,0.020000000000000004,3.0,958.73,1168523.7003806748,1219,BUY,1168.5237003806747
GEV,Ge Vernova Inc,Industrials,0.018910791581315145,0.008747499869221574,0.007814533651137932,0.0009329662180836418,0.22089780552522478,898.53,-1016329.1712093571,-1131,SELL,1016.3291712093571
CVX,Chevron Corp New,Energy,0.02498978457310998,0.01492439124106537,0.01492439124106537,0.0,-0.06896868190311764,206.14,-1006539.3332044611,-4883,SELL,1006.5393332044611
TLN,Talen Energy Corp,Utilities,0.00968296064095612,0.0007211824387144549,0.0007211824387144549,0.0,-0.378994225199049,295.76,-896177.8202241666,-3030,SELL,896.1778202241667
BE,Bloom Energy Corp,Industrials,0.015384234956415102,0.02331334587016841,0.0033133458701684066,0.020000000000000004,2.065995798537337,206.3,792911.0913753307,3843,BUY,792.9110913753307
SNDK,Sandisk Corp,Technology,0.020015554600057734,0.027126569748981946,0.007126569748981945,0.02,3.0,1566.7,711101.5148924212,454,BUY,711.1015148924212
CIEN,Ciena Corp,Technology,0.013613238193800312,0.02040784575756115,0.0004078457575611491,0.02,2.1675423081929597,382.8,679460.7563760838,1775,BUY,679.4607563760839
HOOD,Robinhood Mkts Inc,Financial Services,0.006513260341904684,0.0004381381758311884,0.0004381381758311884,0.0,-0.4193785026500956,104.81,-607512.2166073496,-5796,SELL,607.5122166073495
AMAT,Applied Matls Inc,Technology,0.0,0.006039848346471161,0.006039848346471161,0.0,1.483930456244156,458.39,603984.8346471161,1318,BUY,603.9848346471161
ASML,Asml Holding N V,Technology,0.00036180959521728853,0.006398410469378503,0.011002344381472835,-0.004603933912094332,0.6998307532814525,1696.01,603660.0874161214,356,BUY,603.6600874161213
RVMD,Revolution Medicines Inc,Healthcare,0.028248771717647808,0.022354980852458878,0.0023549808524588756,0.020000000000000004,2.9211145763984874,205.57,-589379.086518893,-2867,SELL,589.379086518893
BAC,Bank Of America Corporation,Financial Services,0.033625617594303166,0.028832669183121974,0.028832669183121974,0.0,-0.08144538022596651,61.6256,-479294.84111811913,-7778,SELL,479.2948411181191
COP,Conocophillips,Energy,0.006092595135544912,0.0022802466790457,0.0022802466790457,0.0,-0.08155045815924476,132.49,-381234.8456499212,-2877,SELL,381.2348456499212
DAL,Delta Air Lines Inc Del,Industrials,0.0009017945054947201,0.004369168999992483,0.006491830908499921,-0.002122661908507438,0.06765391962099143,78.0,346737.44944977626,4445,BUY,346.73744944977625
