slug,name,manager,style_name,period,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,p_persist,p_logistic,p_xgboost,rank_xgboost,rank_logistic,rank_persist
oaktree,Oaktree Capital,Howard Marks,Event-driven / credit,2026-03-31,4.919980925828125,0.03902703731900131,0.11982922857934893,0.4784548108028654,0.23887277327131307,0.19708029197080293,0.3373493975903614,-0.09064181678860475,3.0701100143710884,0.32378264900857606,0.22173562591418117,0.16740855331064336,-0.07222414306010583,1.031004594298775,0.08955223880597014,0.555236543060128,0.7202121615409851,1,26,62
suvretta,Suvretta Capital,Aaron Cowen,Long/short equity,2026-03-31,4.477336814478207,0.030581181029215414,0.07875849138227413,0.41788505547444943,0.2509660754108267,0.17045454545454544,0.18888888888888888,-0.08419537465169366,7.255429699796497,0.25057281766322476,0.1266766567634363,0.17678986526907348,-0.07809743823907422,0.2743190346540514,0.1044776119402985,0.550490217694584,0.6934001445770264,2,27,61
ruane-cunniff,"Ruane, Cunniff & Goldfarb (Sequoia)",Sequoia Fund,Concentrated long / value,2026-03-31,3.912023005428146,0.05599402454841808,0.10101584860477159,0.6702707452171253,0.1507625898933681,0.08,0.041666666666666664,-0.06022419663400914,14.363378264638042,-0.1187551872277689,-0.2161546069443785,0.16381222628249276,-0.10312027476221175,-1.0754526226413093,0.6119402985074627,0.4846179970197039,0.6827029585838318,3,42,27
tweedy-browne,"Tweedy, Browne","Tweedy, Browne partners",Concentrated long / value,2026-03-31,4.532599493153256,0.07579783068278123,0.17608109212512346,0.7032830355581031,0.0809579579286197,0.06451612903225806,0.09375,0.01623074528009575,7.661061427326629,-0.04647903709005216,-0.30975202641828925,0.12048755788029578,-0.07108828853047977,-1.0764727256484945,0.44776119402985076,0.5576020776481342,0.6789115071296692,4,25,38
trian,Trian Fund Management,Nelson Peltz,Activist,2026-03-31,2.0794415416798357,0.2947889583330046,0.4241303013446637,0.9999999999999999,0.04950303592744343,0.125,0.0,-0.031684150480565956,5.3407265270032145,-0.09338974143934922,-0.38227296091923435,0.18756146663377052,-0.13727049281304193,-2.3746031012390967,0.5373134328358209,0.7078501942096204,0.6688042283058167,5,5,32
viking,Viking Global Investors,Andreas Halvorsen,Long/short equity,2026-03-31,4.343805421853684,0.022721735658907023,0.05350214657673766,0.34909496494345577,0.2684965850187868,0.2597402597402597,0.25,-0.052559266683543625,11.893249762780755,-0.10353658353708459,-0.09830305558745056,0.12644629397594506,-0.06764363895039527,-0.9335420601703405,0.5970149253731343,0.5727772508836974,0.6656665205955505,6,20,28
yacktman,Yacktman Asset Management,Stephen Yacktman,Concentrated long / value,2026-03-31,4.330733340286331,0.03590400912200423,0.1074883513317266,0.4719773812168816,0.09476142691034761,0.06578947368421052,0.013888888888888888,0.04854397809586082,9.015271194626562,-0.10106218831243136,-0.2950207639678716,0.07173909499925725,-0.01963784093481491,-1.817982760887681,0.582089552238806,0.6660221439366378,0.6598724722862244,7,9,29
maverick,Maverick Capital,Lee Ainslie,Long/short equity,2026-03-31,5.476463551931511,0.028296755682480683,0.06439111031932607,0.40283879107022824,0.30255431938614685,0.5899581589958159,0.449438202247191,-0.0793836411367422,14.13950572332743,-0.0023532668922094935,0.28993843445415823,0.1680417823151654,-0.10420507491264663,1.6322390088187004,0.3582089552238806,0.44126255551966326,0.6471846699714661,8,55,44
markel-13f,Markel (disclosed holdings),Tom Gayner,Concentrated long / value,2026-03-31,4.859812404361672,0.026294650065719963,0.06700859823513702,0.4199791439421377,0.05422396476331881,0.031007751937984496,0.0234375,-0.04947028999053884,12.32762258728463,-0.16826713040938057,-0.2455015299251162,0.12859087694616564,-0.07336104675690114,-1.9610808119559382,0.7313432835820896,0.660433814213859,0.6421266794204712,9,10,19
semper-augustus,Semper Augustus,Chris Bloomstran,Concentrated long / value,2026-03-31,3.784189633918261,0.07390997767571507,0.14480333923461033,0.7983950642118629,0.1263156005253493,0.13636363636363635,0.02564102564102564,-0.037755133493720276,7.6825942348643155,-0.02755385647389702,-0.17440631104580806,0.1824812313439685,-0.07953742472600234,-0.48816485900241374,0.417910447761194,0.5165830274910017,0.6276046633720398,10,36,40
