key,name,manager,style,kind,months,first,last,alpha,se,t,resid_vol,beta,smb,hml,shrink_factor,alpha_shrunk,tau,prior_mean,ir_raw,ir_shrunk,alpha_eb,weight_optimised,weight_top10
whale-rock,Whale Rock Capital,Alex Sacerdote,Long/short equity,fund,130,2015-10,2026-07,0.10150107889262543,0.03751129378765504,2.70588051340499,0.13538614268866736,1.3667507718655572,0.43775086830310517,-0.9356280712778073,0.2213494705733365,0.017807265203083615,0.02,-0.005984642270586649,0.7497154204772368,0.13152945234604274,-0.005984642270586649,0.0665263210129475,0.1
duquesne,Duquesne Family Office,Stanley Druckenmiller,Family office,fund,142,2014-10,2026-07,0.045079659386495816,0.02792597939541496,1.6142552691955807,0.10021706348023289,1.0774150058658296,0.10161429519456962,-0.1871433533097507,0.3390231805061508,0.011327339687522957,0.02,-0.005984642270586649,0.44982019848733107,0.11302805424704143,-0.005984642270586649,0.059425913580816274,0.1
oaktree,Oaktree Capital,Howard Marks,Event-driven / credit,fund,106,2017-10,2026-07,0.07934374580894706,0.04562826409236638,1.7389165988942648,0.11406332467408484,0.8420679642720191,0.08811843692081203,0.5397066556410747,0.1611643489817722,0.007767251843915413,0.02,-0.005984642270586649,0.6956113723289878,0.06809596218687224,-0.005984642270586649,0.026580300934978707,0.1
tci,TCI Fund Management,Chris Hohn,Concentrated long / value,fund,91,2019-01,2026-07,0.027161908921428786,0.024637892346234314,1.1024445005167112,0.0758487086857851,1.011219508543515,-0.2186994063404543,-0.11210149346788176,0.3972093109477969,0.007181476488689678,0.02,-0.005984642270586649,0.3581064119885173,0.09468159198912728,-0.005984642270586649,0.08213126547260395,0.1
atreides,Atreides Management,Gavin Baker,Long/short equity,fund,76,2020-04,2026-07,0.11258172063275515,0.057930269691457106,1.9434005957917613,0.14006394036170286,1.4366803030811224,0.6964971696612468,-0.5377860655484956,0.1064986502348003,0.006642515341868752,0.02,-0.005984642270586649,0.8037880438178643,0.04742487841420881,-0.005984642270586649,0.003985723030351471,0.1
marshall-wace,Marshall Wace,Paul Marshall / Ian Wace,Long/short equity,fund,154,2013-10,2026-07,0.009608519588425228,0.010005621611994217,0.960312108635713,0.03669874562604428,1.0054645484877687,-0.06670496897383864,-0.13462055885826335,0.79982009831702,0.006487081980561436,0.02,-0.005984642270586649,0.26182147167466885,0.17676576869040722,-0.005984642270586649,0.24999999999999994,0.1
adage,Adage Capital,Phill Gross / Robert Atchinson,Long/short equity,fund,154,2013-10,2026-07,0.008496982855176895,0.011029614769588346,0.7703789327806255,0.04058970829664931,1.016552512808447,-0.23847531732612415,-0.0944491442061751,0.7667941305222591,0.005119782876272509,0.02,-0.005984642270586649,0.20933835722781782,0.1261350004995022,-0.005984642270586649,0.2375801029054019,0.1
yacktman,Yacktman Asset Management,Stephen Yacktman,Concentrated long / value,fund,155,2013-09,2026-07,0.010133651739835868,0.016162741000225696,0.6269760642513768,0.05990624808832296,0.8443118805957934,-0.1928068778881064,0.3469543038462179,0.6049293911783977,0.0037657875119726583,0.02,-0.005984642270586649,0.1691585112273312,0.06286134805872932,-0.005984642270586649,0.09482392462013521,0.1
cantillon,Cantillon Capital,William von Mueffling,Concentrated long / value,fund,155,2013-09,2026-07,0.00651991696610903,0.013546158117138746,0.4813111518209699,0.0569544095630271,0.999497443199339,0.009075624919859205,-0.0843906049490771,0.6855203033667089,0.0025874869708199556,0.02,-0.005984642270586649,0.11447606982728765,0.04543084531420839,-0.005984642270586649,0.0073328607321872085,0.1
gotham,Gotham Asset Management,Joel Greenblatt,Long/short equity,fund,154,2013-10,2026-07,0.005158895537568318,0.011051617062885119,0.4668000626707876,0.04028976828592981,0.9811288384536566,-0.106013574181061,-0.005940232262040775,0.7660806460493284,0.0025522063727598243,0.02,-0.005984642270586649,0.1280448053450318,0.06334626584713117,-0.005984642270586649,0.13088470822508,0.1
