ticker,market,momentum,reversal,low_vol,size,value,profitability,cash_flow,earnings_yield,ind:Basic Materials,ind:Communication Services,ind:Consumer Cyclical,ind:Consumer Defensive,ind:Energy,ind:Financial Services,ind:Healthcare,ind:Industrials,ind:Real Estate,ind:Technology,ind:Unknown,ind:Utilities
A,1.0,-0.19332319996276784,-0.7686032969948398,0.4359110129311675,-0.023797142047741145,-0.4985562442639298,0.4249564866234299,0.2195634152823838,0.08823036636709235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAPL,1.0,-0.010724567774038733,-0.005893893920339284,0.7434315209929536,-3.0,-1.0556469991403779,2.0260385398084533,1.9130972842635752,0.022824459249731685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ABBV,1.0,-0.09596024102543763,0.037654555471235564,0.7987737642805841,-1.6521588351427554,0.0,-0.144348469503621,0.431977134334947,-0.14455742097731372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABG,1.0,-0.34693865619898273,1.04113081000872,0.6343380435773135,1.6668062525115672,2.9379864173849732,-0.04590346737307123,-0.28781354667549863,1.207370298872514,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,1.0,-0.4331066780785033,-0.1663311205805632,0.407276174737437,-1.057071835822663,-0.07719690476139472,0.08686314400447948,-0.10326107993880278,0.13200186724979496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADBE,1.0,-0.5251604160403832,-1.313786883837677,-0.08083425478797407,-0.7088449040966962,-0.7564220343747984,1.5765104836064179,2.349853267988656,0.4390205417696807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADI,1.0,0.10895419312295425,0.36937644759311106,0.144023810844966,-0.9938180221064055,-0.3919279671078249,-0.015066913185498325,0.022605713480925892,-0.10416927882546312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADM,1.0,-0.04344341529826488,-0.05543249400670465,0.8019919598992051,0.046743460824641044,1.2310494163393175,-0.23697484318707882,0.047084709857457246,0.059818633359146015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADP,1.0,-0.36353417777701386,-0.4399600250620796,0.4757584187562763,-0.6925351310997891,-0.9378673841660154,0.1763699184411055,-0.108411666540206,0.1868861886113555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADSK,1.0,-0.4908493709788708,-0.7145786955418434,0.32995890787617727,-0.17634689230411027,-0.900100349601041,0.3155336058448354,0.9060298002118342,-0.015610296913595924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
