formation,positions,positions_priced,value,value_priced,names,share_positions,share_value,universe_5,universe_1
2013-08-31,6110,3253,704760989.0,448400293.0,1041,0.53240589198036,0.6362444857174124,205,1041
2013-11-30,6362,3390,636438075.0,438175374.0,1062,0.5328513046211883,0.6884807669622846,213,1062
2014-02-28,6759,3645,716814656.0,497631119.0,1111,0.5392809587217043,0.694225647919788,237,1111
2014-05-31,7019,3797,726123148.0,506089763.0,1153,0.5409602507479698,0.696975112822047,225,1153
2014-08-31,7276,3897,787421747.0,537790803.0,1184,0.5355964815832875,0.6829768228384985,246,1184
2014-11-30,7157,3872,1562473671.0,990263023.0,1195,0.5410088025709096,0.6337790142513063,243,1195
2015-02-28,6963,3753,24201816734.0,16007737441.0,1175,0.5389918138733305,0.6614270993347156,236,1175
2015-05-31,7125,3886,834392632.0,570271460.0,1193,0.5454035087719298,0.6834569699316329,245,1193
2015-08-31,7319,3959,850138651.0,573789453.0,1210,0.5409208908320808,0.6749363204755644,259,1210
2015-11-30,7084,3938,796380202.0,567260710.0,1239,0.5559006211180124,0.7122988599859744,242,1239
2016-02-29,7085,4020,822573948.0,610503274.0,1238,0.5673959068454482,0.7421864933655788,250,1238
2016-05-31,7034,4111,747334914.0,572280069.0,1250,0.5844469718510094,0.7657611845497159,250,1250
2016-08-31,6867,4040,731323162.0,577338075.0,1250,0.5883209552934323,0.7894431695847205,253,1250
2016-11-30,6941,4184,750741277.0,597872395.0,1282,0.6027949863132114,0.7963760796384185,266,1282
2017-02-28,6988,4303,777384538.0,623572456.0,1289,0.6157698912421293,0.802141572823513,284,1289
2017-05-31,7231,4508,837293360.0,675393056.0,1352,0.6234269119070668,0.8066384952581016,273,1352
2017-08-31,7527,4661,846890221.0,681670466.0,1413,0.619237411983526,0.804910068739594,287,1413
2017-11-30,7501,4714,885187154.0,719996271.0,1430,0.6284495400613251,0.8133830995473303,289,1430
2018-02-28,7783,4927,926612442.0,758682540.0,1488,0.633046383142747,0.8187700764760506,326,1488
2018-05-31,8066,5119,935458761.0,764132397.0,1545,0.6346392263823456,0.816853108717638,325,1545
2018-08-31,7784,5054,955971432.0,788885951.0,1575,0.6492805755395683,0.8252191693109089,297,1575
2018-11-30,7639,4995,986117986.0,826975932.0,1565,0.6538813980887551,0.8386176337321161,302,1565
2019-02-28,7947,5201,802845201.0,690253917.0,1635,0.6544608028186737,0.859759659944707,317,1635
2019-05-31,8337,5490,881558544.0,771258122.0,1721,0.6585102554875855,0.8748802076155705,331,1721
2019-08-31,7966,5487,939555919.0,826073833.0,1677,0.6888024102435351,0.8792173156433492,348,1677
2019-11-30,8245,5632,918817486.0,823185659.0,1745,0.6830806549423893,0.8959185818107079,344,1745
2020-02-29,8443,6005,995749934.0,902392353.0,1782,0.7112400805400924,0.9062439495978917,397,1782
2020-05-31,8307,5970,772375859.0,707684537.0,1773,0.7186710003611412,0.9162437286896093,366,1773
2020-08-31,8396,6120,939622126.0,874254156.0,1798,0.728918532634588,0.9304316403464513,390,1798
2020-11-30,8909,6267,1058505361.0,986078007.0,1810,0.7034459535301381,0.9315758269456701,413,1810
2021-02-28,9348,6595,1249600326.0,1168858704.0,1907,0.7054985023534446,0.9353860427850113,440,1907
2021-05-31,10857,6697,1288140306.0,1197660636.0,1955,0.6168370636455743,0.929759460535039,443,1955
2021-08-31,10978,6810,1403758970.0,1309352963.0,2023,0.6203315722353798,0.9327477088178464,441,2023
2021-11-30,11316,6913,1399447097.0,1313455617.0,2100,0.6109049133969601,0.9385532470756913,451,2100
2022-02-28,11526,6782,1445714252.0,1362972693.0,2154,0.5884088148533749,0.9427676950092071,444,2154
2022-05-31,10675,6415,1339244430.0,1269151510.0,2094,0.600936768149883,0.9476623397268862,419,2094
2022-08-31,10436,6322,1059285543.0,1001751716.0,2105,0.6057876581065542,0.9456861963422454,384,2105
2022-11-30,10424,6489,1017115575.0,960937317.0,2099,0.6225057559478128,0.9447670850974826,402,2099
2023-02-28,9790,6626,792853116892.0,759135655722.0,2141,0.6768130745658836,0.9574732564561603,413,2141
2023-05-31,9506,6889,901619176340.0,871377627009.0,2201,0.7247001893540922,0.9664586223046393,431,2201
2023-08-31,9162,6933,967352042015.0,938893984011.0,2213,0.7567125081859856,0.970581487640506,433,2213
2023-11-30,8837,6858,1087003152282.0,1056976098551.0,2211,0.7760552223605296,0.9723762956271444,420,2211
2024-02-29,8826,7003,1207818047370.0,1176026673576.0,2208,0.7934511670065715,0.9736786729895077,452,2208
2024-05-31,9036,7268,1264527366520.0,1238092753183.0,2274,0.8043382027445772,0.9790952619635679,459,2274
2024-08-31,9080,7319,1231692837350.0,1208534090318.0,2326,0.806057268722467,0.9811976279071117,459,2326
2024-11-30,8920,7258,1266342610302.0,1242992541302.0,2308,0.8136771300448431,0.981561017681912,458,2308
2025-02-28,9073,7444,1277442209083.0,1256617048414.0,2346,0.8204562989088504,0.9836977668962816,465,2346
2025-05-31,9265,7481,1191023579552.0,1168538094369.0,2364,0.8074473826227739,0.9811208731976089,467,2364
2025-08-31,9681,7817,1310813532017.0,1287311191996.0,2417,0.8074579072409875,0.9820704169991012,504,2417
2025-11-30,9764,7935,1385186873010.0,1361302384108.0,2429,0.8126792298238427,0.9827572081663616,521,2429
2026-02-28,9919,7967,1439509144296.0,1413935913129.0,2433,0.803205968343583,0.9822347560150396,487,2433
2026-05-31,10135,8094,1334626700445.0,1309953202608.0,2488,0.7986186482486434,0.9815128096652246,511,2488
2026-08-31,10184,8091,1549453512699.0,1520942698438.0,2485,0.7944815396700707,0.9815994387522238,507,2485
