quantity,model,managers,max_abs_diff,max_rel_diff
t_alpha,Carhart4,91,8.87734330490275e-13,1.5897802021210002e-11
p_alpha,Carhart4,91,7.02216063075412e-13,2.10189300288905e-12
t_alpha,FF5,91,6.51922960059892e-13,1.7800616592903398e-11
alpha-maxing score,-,91,4.47641923528863e-13,6.10052527401604e-14
p_alpha,FF5,91,2.79443135298152e-13,1.20798181433231e-12
t_alpha,FF3,91,7.11097847272413e-14,1.1009913061500399e-12
p_alpha,FF3,91,5.35127497869326e-14,9.9443724498074e-14
ci_low_annual,Carhart4,91,4.87110352054287e-14,1.63657982281659e-11
alpha_annual,Carhart4,91,4.59059873447743e-14,1.59247167146621e-11
ci_high_annual,Carhart4,91,4.53803661315533e-14,5.48386922388564e-12
t_alpha,CAPM,91,1.7541523789077502e-14,1.74985259246989e-13
ci_high_annual,FF5,91,1.26010313294955e-14,8.211785005627159e-12
ci_low_annual,FF5,91,1.23234755733392e-14,5.190282398261779e-13
p_alpha,CAPM,91,1.19904086659517e-14,2.14721885904276e-14
alpha_annual,FF5,91,1.17475473793149e-14,1.78004869259574e-11
se_annual,Carhart4,91,1.12548859121375e-14,1.11994025888935e-13
b_MKT_RF,FF3,91,6.7723604502134604e-15,7.76593456069352e-15
b_HML,FF3,91,3.88578058618805e-15,3.9992429860227504e-14
b_SMB,FF5,91,2.9143354396410403e-15,1.14604375941359e-13
b_CMA,FF5,91,2.38697950294409e-15,3.37572953791744e-13
b_MKT_RF,Carhart4,91,2.2204460492503103e-15,1.78065550938461e-15
b_MKT_RF,FF5,91,2.2204460492503103e-15,2.04823624135824e-15
b_HML,FF5,91,1.80411241501588e-15,4.37436152531306e-13
b_SMB,Carhart4,91,1.77635683940025e-15,8.23265321932036e-14
b_MKT_RF,CAPM,91,1.5543122344752201e-15,1.3395960314810901e-15
ci_high_annual,FF3,91,1.4849232954361502e-15,1.0412733015568999e-12
alpha_annual,FF3,91,1.44675937896466e-15,1.0953428897044399e-12
b_HML,Carhart4,91,1.4432899320127001e-15,2.25642813044604e-13
b_RMW,FF5,91,1.4432899320127001e-15,2.26538770052048e-13
b_SMB,FF3,91,1.4432899320127001e-15,3.62394914619388e-13
ci_low_annual,FF3,91,1.41553435639707e-15,8.677982036297451e-14
b_MOM,Carhart4,91,1.02695629777827e-15,1.59164465900131e-13
se_annual,FF5,91,8.53483950180589e-16,1.80043596214437e-14
excess return over market,-,91,4.44089209850063e-16,3.3278857176974997e-13
ci_high_annual,CAPM,91,3.88578058618805e-16,1.59914438841107e-14
r2,FF3,91,3.33066907387547e-16,1.728067251023e-15
max drawdown,-,91,3.33066907387547e-16,1.0081066136013502e-15
Sharpe,-,91,3.33066907387547e-16,1.0569239679322e-14
ci_low_annual,CAPM,91,3.05311331771918e-16,1.95674198478709e-14
alpha_annual,CAPM,91,2.6367796834847497e-16,1.74704079614766e-13
annualized return,-,91,2.2204460492503099e-16,2.40994552338478e-14
r2,FF5,91,2.2204460492503099e-16,5.61081557344178e-16
r2,CAPM,91,2.2204460492503099e-16,1.4241822412130202e-15
se_annual,FF3,91,2.2204460492503099e-16,5.6405376004275e-15
r2,Carhart4,91,2.2204460492503099e-16,5.04051866646396e-16
se_annual,CAPM,91,1.11022302462516e-16,1.5159054841405601e-15
annualized volatility,-,91,5.55111512312578e-17,2.2787829199437e-16
hac_lag,FF5,91,0.0,0.0
hac_lag,FF3,91,0.0,0.0
hac_lag,Carhart4,91,0.0,0.0
hac_lag,CAPM,91,0.0,0.0
